date,ticker,value
09/14/2015,BCP,10.6395877801
09/15/2015,BCP,10.242588236
09/16/2015,BCP,8.7339899687
09/17/2015,BCP,7.4635914278
09/18/2015,BCP,7.8605909718
09/21/2015,BCP,7.8605909718
09/22/2015,BCP,7.8605909718
09/23/2015,BCP,7.8605909718
09/24/2015,BCP,7.8605909718
09/25/2015,BCP,7.8605909718
09/28/2015,BCP,7.8605909718
09/29/2015,BCP,7.8605909718
09/30/2015,BCP,7.8605909718
10/01/2015,BCP,7.8605909718
10/02/2015,BCP,7.8605909718
10/05/2015,BCP,7.8605909718
10/06/2015,BCP,7.8605909718
10/07/2015,BCP,7.8605909718
10/08/2015,BCP,7.8605909718
10/09/2015,BCP,7.9399908806
10/12/2015,BCP,7.9399908806
10/13/2015,BCP,7.9399908806
10/14/2015,BCP,7.9399908806
10/15/2015,BCP,7.9399908806
10/16/2015,BCP,7.9399908806
10/19/2015,BCP,7.9399908806
10/20/2015,BCP,8.7339899687
10/21/2015,BCP,8.7339899687
10/22/2015,BCP,8.7339899687
10/23/2015,BCP,8.7339899687
10/26/2015,BCP,8.7339899687
10/27/2015,BCP,8.7339899687
10/28/2015,BCP,8.7339899687
10/29/2015,BCP,8.7339899687
10/30/2015,BCP,8.7339899687
11/02/2015,BCP,8.7339899687
11/03/2015,BCP,8.7339899687
11/04/2015,BCP,8.7339899687
11/05/2015,BCP,8.7339899687
11/06/2015,BCP,8.7339899687
11/09/2015,BCP,8.7339899687
11/10/2015,BCP,8.7339899687
11/11/2015,BCP,7.4635914278
11/12/2015,BCP,7.4635914278
11/13/2015,BCP,7.4635914278
11/16/2015,BCP,7.4635914278
11/17/2015,BCP,7.4635914278
11/18/2015,BCP,7.4635914278
11/19/2015,BCP,7.4635914278
11/20/2015,BCP,7.5429913366
11/23/2015,BCP,7.5429913366
11/24/2015,BCP,7.5429913366
11/25/2015,BCP,7.5429913366
11/26/2015,BCP,7.5429913366
11/27/2015,BCP,7.5429913366
11/30/2015,BCP,7.5429913366
12/01/2015,BCP,7.5429913366
12/02/2015,BCP,7.5429913366
12/03/2015,BCP,7.5429913366
12/04/2015,BCP,7.5429913366
12/07/2015,BCP,7.5429913366
12/08/2015,BCP,7.5429913366
12/09/2015,BCP,7.5429913366
12/10/2015,BCP,7.5429913366
12/11/2015,BCP,7.5429913366
12/14/2015,BCP,7.5429913366
12/15/2015,BCP,7.5429913366
12/16/2015,BCP,7.5429913366
12/17/2015,BCP,7.5429913366
12/18/2015,BCP,7.5429913366
12/21/2015,BCP,6.7489922485
12/22/2015,BCP,6.7489922485
12/23/2015,BCP,6.7489922485
12/24/2015,BCP,7.5429913366
12/25/2015,BCP,7.781191063
12/28/2015,BCP,7.781191063
12/29/2015,BCP,7.781191063
12/30/2015,BCP,7.781191063
12/31/2015,BCP,7.781191063
01/04/2016,BCP,6.7489922485
01/05/2016,BCP,5.7961933429
01/06/2016,BCP,5.7961933429
01/07/2016,BCP,5.7961933429
01/08/2016,BCP,5.7961933429
01/11/2016,BCP,5.0021942548
01/12/2016,BCP,4.7639945284
01/13/2016,BCP,4.7639945284
01/14/2016,BCP,4.7639945284
01/15/2016,BCP,4.7639945284
