date,ticker,value
07/23/2009,DHC,16.6922664642
07/24/2009,DHC,17.4597263336
07/27/2009,DHC,16.59633255
07/28/2009,DHC,15.8288726806
07/29/2009,DHC,15.2532777786
07/30/2009,DHC,14.581749916
07/31/2009,DHC,15.2532777786
08/03/2009,DHC,15.3492097854
08/04/2009,DHC,14.581749916
08/05/2009,DHC,14.581749916
08/06/2009,DHC,15.2532777786
08/07/2009,DHC,15.2532777786
08/10/2009,DHC,15.2532777786
08/11/2009,DHC,15.3492097854
08/12/2009,DHC,15.3492097854
08/13/2009,DHC,15.0614118576
08/14/2009,DHC,14.8695468902
08/17/2009,DHC,15.0614118576
08/18/2009,DHC,15.0614118576
08/19/2009,DHC,14.9654798507
08/20/2009,DHC,15.0614118576
08/21/2009,DHC,14.6776819229
08/24/2009,DHC,14.9654798507
08/25/2009,DHC,14.8695468902
08/26/2009,DHC,14.8695468902
08/27/2009,DHC,14.965478897
08/28/2009,DHC,15.6370077133
08/31/2009,DHC,16.4044685363
09/01/2009,DHC,16.8841304779
09/03/2009,DHC,17.6515903472
09/04/2009,DHC,17.6515903472
09/07/2009,DHC,16.788198471
09/08/2009,DHC,16.9800624847
09/09/2009,DHC,16.2126026153
09/10/2009,DHC,16.2126026153
09/11/2009,DHC,16.4044685363
09/14/2009,DHC,16.4044685363
09/15/2009,DHC,16.3085346221
09/16/2009,DHC,17.0759944915
09/17/2009,DHC,17.0759963989
09/18/2009,DHC,17.4597263336
09/21/2009,DHC,17.7475242614
09/22/2009,DHC,17.7475242614
09/23/2009,DHC,17.8434562683
09/24/2009,DHC,17.6515922546
09/25/2009,DHC,17.6515922546
09/28/2009,DHC,17.3637943267
09/29/2009,DHC,17.5556583404
09/30/2009,DHC,17.9393882751
10/01/2009,DHC,17.4597263336
10/02/2009,DHC,17.7475242614
10/05/2009,DHC,17.6515922546
10/06/2009,DHC,17.7475242614
10/07/2009,DHC,17.7475242614
10/08/2009,DHC,17.7475242614
10/09/2009,DHC,18.610918045
10/12/2009,DHC,19.4743099212
10/13/2009,DHC,20.4336357116
10/14/2009,DHC,21.392961502
10/15/2009,DHC,22.4482192993
10/16/2009,DHC,23.5034770965
10/19/2009,DHC,24.6546688079
10/20/2009,DHC,25.805858612
10/21/2009,DHC,24.7506008148
10/22/2009,DHC,25.9017925262
10/23/2009,DHC,24.6546688079
10/26/2009,DHC,24.4628028869
10/27/2009,DHC,23.4075450897
10/28/2009,DHC,23.5034770965
10/29/2009,DHC,22.3522872924
10/30/2009,DHC,23.4075450897
11/02/2009,DHC,22.2563552856
11/03/2009,DHC,21.201095581
11/04/2009,DHC,21.7766914367
11/05/2009,DHC,22.831949234
11/06/2009,DHC,23.8872089385
11/09/2009,DHC,22.7360172271
11/10/2009,DHC,22.5441513061
11/11/2009,DHC,22.5441513061
11/12/2009,DHC,23.023815155
11/13/2009,DHC,22.831949234
11/16/2009,DHC,22.6400852203
11/17/2009,DHC,21.7766914367
11/18/2009,DHC,21.4888935089
11/19/2009,DHC,21.7766914367
11/20/2009,DHC,21.8726234436
11/23/2009,DHC,21.4888935089
11/24/2009,DHC,21.1051635742
11/25/2009,DHC,20.0499057769
11/26/2009,DHC,19.0905799865
11/27/2009,DHC,19.0905799865
11/30/2009,DHC,19.9539737701
12/01/2009,DHC,20.9132976531
12/02/2009,DHC,20.3377037048
12/03/2009,DHC,21.1051635742
12/04/2009,DHC,21.1051635742
12/07/2009,DHC,21.1051635742
12/08/2009,DHC,21.0092315673
12/09/2009,DHC,20.0499057769
12/10/2009,DHC,19.0905799865
