date,ticker,value
10/08/2009,MAS,0.0
10/09/2009,MAS,0.0
10/12/2009,MAS,13.7853112777
10/13/2009,MAS,13.7853112777
10/14/2009,MAS,13.7853112777
10/15/2009,MAS,15.0981980661
10/16/2009,MAS,15.0981980661
10/19/2009,MAS,16.5569611643
10/20/2009,MAS,18.1616005723
10/21/2009,MAS,18.1616005723
10/22/2009,MAS,19.7662399802
10/23/2009,MAS,19.7662399802
10/26/2009,MAS,17.7969097977
10/27/2009,MAS,0.0
10/28/2009,MAS,0.0
10/29/2009,MAS,0.0
10/30/2009,MAS,0.0
11/02/2009,MAS,0.0
11/03/2009,MAS,0.0
11/04/2009,MAS,0.0
11/05/2009,MAS,0.0
11/06/2009,MAS,0.0
11/09/2009,MAS,0.0
11/10/2009,MAS,0.0
11/11/2009,MAS,0.0
11/12/2009,MAS,0.0
11/13/2009,MAS,0.0
11/16/2009,MAS,0.0
11/17/2009,MAS,25.5305261953
11/18/2009,MAS,25.5305261953
11/23/2009,MAS,25.5305261953
11/26/2009,MAS,25.5305261953
11/30/2009,MAS,25.5305261953
12/02/2009,MAS,25.5305261953
12/09/2009,MAS,25.5305261953
12/15/2009,MAS,25.5305261953
12/23/2009,MAS,25.5305261953
01/05/2010,MAS,22.9774735758
01/11/2010,MAS,22.9774735758
01/13/2010,MAS,22.9774735758
01/14/2010,MAS,22.9774735758
01/26/2010,MAS,22.9774735758
01/27/2010,MAS,22.9774735758
02/05/2010,MAS,22.9774735758
03/01/2010,MAS,22.9774735758
03/02/2010,MAS,22.9774735758
03/03/2010,MAS,22.9774735758
03/04/2010,MAS,22.9774735758
03/05/2010,MAS,22.9774735758
03/08/2010,MAS,22.9774735758
03/09/2010,MAS,20.9715036605
03/10/2010,MAS,20.9715036605
03/11/2010,MAS,18.8743532944
03/12/2010,MAS,17.0507442805
03/15/2010,MAS,17.0507442805
03/16/2010,MAS,15.4094961679
03/17/2010,MAS,13.9506089567
03/18/2010,MAS,14.1329698581
