date,ticker,value
07/15/2010,AAA,13.0958100675
07/16/2010,AAA,12.2297544919
07/19/2010,AAA,12.3084868169
07/20/2010,AAA,11.8623369749
07/21/2010,AAA,11.8360928666
07/22/2010,AAA,11.9673134084
07/23/2010,AAA,12.2035103835
07/26/2010,AAA,12.0985339501
07/27/2010,AAA,12.0985339501
07/28/2010,AAA,12.0198016251
07/29/2010,AAA,12.4921955754
07/30/2010,AAA,12.8071248756
08/02/2010,AAA,12.912101309
08/03/2010,AAA,12.9383454174
08/04/2010,AAA,12.912101309
08/05/2010,AAA,12.8596130923
08/06/2010,AAA,12.8596130923
08/09/2010,AAA,12.5709279004
08/10/2010,AAA,11.7573605415
08/11/2010,AAA,11.4686753497
08/12/2010,AAA,11.0750137244
08/13/2010,AAA,11.4686753497
08/16/2010,AAA,12.2559986002
08/17/2010,AAA,12.387219142
08/18/2010,AAA,11.7048723248
08/19/2010,AAA,12.3609750336
08/20/2010,AAA,13.0958100675
08/23/2010,AAA,13.9356215347
08/24/2010,AAA,14.6442124602
08/25/2010,AAA,15.3790474941
08/26/2010,AAA,16.3500795031
08/27/2010,AAA,17.3735997288
08/30/2010,AAA,18.580828713
08/31/2010,AAA,19.8143018055
09/01/2010,AAA,20.4179162976
09/06/2010,AAA,21.8350981486
09/07/2010,AAA,23.357256433
09/08/2010,AAA,23.6721857332
09/09/2010,AAA,23.7509180583
09/10/2010,AAA,23.803406275
09/13/2010,AAA,23.7509180583
09/14/2010,AAA,23.7509180583
09/15/2010,AAA,23.9346268168
09/16/2010,AAA,24.0396032502
09/17/2010,AAA,23.803406275
09/20/2010,AAA,22.2025156655
09/21/2010,AAA,20.6541132728
09/22/2010,AAA,19.2106873134
09/23/2010,AAA,17.8722377875
09/24/2010,AAA,16.638764695
09/27/2010,AAA,15.4840239275
09/28/2010,AAA,14.4080154851
09/29/2010,AAA,13.4632275844
09/30/2010,AAA,14.3817713767
10/01/2010,AAA,14.0668420765
10/04/2010,AAA,13.0958100675
10/05/2010,AAA,12.2035103835
10/06/2010,AAA,12.4397073587
10/07/2010,AAA,12.0985339501
10/08/2010,AAA,11.3636989163
10/11/2010,AAA,11.1275019411
10/12/2010,AAA,11.3636989163
10/13/2010,AAA,11.2587224829
10/14/2010,AAA,11.1275019411
10/15/2010,AAA,10.6551079908
10/18/2010,AAA,10.077737607
10/19/2010,AAA,9.4478790066
10/20/2010,AAA,8.7917762978
10/21/2010,AAA,8.3456264558
10/22/2010,AAA,7.9519648305
10/25/2010,AAA,7.7157678554
10/26/2010,AAA,8.2406500224
10/27/2010,AAA,8.7917762978
10/28/2010,AAA,8.5555793226
10/29/2010,AAA,8.4506028892
11/01/2010,AAA,8.3193823475
11/02/2010,AAA,8.0044530472
11/03/2010,AAA,7.689523747
11/04/2010,AAA,7.8207442888
11/05/2010,AAA,8.135673589
11/08/2010,AAA,7.9257207222
11/09/2010,AAA,7.4795708802
11/10/2010,AAA,7.4795708802
11/11/2010,AAA,7.2696180134
11/12/2010,AAA,6.8497122798
11/15/2010,AAA,6.5872711962
11/16/2010,AAA,6.2460977877
11/17/2010,AAA,6.3773183294
11/18/2010,AAA,6.7709799547
11/19/2010,AAA,7.1908856883
11/22/2010,AAA,7.1383974716
11/23/2010,AAA,7.5320590969
11/24/2010,AAA,8.0044530472
11/25/2010,AAA,8.5030911059
11/26/2010,AAA,8.9754850563
11/29/2010,AAA,9.0542173813
11/30/2010,AAA,9.2904143565
12/01/2010,AAA,8.7655321894
12/02/2010,AAA,9.1854379231
12/03/2010,AAA,9.7628083068
12/06/2010,AAA,9.8152965235
12/07/2010,AAA,9.2641702481
12/08/2010,AAA,8.7392880811
12/09/2010,AAA,8.660555756
12/10/2010,AAA,9.1591938147
12/13/2010,AAA,9.7628083068
12/14/2010,AAA,9.2116820314
12/15/2010,AAA,9.1591938147
12/16/2010,AAA,8.660555756
12/17/2010,AAA,8.049942835
12/20/2010,AAA,8.1219683324
12/21/2010,AAA,8.012885182
12/22/2010,AAA,7.8565140365
12/23/2010,AAA,7.5820687034
12/24/2010,AAA,7.8256043088
12/27/2010,AAA,7.9443831992
12/28/2010,AAA,8.1418944147
12/29/2010,AAA,8.0791758557
12/30/2010,AAA,7.8977270066
12/31/2010,AAA,7.858336544
01/04/2011,AAA,8.0097018689
01/05/2011,AAA,7.8746905115
01/06/2011,AAA,7.858822546
01/07/2011,AAA,7.9146398764
01/10/2011,AAA,8.2025960653
01/11/2011,AAA,8.0188387066
01/12/2011,AAA,8.4595453261
01/13/2011,AAA,8.4199847628
01/14/2011,AAA,8.3080828008
01/17/2011,AAA,8.4056963038
01/18/2011,AAA,8.8977247352
01/19/2011,AAA,9.0518845717
01/20/2011,AAA,9.2063360093
01/21/2011,AAA,9.0458095466
01/24/2011,AAA,8.4892157486
01/25/2011,AAA,8.1324659758
01/26/2011,AAA,8.2624472124
01/27/2011,AAA,8.2950822471
01/28/2011,AAA,8.5231386887
02/08/2011,AAA,8.4682933623
02/09/2011,AAA,8.4519150946
02/10/2011,AAA,8.4107507247
02/11/2011,AAA,8.5180599677
02/14/2011,AAA,8.5928070763
02/15/2011,AAA,8.5514969058
02/16/2011,AAA,8.5598561403
02/17/2011,AAA,8.4685849635
02/18/2011,AAA,8.3771193858
02/21/2011,AAA,7.8515082158
02/22/2011,AAA,7.3585563806
02/23/2011,AAA,7.3907540135
02/24/2011,AAA,7.0217569901
02/25/2011,AAA,7.1289690327
03/18/2020,ABS,11.1546632039
03/19/2020,ABS,11.9298907625
03/20/2020,ABS,12.7481865188
03/23/2020,ABS,13.6095504728
03/24/2020,ABS,14.5570508221
03/25/2020,ABS,15.5476193692
03/26/2020,ABS,16.6243243117
03/27/2020,ABS,17.7871656495
03/30/2020,ABS,18.9930751851
03/31/2020,ABS,20.285121116
04/01/2020,ABS,21.6633034424
04/03/2020,ABS,23.1706903618
04/06/2020,ABS,25.0748174909
04/07/2020,ABS,26.8191526207
04/08/2020,ABS,28.6943128853
04/09/2020,ABS,30.7002982845
04/10/2020,ABS,28.5634877505
04/13/2020,ABS,26.6011107295
04/14/2020,ABS,24.7695588432
04/15/2020,ABS,23.0688320916
04/16/2020,ABS,21.4553220966
04/17/2020,ABS,19.9726372362
04/20/2020,ABS,18.5771691324
04/21/2020,ABS,17.3125261633
04/22/2020,ABS,16.1350999507
04/23/2020,ABS,14.9614168946
04/24/2020,ABS,16.0022111134
04/27/2020,ABS,16.6527075001
04/28/2020,ABS,15.5251804298
04/29/2020,ABS,14.4410197852
02/28/2011,AAA,7.1496727182
03/01/2011,AAA,7.0053787224
03/02/2011,AAA,6.58333458
03/03/2011,AAA,6.1604642341
03/04/2011,AAA,5.9136724152
03/07/2011,AAA,2.3953478123
03/08/2011,AAA,2.5530661868
03/09/2011,AAA,2.4544922027
03/10/2011,AAA,2.6023531788
03/11/2011,AAA,2.7699289517
03/14/2011,AAA,2.631925374
03/15/2011,AAA,2.582638382
03/16/2011,AAA,2.631925374
03/17/2011,AAA,2.6122105772
