date,ticker,value
07/23/2015,ACM,26.6272169697
07/24/2015,ACM,25.4489360591
07/27/2015,ACM,23.9177227635
07/28/2015,ACM,24.7753567377
07/29/2015,ACM,25.3793981693
07/30/2015,ACM,25.4672863356
07/31/2015,ACM,24.7728732416
08/03/2015,ACM,23.7111786741
08/04/2015,ACM,24.0562466551
08/05/2015,ACM,24.9336106258
08/06/2015,ACM,24.4856155302
08/07/2015,ACM,25.1022124142
08/10/2015,ACM,24.5459092958
08/11/2015,ACM,24.8981518209
08/12/2015,ACM,24.980659079
08/13/2015,ACM,24.7907406161
08/14/2015,ACM,22.4124482045
08/17/2015,ACM,20.424961493
08/18/2015,ACM,18.5529573485
08/19/2015,ACM,16.9462043809
08/20/2015,ACM,15.328689597
08/21/2015,ACM,13.9800132621
08/24/2015,ACM,12.703082369
08/25/2015,ACM,11.6106890307
02/15/2012,AMC,4.6215693424
02/16/2012,AMC,4.9381151878
02/17/2012,AMC,5.2546610331
02/20/2012,AMC,5.6028614631
02/21/2012,AMC,5.8244435548
02/22/2012,AMC,5.9827164775
02/23/2012,AMC,6.3942260765
02/24/2012,AMC,6.362571492
02/27/2012,AMC,6.362571492
02/28/2012,AMC,6.1093348157
02/29/2012,AMC,6.1093348157
03/01/2012,AMC,6.0776802311
03/02/2012,AMC,6.0776802311
03/05/2012,AMC,6.1726439847
03/06/2012,AMC,6.4891898301
03/07/2012,AMC,6.1726439847
03/08/2012,AMC,6.3309169074
03/09/2012,AMC,6.2359531538
03/12/2012,AMC,5.8244435548
03/13/2012,AMC,5.8244435548
03/14/2012,AMC,5.4445885404
03/15/2012,AMC,5.0647335259
03/16/2012,AMC,4.7798422651
08/26/2015,ACM,10.5111211482
08/27/2015,ACM,9.689359895
08/28/2015,ACM,10.577485682
08/31/2015,ACM,11.542737819
09/01/2015,ACM,12.7364715939
09/03/2015,ACM,13.9804271781
09/04/2015,ACM,12.854851573
09/07/2015,ACM,11.7938468655
09/08/2015,ACM,11.5339765967
09/09/2015,ACM,10.9756728843
09/10/2015,ACM,10.7113185254
09/11/2015,ACM,11.6389043055
09/14/2015,ACM,11.7438320142
09/15/2015,ACM,12.0808286329
09/16/2015,ACM,11.2079487523
