date,ticker,value
05/21/2015,CKD,7.5639602339
05/22/2015,CKD,7.2094356855
05/25/2015,CKD,6.5246374537
05/26/2015,CKD,5.8894957546
05/27/2015,CKD,5.8894957546
05/28/2015,CKD,5.7740154458
05/29/2015,CKD,5.7740154458
06/01/2015,CKD,5.1966139012
06/02/2015,CKD,5.1966139012
06/03/2015,CKD,5.1966139012
06/04/2015,CKD,5.7162752913
06/05/2015,CKD,5.5430548279
06/08/2015,CKD,5.984189608
06/09/2015,CKD,6.0049760636
06/10/2015,CKD,6.0217207084
06/11/2015,CKD,6.2359366814
06/12/2015,CKD,6.178196527
06/15/2015,CKD,6.1204563725
06/16/2015,CKD,6.0049760636
06/17/2015,CKD,6.0049760636
06/18/2015,CKD,6.0049760636
06/19/2015,CKD,6.0049760636
06/22/2015,CKD,6.0049760636
06/23/2015,CKD,6.0049760636
06/24/2015,CKD,6.0049760636
06/25/2015,CKD,5.9472359092
06/26/2015,CKD,5.615230021
06/29/2015,CKD,6.0049760636
06/30/2015,CKD,6.0049760636
07/01/2015,CKD,6.0049760636
07/02/2015,CKD,4.9079131289
07/03/2015,CKD,4.9079131289
07/06/2015,CKD,4.9079131289
07/07/2015,CKD,4.9079131289
07/08/2015,CKD,4.9079131289
07/09/2015,CKD,5.6007949824
07/10/2015,CKD,5.6007949824
07/13/2015,CKD,5.6007949824
07/14/2015,CKD,5.6007949824
07/15/2015,CKD,5.6007949824
07/16/2015,CKD,5.6007949824
07/17/2015,CKD,5.6007949824
07/20/2015,CKD,5.6007949824
07/21/2015,CKD,5.9472359092
07/22/2015,CKD,5.9472359092
07/23/2015,CKD,5.9472359092
07/24/2015,CKD,5.9472359092
07/27/2015,CKD,5.9472359092
07/28/2015,CKD,5.9472359092
07/29/2015,CKD,5.9472359092
07/30/2015,CKD,5.9472359092
07/31/2015,CKD,5.9472359092
08/03/2015,CKD,5.9472359092
08/04/2015,CKD,5.9472359092
08/05/2015,CKD,5.9472359092
08/06/2015,CKD,5.9472359092
08/07/2015,CKD,6.0627162181
08/10/2015,CKD,6.0627162181
08/11/2015,CKD,5.6007949824
08/12/2015,CKD,5.6007949824
08/13/2015,CKD,5.6007949824
08/14/2015,CKD,5.9472359092
08/17/2015,CKD,6.0049760636
08/18/2015,CKD,6.0049760636
08/19/2015,CKD,6.0049760636
08/20/2015,CKD,6.0049760636
08/21/2015,CKD,6.0049760636
08/24/2015,CKD,6.0049760636
08/25/2015,CKD,6.3514169904
08/26/2015,CKD,6.3514169904
08/27/2015,CKD,6.3514169904
08/28/2015,CKD,6.0886992876
08/31/2015,CKD,6.3514169904
09/01/2015,CKD,6.3514169904
09/03/2015,CKD,6.3514169904
09/04/2015,CKD,5.7740154458
09/07/2015,CKD,5.7162752913
09/08/2015,CKD,5.7162752913
09/09/2015,CKD,5.7162752913
09/10/2015,CKD,5.7162752913
09/11/2015,CKD,5.7162752913
09/14/2015,CKD,5.9472359092
09/15/2015,CKD,5.9472359092
09/16/2015,CKD,5.9472359092
09/17/2015,CKD,5.9472359092
09/18/2015,CKD,5.9472359092
09/21/2015,CKD,5.7162752913
09/22/2015,CKD,5.9472359092
09/23/2015,CKD,5.9472359092
09/24/2015,CKD,5.9472359092
09/25/2015,CKD,5.9472359092
09/28/2015,CKD,5.9472359092
09/29/2015,CKD,5.9472359092
09/30/2015,CKD,5.9472359092
10/01/2015,CKD,5.9472359092
10/02/2015,CKD,5.9472359092
10/05/2015,CKD,5.9472359092
10/06/2015,CKD,5.9472359092
10/07/2015,CKD,5.9472359092
10/08/2015,CKD,5.9472359092
10/09/2015,CKD,5.9472359092
10/12/2015,CKD,5.9472359092
10/13/2015,CKD,5.9472359092
10/14/2015,CKD,5.9472359092
10/15/2015,CKD,5.9472359092
10/16/2015,CKD,5.9472359092
10/19/2015,CKD,5.9472359092
10/20/2015,CKD,5.9472359092
10/21/2015,CKD,5.9472359092
10/22/2015,CKD,5.9472359092
10/23/2015,CKD,5.9472359092
10/26/2015,CKD,5.9472359092
10/27/2015,CKD,5.9472359092
10/28/2015,CKD,5.9472359092
10/29/2015,CKD,5.9472359092
10/30/2015,CKD,5.9472359092
11/02/2015,CKD,5.9472359092
11/03/2015,CKD,5.9472359092
11/04/2015,CKD,5.9472359092
11/05/2015,CKD,5.7740154458
11/06/2015,CKD,4.9079131289
11/09/2015,CKD,4.9079131289
11/10/2015,CKD,5.6007949824
11/11/2015,CKD,5.6007949824
11/12/2015,CKD,5.6007949824
11/13/2015,CKD,5.6007949824
11/16/2015,CKD,5.6007949824
11/17/2015,CKD,5.6007949824
11/18/2015,CKD,5.6007949824
11/19/2015,CKD,5.6007949824
11/20/2015,CKD,5.6007949824
11/23/2015,CKD,5.6007949824
11/24/2015,CKD,5.6007949824
11/25/2015,CKD,5.6007949824
11/26/2015,CKD,5.6007949824
11/27/2015,CKD,5.7740154458
11/30/2015,CKD,5.7740154458
12/01/2015,CKD,5.7740154458
12/02/2015,CKD,5.7740154458
12/03/2015,CKD,5.7740154458
12/04/2015,CKD,5.7740154458
12/07/2015,CKD,5.1966139012
12/08/2015,CKD,5.7740154458
12/09/2015,CKD,5.7740154458
12/10/2015,CKD,5.7740154458
12/11/2015,CKD,5.7740154458
12/14/2015,CKD,5.7740154458
12/15/2015,CKD,5.7740154458
12/16/2015,CKD,5.7740154458
12/17/2015,CKD,5.7740154458
12/18/2015,CKD,5.7740154458
12/21/2015,CKD,5.7740154458
12/22/2015,CKD,5.7740154458
12/23/2015,CKD,5.7740154458
12/24/2015,CKD,6.2936768359
12/25/2015,CKD,6.2936768359
12/28/2015,CKD,6.2936768359
12/29/2015,CKD,6.2936768359
12/30/2015,CKD,6.2936768359
12/31/2015,CKD,6.2936768359
01/04/2016,CKD,6.2936768359
01/05/2016,CKD,6.2936768359
01/06/2016,CKD,6.2936768359
01/07/2016,CKD,6.2936768359
01/08/2016,CKD,6.2936768359
01/11/2016,CKD,6.2936768359
01/12/2016,CKD,6.0627162181
01/13/2016,CKD,6.0627162181
01/14/2016,CKD,6.0627162181
01/15/2016,CKD,6.0049760636
01/18/2016,CKD,5.2439608279
01/19/2016,CKD,5.1388737467
01/20/2016,CKD,5.1388737467
01/21/2016,CKD,5.1388737467
01/22/2016,CKD,5.9472359092
01/25/2016,CKD,5.9472359092
01/26/2016,CKD,5.9472359092
01/27/2016,CKD,5.9472359092
01/28/2016,CKD,5.9472359092
01/29/2016,CKD,5.9472359092
02/01/2016,CKD,5.9472359092
02/02/2016,CKD,5.9472359092
02/03/2016,CKD,5.5657746734
02/04/2016,CKD,5.5657746734
02/05/2016,CKD,5.5657746734
02/15/2016,CKD,5.5657746734
02/16/2016,CKD,5.5657746734
02/17/2016,CKD,5.5657746734
02/18/2016,CKD,5.5657746734
02/19/2016,CKD,5.5657746734
02/22/2016,CKD,5.5560480768
02/23/2016,CKD,5.4577013787
02/24/2016,CKD,5.4577013787
02/25/2016,CKD,5.4577013787
02/26/2016,CKD,5.4577013787
02/29/2016,CKD,5.4577013787
03/01/2016,CKD,5.4577013787
03/02/2016,CKD,5.4577013787
03/03/2016,CKD,5.4577013787
03/04/2016,CKD,5.4577013787
03/07/2016,CKD,5.4577013787
03/08/2016,CKD,5.4577013787
03/09/2016,CKD,5.4577013787
03/10/2016,CKD,5.4577013787
03/11/2016,CKD,5.4577013787
03/14/2016,CKD,5.4577013787
03/15/2016,CKD,5.673847968
03/16/2016,CKD,5.673847968
03/17/2016,CKD,5.673847968
03/18/2016,CKD,5.673847968
03/21/2016,CKD,5.673847968
03/22/2016,CKD,5.673847968
03/23/2016,CKD,5.673847968
03/24/2016,CKD,5.9440312046
03/25/2016,CKD,5.9440312046
03/28/2016,CKD,5.3887384096
03/29/2016,CKD,5.3887384096
03/30/2016,CKD,5.3887384096
03/31/2016,CKD,5.3887384096
04/01/2016,CKD,5.1437957546
04/04/2016,CKD,5.1437957546
04/05/2016,CKD,5.1437957546
04/06/2016,CKD,5.1437957546
04/07/2016,CKD,5.1437957546
04/08/2016,CKD,5.1437957546
04/11/2016,CKD,5.1437957546
04/12/2016,CKD,5.1437957546
04/13/2016,CKD,5.1437957546
04/14/2016,CKD,5.1437957546
04/15/2016,CKD,5.1437957546
04/19/2016,CKD,5.1437957546
04/20/2016,CKD,5.1437957546
04/21/2016,CKD,5.1437957546
04/22/2016,CKD,5.1437957546
04/25/2016,CKD,5.1437957546
04/26/2016,CKD,5.1437957546
04/27/2016,CKD,5.1437957546
04/28/2016,CKD,6.8310345954
04/29/2016,CKD,6.8310345954
05/04/2016,CKD,6.1226563078
05/05/2016,CKD,6.8310345954
05/06/2016,CKD,6.8310345954
05/09/2016,CKD,7.156321957
05/10/2016,CKD,7.156321957
05/11/2016,CKD,7.156321957
05/12/2016,CKD,6.9754621839
05/13/2016,CKD,6.9754621839
05/16/2016,CKD,6.9754621839
05/17/2016,CKD,6.9754621839
05/18/2016,CKD,6.9754621839
05/19/2016,CKD,6.9754621839
05/20/2016,CKD,7.469248399
05/23/2016,CKD,7.469248399
05/24/2016,CKD,7.469248399
05/25/2016,CKD,7.469248399
05/26/2016,CKD,7.4165518464
05/27/2016,CKD,7.4165518464
05/30/2016,CKD,7.4165518464
05/31/2016,CKD,7.4165518464
06/01/2016,CKD,7.4165518464
06/02/2016,CKD,7.4165518464
06/03/2016,CKD,7.4165518464
06/06/2016,CKD,7.4165518464
06/07/2016,CKD,7.4165518464
06/08/2016,CKD,7.4165518464
06/09/2016,CKD,7.4165518464
06/10/2016,CKD,7.4165518464
06/13/2016,CKD,7.4165518464
06/14/2016,CKD,7.4165518464
06/15/2016,CKD,7.4165518464
06/16/2016,CKD,7.4165518464
06/17/2016,CKD,7.4165518464
06/20/2016,CKD,7.4165518464
06/21/2016,CKD,7.4165518464
06/22/2016,CKD,7.4165518464
06/23/2016,CKD,7.4165518464
06/24/2016,CKD,7.4165518464
06/27/2016,CKD,7.4165518464
06/28/2016,CKD,7.4165518464
06/29/2016,CKD,7.4165518464
06/30/2016,CKD,7.4165518464
07/01/2016,CKD,7.4165518464
