date,ticker,value
10/14/2016,APL,3.9196774471
10/17/2016,APL,3.9196774471
10/18/2016,APL,3.9196774471
10/19/2016,APL,3.9196774471
10/20/2016,APL,3.9196774471
10/21/2016,APL,3.9196774471
10/24/2016,APL,3.9196774471
10/25/2016,APL,3.9196774471
10/27/2016,APL,3.9196774471
10/28/2016,APL,3.9196774471
10/31/2016,APL,3.9196774471
11/01/2016,APL,3.9196774471
11/02/2016,APL,3.9196774471
11/04/2016,APL,3.9196774471
11/07/2016,APL,3.9196774471
11/08/2016,APL,3.9196774471
11/09/2016,APL,3.9196774471
11/10/2016,APL,3.9196774471
11/11/2016,APL,3.9196774471
11/14/2016,APL,3.9196774471
11/15/2016,APL,3.9196774471
11/17/2016,APL,3.9196774471
11/18/2016,APL,3.9196774471
11/21/2016,APL,3.9196774471
11/22/2016,APL,3.9196774471
11/23/2016,APL,3.9196774471
11/24/2016,APL,3.9196774471
11/25/2016,APL,3.9196774471
11/28/2016,APL,3.9196774471
11/29/2016,APL,3.9196774471
11/30/2016,APL,3.9196774471
12/01/2016,APL,3.9196774471
12/02/2016,APL,3.9196774471
12/05/2016,APL,3.9196774471
12/06/2016,APL,3.9196774471
12/07/2016,APL,3.9196774471
12/08/2016,APL,3.9196774471
12/09/2016,APL,3.9196774471
12/12/2016,APL,3.9196774471
12/13/2016,APL,3.9196774471
12/14/2016,APL,3.9196774471
12/15/2016,APL,3.9196774471
12/16/2016,APL,3.9196774471
12/19/2016,APL,3.9196774471
12/20/2016,APL,3.9196774471
12/21/2016,APL,3.9196774471
12/22/2016,APL,3.9196774471
12/23/2016,APL,3.9196774471
12/26/2016,APL,3.9196774471
12/27/2016,APL,3.9196774471
12/28/2016,APL,3.9196774471
12/29/2016,APL,3.9196774471
01/03/2017,APL,3.9196774471
01/04/2017,APL,3.9196774471
01/05/2017,APL,3.9196774471
01/06/2017,APL,3.9196774471
01/09/2017,APL,3.9196774471
01/10/2017,APL,3.9196774471
01/11/2017,APL,3.9196774471
01/12/2017,APL,3.9196774471
01/13/2017,APL,3.9196774471
01/16/2017,APL,3.9196774471
01/18/2017,APL,3.9196774471
01/19/2017,APL,3.9196774471
01/20/2017,APL,3.9196774471
01/23/2017,APL,3.9196774471
01/24/2017,APL,3.9196774471
01/25/2017,APL,3.9196774471
02/02/2017,APL,3.9196774471
02/03/2017,APL,3.9196774471
02/07/2017,APL,3.9196774471
02/08/2017,APL,3.9196774471
02/09/2017,APL,3.9196774471
02/10/2017,APL,3.9196774471
02/13/2017,APL,3.9196774471
02/14/2017,APL,3.9196774471
02/15/2017,APL,3.9196774471
02/16/2017,APL,3.9196774471
02/17/2017,APL,3.9196774471
02/20/2017,APL,3.9196774471
02/21/2017,APL,3.9196774471
02/22/2017,APL,3.9196774471
02/23/2017,APL,3.9196774471
02/24/2017,APL,3.9196774471
02/27/2017,APL,3.9196774471
02/28/2017,APL,3.9196774471
03/02/2017,APL,8.9886476002
03/03/2017,APL,8.9886476002
03/06/2017,APL,8.9886476002
03/07/2017,APL,8.9886476002
03/08/2017,APL,8.9886476002
03/09/2017,APL,8.9886476002
02/24/2009,CTB,4.5522317886
04/10/2009,CTB,4.065105915
04/13/2009,CTB,4.2640967369
04/14/2009,CTB,4.5522317886
04/15/2009,CTB,4.2640967369
04/17/2009,CTB,3.9798238277
04/20/2009,CTB,3.752405405
04/21/2009,CTB,3.5249867439
04/22/2009,CTB,3.6671233177
04/23/2009,CTB,3.6671233177
04/24/2009,CTB,3.780832529
04/27/2009,CTB,3.6671233177
04/28/2009,CTB,3.6671233177
04/29/2009,CTB,3.439704895
05/04/2009,CTB,3.6102688312
05/05/2009,CTB,3.8376872539
05/06/2009,CTB,3.6955506801
05/07/2009,CTB,3.8945419788
05/08/2009,CTB,4.065105915
05/11/2009,CTB,4.1219601631
03/10/2017,APL,8.9886476002
03/13/2017,APL,8.9886476002
03/14/2017,APL,8.9886476002
03/15/2017,APL,8.9886476002
03/16/2017,APL,8.9886476002
03/17/2017,APL,8.9886476002
03/20/2017,APL,8.9886476002
03/21/2017,APL,8.9886476002
03/22/2017,APL,8.9886476002
03/23/2017,APL,8.9886476002
03/24/2017,APL,8.9886476002
03/28/2017,APL,8.9886476002
03/29/2017,APL,8.9886476002
03/30/2017,APL,8.9886476002
03/31/2017,APL,8.9886476002
04/03/2017,APL,8.9886476002
04/04/2017,APL,8.9886476002
04/05/2017,APL,8.9886476002
04/07/2017,APL,8.9886476002
04/10/2017,APL,8.9886476002
04/11/2017,APL,8.9886476002
04/12/2017,APL,8.3894044269
04/13/2017,APL,8.3894044269
04/14/2017,APL,8.3894044269
04/17/2017,APL,8.3894044269
04/18/2017,APL,8.3894044269
04/19/2017,APL,8.3894044269
04/20/2017,APL,8.3894044269
04/21/2017,APL,8.3894044269
04/24/2017,APL,8.3894044269
04/25/2017,APL,8.3894044269
04/26/2017,APL,8.3894044269
04/27/2017,APL,8.3894044269
05/12/2009,CTB,4.1219601631
05/13/2009,CTB,3.9798238277
05/14/2009,CTB,3.7239780426
05/15/2009,CTB,3.9798238277
05/18/2009,CTB,3.8945419788
05/19/2009,CTB,4.1219601631
05/21/2009,CTB,4.3493790626
05/25/2009,CTB,4.3778061866
06/05/2009,CTB,4.6764235496
06/08/2009,CTB,4.9959311485
06/10/2009,CTB,5.2283000946
06/11/2009,CTB,5.2863922119
06/12/2009,CTB,5.2863922119
06/16/2009,CTB,5.3154382705
