date,ticker,value
12/28/2020,ABB,7.9923456436
12/29/2020,ABB,7.8929440767
12/30/2020,ABB,7.8257187395
12/31/2020,ABB,7.7263171725
01/04/2021,ABB,7.6654121662
01/05/2021,ABB,7.4390294068
01/06/2021,ABB,7.7906696321
01/07/2021,ABB,7.7659628842
01/08/2021,ABB,7.8372102501
01/11/2021,ABB,7.8699610554
01/12/2021,ABB,7.7768798193
01/13/2021,ABB,7.7849238767
01/14/2021,ABB,7.752747647
01/15/2021,ABB,7.9446558745
01/18/2021,ABB,8.2819317115
01/19/2021,ABB,7.881452566
01/20/2021,ABB,7.5539445131
01/21/2021,ABB,7.7722832151
01/22/2021,ABB,7.7786035459
01/25/2021,ABB,7.6447274471
01/26/2021,ABB,7.3660583143
01/27/2021,ABB,7.2011551367
01/28/2021,ABB,6.3605511341
01/29/2021,ABB,6.7041473019
02/01/2021,ABB,6.8035488689
02/02/2021,ABB,6.732301503
02/03/2021,ABB,6.186700759
02/04/2021,ABB,6.2673990765
02/05/2021,ABB,6.4211344788
02/08/2021,ABB,6.4068335112
02/09/2021,ABB,6.427263465
02/17/2021,ABB,6.4722093633
02/18/2021,ABB,6.611643798
02/19/2021,ABB,6.631563003
02/22/2021,ABB,6.605004063
02/23/2021,ABB,6.5483109412
02/24/2021,ABB,6.5217520013
02/25/2021,ABB,6.5181767594
02/26/2021,ABB,6.4655696283
03/01/2021,ABB,6.5396282109
03/02/2021,ABB,6.5743591323
03/03/2021,ABB,6.5401389597
03/04/2021,ABB,6.6310522541
03/05/2021,ABB,6.6080685561
03/08/2021,ABB,6.6560789475
03/09/2021,ABB,7.0207536228
03/10/2021,ABB,7.1867469974
03/11/2021,ABB,7.095833703
03/12/2021,ABB,7.1162636568
03/15/2021,ABB,7.1509945783
03/16/2021,ABB,7.3619338513
03/17/2021,ABB,7.6459102091
03/18/2021,ABB,7.6566359348
03/19/2021,ABB,7.5299702212
03/22/2021,ABB,7.4513148991
03/23/2021,ABB,7.3721488282
03/24/2021,ABB,7.174999774
03/25/2021,ABB,7.1428225968
03/26/2021,ABB,7.0289256043
03/29/2021,ABB,7.2143274351
03/30/2021,ABB,7.395643275
02/24/2009,ACB,12.0758485794
04/10/2009,ACB,10.5128040313
04/13/2009,ACB,11.228934288
04/14/2009,ACB,12.0758485794
04/15/2009,ACB,11.773194313
04/17/2009,ACB,11.3721609115
04/20/2009,ACB,10.2034139633
04/21/2009,ACB,9.4978580474
04/22/2009,ACB,10.1318674087
04/23/2009,ACB,9.8880519866
04/24/2009,ACB,9.562965393
04/27/2009,ACB,9.5358753204
04/28/2009,ACB,9.8067808151
04/29/2009,ACB,10.0235052108
05/04/2009,ACB,10.6194972991
05/05/2009,ACB,11.3509426116
05/06/2009,ACB,11.1071271896
05/07/2009,ACB,12.0552968978
03/31/2021,ABB,7.5376314539
04/01/2021,ABB,7.5498894262
04/02/2021,ABB,8.1893469801
04/05/2021,ABB,8.7261440161
04/06/2021,ABB,8.6275694891
04/07/2021,ABB,8.9863477006
04/08/2021,ABB,9.1862147058
04/09/2021,ABB,9.0696682168
04/12/2021,ABB,9.2644235339
04/13/2021,ABB,9.1647456157
04/14/2021,ABB,9.0165066605
04/15/2021,ABB,9.0292858807
04/16/2021,ABB,8.7205399188
04/19/2021,ABB,8.6949814782
04/20/2021,ABB,8.7829025137
04/22/2021,ABB,8.5058490181
04/23/2021,ABB,8.3714116207
04/26/2021,ABB,8.3755009712
04/27/2021,ABB,8.2855352605
04/28/2021,ABB,8.44910928
04/29/2021,ABB,7.9856314579
05/04/2021,ABB,7.9152114274
05/05/2021,ABB,8.0954867055
05/06/2021,ABB,8.3893729661
05/07/2021,ABB,8.4128463096
05/10/2021,ABB,8.487022075
05/11/2021,ABB,8.4959419456
05/12/2021,ABB,8.3630828214
05/13/2021,ABB,8.4931251443
05/14/2021,ABB,8.8001564773
05/17/2021,ABB,8.7386563173
05/18/2021,ABB,8.5804459821
05/08/2009,ACB,11.8656625747
05/11/2009,ACB,11.6760292053
05/12/2009,ACB,11.6760292053
05/13/2009,ACB,11.3780326843
05/14/2009,ACB,11.2696704864
05/15/2009,ACB,11.8114814758
05/18/2009,ACB,11.9740247726
05/19/2009,ACB,12.3803834915
05/20/2009,ACB,12.1365680694
05/21/2009,ACB,11.8656625747
05/22/2009,ACB,12.4789409637
05/25/2009,ACB,13.0883779525
05/26/2009,ACB,12.8562116622
05/27/2009,ACB,12.6530656814
05/28/2009,ACB,12.2467746734
05/29/2009,ACB,12.4499206542
06/01/2009,ACB,12.8852319717
06/02/2009,ACB,13.117398262
06/03/2009,ACB,12.9142532348
06/04/2009,ACB,13.2334814071
06/05/2009,ACB,14.1331262588
06/08/2009,ACB,15.1198329925
06/09/2009,ACB,16.1645812988
06/10/2009,ACB,15.816332817
06/11/2009,ACB,16.4257698059
06/12/2009,ACB,16.4257698059
06/15/2009,ACB,15.5261240005
06/16/2009,ACB,14.6555004119
06/17/2009,ACB,14.1331262588
06/18/2009,ACB,14.9166879653
06/19/2009,ACB,14.8296251296
06/22/2009,ACB,13.9299812316
05/19/2021,ABB,8.5785681147
05/20/2021,ABB,8.8555535679
05/21/2021,ABB,9.1705658377
05/24/2021,ABB,9.0987374066
05/25/2021,ABB,9.1020236747
05/26/2021,ABB,9.3874595316
05/27/2021,ABB,9.9423693719
05/28/2021,ABB,10.4263897148
05/31/2021,ABB,11.375182259
06/01/2021,ABB,11.6446562423
06/02/2021,ABB,11.0381050463
06/03/2021,ABB,11.6211828988
06/04/2021,ABB,11.7347938814
06/07/2021,ABB,10.9869331575
06/08/2021,ABB,10.3653590217
06/09/2021,ABB,10.1137247794
06/10/2021,ABB,10.0954155715
06/11/2021,ABB,10.40761104
06/14/2021,ABB,10.4639470644
06/15/2021,ABB,10.3357826089
06/16/2021,ABB,10.1695913369
06/17/2021,ABB,10.0517551526
06/18/2021,ABB,10.2339082981
06/21/2021,ABB,10.1653661351
06/22/2021,ABB,10.3043283286
06/23/2021,ABB,10.6456307431
06/24/2021,ABB,10.6395276738
06/25/2021,ABB,10.4686417331
06/28/2021,ABB,10.7005583669
06/29/2021,ABB,11.0498417181
06/30/2021,ABB,10.9061848559
07/01/2021,ABB,10.8766084431
06/23/2009,ACB,13.03033638
06/24/2009,ACB,13.03033638
06/25/2009,ACB,14.3943138122
06/26/2009,ACB,14.3943138122
06/29/2009,ACB,14.3943138122
