date,ticker,value
02/24/2009,GTA,17.6115455627
04/10/2009,GTA,10.5919790267
04/13/2009,GTA,13.6517763137
04/14/2009,GTA,17.6115455627
04/15/2009,GTA,13.513879776
04/17/2009,GTA,12.9174270629
04/20/2009,GTA,12.379240036
04/21/2009,GTA,12.2432041168
04/22/2009,GTA,12.6513109207
04/23/2009,GTA,13.0594177246
04/24/2009,GTA,12.7873468399
04/27/2009,GTA,12.379240036
04/28/2009,GTA,12.6513109207
04/29/2009,GTA,12.6513109207
05/04/2009,GTA,12.6513109207
05/05/2009,GTA,12.5152750015
05/06/2009,GTA,11.9711332321
05/07/2009,GTA,12.5152750015
05/08/2009,GTA,12.2432041168
05/11/2009,GTA,12.1071681976
05/12/2009,GTA,12.6513109207
05/13/2009,GTA,13.1954536437
05/14/2009,GTA,13.7395954132
05/15/2009,GTA,14.4197740554
05/18/2009,GTA,15.099951744
05/19/2009,GTA,15.7801294326
05/20/2009,GTA,16.4603080749
05/21/2009,GTA,17.2765216827
05/22/2009,GTA,17.7014198303
05/25/2009,GTA,18.2865905761
05/26/2009,GTA,17.7014198303
05/27/2009,GTA,17.1162490844
05/28/2009,GTA,16.3847846984
05/29/2009,GTA,16.3847846984
06/01/2009,GTA,17.1162490844
06/02/2009,GTA,17.8477134704
06/03/2009,GTA,18.2865905761
06/04/2009,GTA,19.1643466949
06/05/2009,GTA,20.042104721
06/08/2009,GTA,20.9198608398
06/09/2009,GTA,21.3587379455
06/10/2009,GTA,20.3346900939
06/11/2009,GTA,21.2124462127
06/12/2009,GTA,22.0902023315
06/15/2009,GTA,21.0661525726
06/16/2009,GTA,20.042104721
06/17/2009,GTA,19.1643466949
06/18/2009,GTA,18.579175949
06/19/2009,GTA,19.0180549621
06/22/2009,GTA,18.1402988433
06/23/2009,GTA,17.2625427246
06/24/2009,GTA,17.9940052032
06/25/2009,GTA,18.1402988433
06/26/2009,GTA,18.7254695892
06/29/2009,GTA,17.8477134704
06/30/2009,GTA,16.9699573516
07/01/2009,GTA,16.5310783386
07/02/2009,GTA,16.5310783386
07/03/2009,GTA,16.0921993255
07/06/2009,GTA,16.8236637115
07/07/2009,GTA,16.9699573516
07/08/2009,GTA,16.3847846984
07/09/2009,GTA,16.5310783386
07/10/2009,GTA,16.0921993255
07/13/2009,GTA,15.3607368469
07/14/2009,GTA,14.9218578338
07/15/2009,GTA,14.9218578338
07/16/2009,GTA,15.3607368469
07/17/2009,GTA,15.3607368469
07/20/2009,GTA,15.5070295333
07/21/2009,GTA,15.7996149063
07/22/2009,GTA,15.6533222198
07/23/2009,GTA,15.6533222198
07/24/2009,GTA,16.3847846984
07/27/2009,GTA,16.3847846984
07/28/2009,GTA,15.7996149063
07/29/2009,GTA,15.6533222198
07/30/2009,GTA,14.4319124221
07/31/2009,GTA,11.1005544662
08/03/2009,GTA,11.1005544662
08/04/2009,GTA,11.4147214889
08/05/2009,GTA,11.5194435119
08/06/2009,GTA,11.5194435119
08/07/2009,GTA,11.3099994659
08/10/2009,GTA,11.8336105346
08/11/2009,GTA,12.1477766036
08/12/2009,GTA,12.0430545806
08/13/2009,GTA,11.9383325576
08/14/2009,GTA,11.8336105346
08/17/2009,GTA,11.6241655349
08/18/2009,GTA,11.6241655349
08/19/2009,GTA,12.1477766036
08/20/2009,GTA,12.6713876724
08/21/2009,GTA,13.2997217178
08/24/2009,GTA,13.4044437408
08/25/2009,GTA,12.7346916198
08/26/2009,GTA,12.8382253646
08/27/2009,GTA,13.0452938079
08/28/2009,GTA,13.2523622512
08/31/2009,GTA,13.770031929
09/01/2009,GTA,14.3912363052
09/03/2009,GTA,15.0124416351
09/04/2009,GTA,14.287703514
09/07/2009,GTA,13.770031929
09/08/2009,GTA,13.5629644393
09/09/2009,GTA,14.1841688156
09/10/2009,GTA,14.287703514
09/11/2009,GTA,14.4947710037
09/14/2009,GTA,14.287703514
09/15/2009,GTA,14.3912363052
09/16/2009,GTA,14.1841688156
09/17/2009,GTA,14.3469438552
09/18/2009,GTA,14.7658319473
09/21/2009,GTA,15.4988880157
09/22/2009,GTA,15.7083320617
09/23/2009,GTA,15.07999897
09/24/2009,GTA,14.4516658782
09/25/2009,GTA,14.870554924
09/28/2009,GTA,14.870554924
09/29/2009,GTA,14.975276947
09/30/2009,GTA,14.6611099243
10/01/2009,GTA,14.1374988555
10/02/2009,GTA,13.7186098098
10/05/2009,GTA,13.6138877868
10/06/2009,GTA,13.7186098098
10/07/2009,GTA,14.1374988555
10/08/2009,GTA,13.8233327865
10/09/2009,GTA,14.4516658782
10/12/2009,GTA,15.07999897
10/13/2009,GTA,15.7083320617
10/14/2009,GTA,15.7083320617
10/15/2009,GTA,16.4413871765
10/16/2009,GTA,17.1744441986
10/19/2009,GTA,18.0122203826
10/20/2009,GTA,18.8499984741
10/21/2009,GTA,18.8499984741
10/22/2009,GTA,18.3263874053
10/23/2009,GTA,17.8027763366
10/26/2009,GTA,16.9649982452
10/27/2009,GTA,16.0209789276
10/28/2009,GTA,15.9169454574
10/29/2009,GTA,15.1887197494
10/30/2009,GTA,15.9169454574
11/02/2009,GTA,15.1887197494
11/03/2009,GTA,14.4604930877
11/04/2009,GTA,14.9806547164
11/05/2009,GTA,15.7088813781
11/06/2009,GTA,15.6048488616
11/09/2009,GTA,17.8898162841
11/10/2009,GTA,17.1444072723
11/11/2009,GTA,17.7655830383
11/12/2009,GTA,17.7655830383
11/13/2009,GTA,18.0140514373
11/16/2009,GTA,18.8836956024
11/17/2009,GTA,19.0079307556
11/18/2009,GTA,18.7594604492
11/19/2009,GTA,18.635225296
11/20/2009,GTA,18.0140514373
11/23/2009,GTA,17.3928775787
11/24/2009,GTA,18.1382865905
11/25/2009,GTA,17.2686424255
11/26/2009,GTA,16.5232334136
11/27/2009,GTA,16.77170372
11/30/2009,GTA,16.5232334136
12/01/2009,GTA,17.0201721191
12/02/2009,GTA,16.5232334136
12/03/2009,GTA,16.6474685668
12/04/2009,GTA,16.6474685668
12/07/2009,GTA,16.6474685668
12/08/2009,GTA,16.1505298614
12/09/2009,GTA,15.4051198959
12/10/2009,GTA,14.659710884
12/11/2009,GTA,14.9081811904
12/14/2009,GTA,15.1566505432
12/15/2009,GTA,15.2808856964
12/16/2009,GTA,14.5354766845
12/17/2009,GTA,14.5354766845
12/18/2009,GTA,14.659710884
12/21/2009,GTA,15.1566505432
12/22/2009,GTA,14.659710884
12/23/2009,GTA,14.659710884
12/24/2009,GTA,15.2808856964
12/25/2009,GTA,16.0262947082
12/28/2009,GTA,15.6535902023
12/29/2009,GTA,15.1566505432
12/30/2009,GTA,15.4051198959
12/31/2009,GTA,14.9081811904
01/04/2010,GTA,15.6535902023
01/05/2010,GTA,16.2747631072
01/06/2010,GTA,16.1505298614
01/07/2010,GTA,16.8959388732
01/08/2010,GTA,17.6413478851
01/11/2010,GTA,17.3928775787
01/12/2010,GTA,16.5232334136
01/13/2010,GTA,15.7778244018
01/14/2010,GTA,15.7778244018
01/15/2010,GTA,15.2808856964
01/18/2010,GTA,15.6535902023
01/19/2010,GTA,15.1566505432
01/20/2010,GTA,14.659710884
01/21/2010,GTA,14.2870063781
01/22/2010,GTA,14.2870063781
01/25/2010,GTA,14.4112415313
01/26/2010,GTA,15.03241539
01/27/2010,GTA,14.5354766845
01/28/2010,GTA,14.2185802459
01/29/2010,GTA,14.2870063781
02/01/2010,GTA,14.1627721786
02/02/2010,GTA,12.6570110321
02/03/2010,GTA,12.6570110321
02/04/2010,GTA,13.2073154449
02/05/2010,GTA,13.4274377822
02/08/2010,GTA,13.0972547531
02/09/2010,GTA,12.6570110321
02/10/2010,GTA,12.9871940612
02/11/2010,GTA,13.2073154449
02/12/2010,GTA,13.4274377822
02/22/2010,GTA,13.4274377822
02/23/2010,GTA,12.8771333694
02/24/2010,GTA,12.8771333694
02/25/2010,GTA,12.7670717239
02/26/2010,GTA,12.8771333694
03/01/2010,GTA,12.9871940612
03/02/2010,GTA,12.9871940612
03/03/2010,GTA,12.9871940612
03/04/2010,GTA,13.2073154449
03/05/2010,GTA,13.2073154449
03/08/2010,GTA,13.3173770904
03/09/2010,GTA,13.2073154449
03/10/2010,GTA,13.8676815032
03/11/2010,GTA,14.0878038406
03/12/2010,GTA,14.0878038406
03/15/2010,GTA,13.7576208114
03/16/2010,GTA,13.5374984741
03/17/2010,GTA,13.0972547531
03/18/2010,GTA,13.4274377822
03/19/2010,GTA,13.3173770904
03/22/2010,GTA,13.2073154449
03/23/2010,GTA,13.0972547531
03/24/2010,GTA,13.3173770904
03/25/2010,GTA,12.8771333694
03/26/2010,GTA,13.0972547531
03/29/2010,GTA,12.8771333694
03/30/2010,GTA,12.8746185302
03/31/2010,GTA,12.9846582412
04/01/2010,GTA,13.2047376632
04/02/2010,GTA,13.2047376632
04/05/2010,GTA,12.9846582412
04/06/2010,GTA,12.9846582412
04/07/2010,GTA,12.8746185302
04/08/2010,GTA,13.4248161315
04/09/2010,GTA,13.6448955535
04/12/2010,GTA,13.5348558425
04/13/2010,GTA,13.3147764205
04/14/2010,GTA,13.2047376632
04/15/2010,GTA,13.8649740219
04/16/2010,GTA,14.5252113342
04/19/2010,GTA,14.4151716232
04/20/2010,GTA,13.8649740219
