date,ticker,value
09/24/2009,AAM,153.4994049072
09/25/2009,AAM,160.9050750732
09/28/2009,AAM,168.310760498
09/29/2009,AAM,176.7262878417
10/01/2009,AAM,193.5573730468
10/02/2009,AAM,201.9729003906
10/05/2009,AAM,212.0715484619
10/06/2009,AAM,212.0715484619
10/08/2009,AAM,208.7053375244
10/12/2009,AAM,228.9026184082
10/13/2009,AAM,220.4870910644
10/16/2009,AAM,223.8533020019
10/27/2009,AAM,0.0
10/28/2009,AAM,0.0
11/02/2009,AAM,0.0
11/04/2009,AAM,0.0
11/05/2009,AAM,0.0
11/09/2009,AAM,131.6190032958
11/10/2009,AAM,166.7286376953
11/11/2009,AAM,175.0431976318
11/12/2009,AAM,181.6073150634
11/16/2009,AAM,177.6688385009
11/17/2009,AAM,172.8551483154
11/19/2009,AAM,175.0431976318
11/20/2009,AAM,174.16796875
11/23/2009,AAM,166.2910308837
11/24/2009,AAM,166.2910308837
11/26/2009,AAM,150.099533081
11/27/2009,AAM,150.9747467041
11/30/2009,AAM,147.4738922119
12/02/2009,AAM,145.723449707
12/03/2009,AAM,145.723449707
12/04/2009,AAM,146.5986785888
12/07/2009,AAM,146.5986785888
12/09/2009,AAM,139.1593322753
12/15/2009,AAM,131.2806854248
12/16/2009,AAM,11.712691307
12/23/2009,AAM,13.1392488479
12/25/2009,AAM,13.8838062286
01/05/2010,AAM,15.1101360321
01/08/2010,AAM,15.6357059478
01/11/2010,AAM,15.5481109619
01/13/2010,AAM,14.8911485671
01/14/2010,AAM,15.0225410461
01/19/2010,AAM,14.8473510742
01/21/2010,AAM,14.1465911865
01/22/2010,AAM,14.1465911865
01/26/2010,AAM,14.8473510742
01/27/2010,AAM,14.8035535812
02/01/2010,AAM,7.0022072792
02/05/2010,AAM,6.8324565887
02/10/2010,AAM,6.9809880256
03/01/2010,AAM,6.9597692489
03/02/2010,AAM,6.9809880256
03/04/2010,AAM,7.0446448326
03/05/2010,AAM,7.0446448326
03/08/2010,AAM,7.3204894065
03/09/2010,AAM,7.6812095642
03/10/2010,AAM,7.8297405242
03/11/2010,AAM,7.7448654174
03/12/2010,AAM,7.8085217475
03/15/2010,AAM,7.8387236595
03/17/2010,AAM,7.5579981803
03/19/2010,AAM,7.5579981803
03/22/2010,AAM,7.536403656
03/23/2010,AAM,7.3420553207
03/24/2010,AAM,7.4500265121
03/25/2010,AAM,7.2340836524
03/30/2010,AAM,7.2340836524
03/31/2010,AAM,7.2124896049
04/02/2010,AAM,7.1908950805
04/06/2010,AAM,7.1908950805
04/07/2010,AAM,7.2556781768
04/12/2010,AAM,7.3420553207
04/13/2010,AAM,7.2772722244
04/15/2010,AAM,6.9317636489
04/16/2010,AAM,6.9533581733
04/20/2010,AAM,7.126112461
04/21/2010,AAM,7.2340836524
04/22/2010,AAM,7.2124896049
04/27/2010,AAM,7.2124896049
04/28/2010,AAM,7.2124896049
04/29/2010,AAM,7.2124896049
