date,ticker,value
10/07/2015,NAF,23.6992979842
10/08/2015,NAF,24.4102470569
10/09/2015,NAF,24.2601963032
10/12/2015,NAF,24.1472998365
10/13/2015,NAF,24.1658769799
10/14/2015,NAF,24.2722624864
10/15/2015,NAF,24.2896748251
10/16/2015,NAF,24.3956720633
10/19/2015,NAF,24.6231375371
10/20/2015,NAF,24.6378319979
10/21/2015,NAF,24.7430526996
10/22/2015,NAF,24.8482734013
10/23/2015,NAF,25.137652731
10/26/2015,NAF,25.4556444458
10/27/2015,NAF,25.2807445227
10/28/2015,NAF,25.2915563007
10/29/2015,NAF,26.2456807788
10/30/2015,NAF,28.1547660052
11/02/2015,NAF,30.4199529706
11/03/2015,NAF,30.8320848079
11/04/2015,NAF,30.666115055
11/05/2015,NAF,30.8863228988
11/06/2015,NAF,30.5222168601
11/09/2015,NAF,30.8868007674
11/10/2015,NAF,31.4046013083
11/11/2015,NAF,31.5276823505
11/12/2015,NAF,31.5509187132
11/13/2015,NAF,32.0745432781
11/16/2015,NAF,18.6741508078
11/17/2015,NAF,18.2827763897
11/18/2015,NAF,18.1709551274
11/19/2015,NAF,18.0032232339
11/20/2015,NAF,17.8354913404
11/23/2015,NAF,17.5559381846
11/24/2015,NAF,17.3882062911
11/25/2015,NAF,17.6118488158
11/26/2015,NAF,17.3882062911
11/27/2015,NAF,16.8290999795
11/30/2015,NAF,16.7731893484
12/01/2015,NAF,16.661368086
12/02/2015,NAF,16.996831873
12/03/2015,NAF,16.996831873
12/04/2015,NAF,16.8850106107
12/07/2015,NAF,16.661368086
12/08/2015,NAF,16.7731893484
12/09/2015,NAF,16.661368086
12/10/2015,NAF,16.5495468237
12/11/2015,NAF,16.6054574549
12/14/2015,NAF,16.6054574549
12/15/2015,NAF,16.661368086
12/16/2015,NAF,16.661368086
12/17/2015,NAF,16.7172787172
12/18/2015,NAF,16.7731893484
12/21/2015,NAF,16.8290999795
12/22/2015,NAF,16.996831873
12/23/2015,NAF,16.8850106107
12/24/2015,NAF,16.9409212418
12/25/2015,NAF,16.9409212418
12/28/2015,NAF,16.8290999795
12/29/2015,NAF,16.8850106107
12/30/2015,NAF,16.8850106107
12/31/2015,NAF,16.7731893484
01/04/2016,NAF,16.5495468237
01/05/2016,NAF,16.2140830368
01/06/2016,NAF,16.3259042991
01/07/2016,NAF,16.2140830368
01/08/2016,NAF,16.0463511433
01/11/2016,NAF,16.0463511433
01/12/2016,NAF,16.1022617744
01/13/2016,NAF,16.0463511433
01/14/2016,NAF,15.9345298809
01/15/2016,NAF,15.7108873563
01/18/2016,NAF,15.263602307
01/19/2016,NAF,15.5431554628
01/20/2016,NAF,15.3754235693
01/21/2016,NAF,15.263602307
01/22/2016,NAF,15.3754235693
01/25/2016,NAF,16.4377255614
01/26/2016,NAF,16.1022617744
01/27/2016,NAF,16.2699936679
01/28/2016,NAF,16.0463511433
01/29/2016,NAF,16.1581724056
02/01/2016,NAF,16.1022617744
02/02/2016,NAF,16.0463511433
02/03/2016,NAF,15.9904405121
02/04/2016,NAF,15.9904405121
02/05/2016,NAF,15.9345298809
02/15/2016,NAF,15.599066094
02/16/2016,NAF,15.6549767251
02/17/2016,NAF,15.6549767251
02/18/2016,NAF,15.7667979875
02/19/2016,NAF,18.2977483195
02/22/2016,NAF,18.3626339519
02/23/2016,NAF,18.3626339519
02/24/2016,NAF,18.2977483195
02/25/2016,NAF,18.2328626872
02/26/2016,NAF,18.2328626872
02/29/2016,NAF,18.1030914225
03/01/2016,NAF,18.2328626872
03/02/2016,NAF,18.3626339519
03/03/2016,NAF,18.2977483195
03/04/2016,NAF,18.3626339519
03/07/2016,NAF,18.2977483195
03/08/2016,NAF,18.2328626872
03/09/2016,NAF,18.1679770549
03/10/2016,NAF,18.2328626872
03/11/2016,NAF,18.2328626872
03/14/2016,NAF,18.2977483195
03/15/2016,NAF,18.2328626872
03/16/2016,NAF,18.2977483195
03/17/2016,NAF,18.3626339519
03/18/2016,NAF,18.4275195842
03/21/2016,NAF,18.4275195842
03/22/2016,NAF,18.4275195842
03/23/2016,NAF,18.4924052166
03/24/2016,NAF,18.4924052166
03/25/2016,NAF,18.5572908489
03/28/2016,NAF,18.8168333782
03/29/2016,NAF,19.1412615399
03/30/2016,NAF,19.1412615399
03/31/2016,NAF,18.3444261921
04/01/2016,NAF,18.2187794373
04/04/2016,NAF,18.2187794373
04/05/2016,NAF,18.5957197015
04/06/2016,NAF,18.847013211
04/07/2016,NAF,18.9098365884
04/08/2016,NAF,18.7213664563
04/11/2016,NAF,18.5957197015
04/12/2016,NAF,18.5328963242
04/13/2016,NAF,18.5328963242
04/14/2016,NAF,18.5328963242
04/15/2016,NAF,18.5957197015
04/19/2016,NAF,18.2816028147
04/20/2016,NAF,18.4072495694
04/21/2016,NAF,18.5957197015
04/22/2016,NAF,19.7651257018
04/25/2016,NAF,19.6329175031
04/26/2016,NAF,19.7651257018
04/27/2016,NAF,19.6329175031
04/28/2016,NAF,19.6329175031
04/29/2016,NAF,19.6329175031
05/04/2016,NAF,19.5939660688
05/05/2016,NAF,20.0187214059
05/06/2016,NAF,20.153983037
05/09/2016,NAF,19.9510905904
05/10/2016,NAF,19.9510905904
05/11/2016,NAF,19.9510905904
05/12/2016,NAF,19.8834597748
05/13/2016,NAF,19.7481981437
05/16/2016,NAF,19.7481981437
05/17/2016,NAF,19.7481981437
05/18/2016,NAF,19.6805673281
05/19/2016,NAF,19.6805673281
05/20/2016,NAF,19.6129365125
05/23/2016,NAF,19.545305697
05/24/2016,NAF,19.6129365125
05/25/2016,NAF,19.6129365125
05/26/2016,NAF,19.1395208036
05/27/2016,NAF,19.1395208036
05/30/2016,NAF,19.2071516192
05/31/2016,NAF,19.2071516192
06/01/2016,NAF,19.2071516192
06/02/2016,NAF,19.0718899881
06/03/2016,NAF,19.0718899881
06/06/2016,NAF,19.0042591725
06/07/2016,NAF,19.0718899881
06/08/2016,NAF,19.0718899881
06/09/2016,NAF,18.9366283569
06/10/2016,NAF,18.9366283569
06/13/2016,NAF,18.8013667258
06/14/2016,NAF,18.8013667258
06/15/2016,NAF,18.7337359103
06/16/2016,NAF,18.7337359103
06/17/2016,NAF,18.6661050947
06/20/2016,NAF,18.8013667258
06/21/2016,NAF,18.8689975414
06/22/2016,NAF,18.7337359103
06/23/2016,NAF,18.8689975414
06/24/2016,NAF,18.5308434636
06/27/2016,NAF,18.3955818325
06/28/2016,NAF,18.3955818325
06/29/2016,NAF,18.5308434636
06/30/2016,NAF,18.5984742791
07/01/2016,NAF,18.7337359103
07/04/2016,NAF,18.7337359103
07/05/2016,NAF,18.9366283569
07/06/2016,NAF,18.7337359103
07/07/2016,NAF,18.8013667258
07/08/2016,NAF,18.6661050947
07/11/2016,NAF,18.5308434636
07/12/2016,NAF,18.5984742791
07/13/2016,NAF,18.7337359103
07/14/2016,NAF,18.6661050947
07/15/2016,NAF,18.5984742791
07/18/2016,NAF,19.2071516192
07/19/2016,NAF,19.1395208036
07/20/2016,NAF,19.0718899881
07/21/2016,NAF,19.4100440659
07/22/2016,NAF,19.2747824347
07/25/2016,NAF,19.4776748814
07/26/2016,NAF,19.3424132503
07/27/2016,NAF,19.4100440659
07/28/2016,NAF,19.3424132503
07/29/2016,NAF,19.1395208036
08/01/2016,NAF,21.7012290281
08/02/2016,NAF,21.4703648895
08/03/2016,NAF,21.4703648895
08/04/2016,NAF,21.5473196023
08/05/2016,NAF,21.6242743152
08/08/2016,NAF,21.7012290281
08/09/2016,NAF,21.7781837409
08/10/2016,NAF,21.7781837409
08/11/2016,NAF,21.9320931667
08/12/2016,NAF,21.7012290281
08/15/2016,NAF,21.8551384538
08/16/2016,NAF,20.1672924105
08/17/2016,NAF,20.1672924105
08/18/2016,NAF,20.2385549279
08/19/2016,NAF,20.2385549279
08/22/2016,NAF,20.5948675146
08/23/2016,NAF,21.2362301708
08/24/2016,NAF,21.5925427575
08/25/2016,NAF,21.3787552055
08/26/2016,NAF,21.4500177228
08/29/2016,NAF,21.3787552055
08/30/2016,NAF,21.8063303096
08/31/2016,NAF,22.9465305872
09/01/2016,NAF,22.8752680699
09/05/2016,NAF,23.1603181393
09/06/2016,NAF,24.2292558995
09/07/2016,NAF,24.2292558995
09/08/2016,NAF,24.3717809342
09/09/2016,NAF,24.2292558995
09/12/2016,NAF,24.3005184169
09/13/2016,NAF,24.4430434516
09/14/2016,NAF,24.3717809342
09/15/2016,NAF,24.1579933822
09/16/2016,NAF,23.8729433128
09/19/2016,NAF,23.7304182781
09/20/2016,NAF,23.1603181393
09/21/2016,NAF,23.4453682087
09/22/2016,NAF,23.8729433128
09/23/2016,NAF,24.1579933822
09/26/2016,NAF,24.2292558995
09/27/2016,NAF,24.1579933822
09/28/2016,NAF,24.1579933822
09/29/2016,NAF,23.9442058301
09/30/2016,NAF,23.8729433128
10/03/2016,NAF,23.8016807954
10/04/2016,NAF,23.7304182781
10/05/2016,NAF,23.5878932434
