date,ticker,value
02/24/2009,CMC,4.4955444335
04/10/2009,CMC,-0.9895287752
04/13/2009,CMC,-1.0529600381
04/14/2009,CMC,4.4955444335
04/15/2009,CMC,-1.0402737855
04/17/2009,CMC,-1.0275875329
04/20/2009,CMC,-0.9782540798
04/21/2009,CMC,-0.9401403069
04/22/2009,CMC,-0.9782540798
04/23/2009,CMC,-0.9782540798
04/24/2009,CMC,-0.9528449177
04/27/2009,CMC,-0.9655495285
04/28/2009,CMC,-0.9274356961
04/29/2009,CMC,-0.9147310853
05/04/2009,CMC,-0.9782540798
05/05/2009,CMC,-1.0417771339
05/06/2009,CMC,-0.9909586906
05/07/2009,CMC,-1.0544817447
05/08/2009,CMC,-1.1053000688
05/11/2009,CMC,-1.1815277338
05/12/2009,CMC,-1.2577552795
05/13/2009,CMC,-1.3212782144
05/14/2009,CMC,-1.2704598903
05/15/2009,CMC,-1.3085737228
05/18/2009,CMC,-1.2577552795
05/19/2009,CMC,-1.3085737228
05/20/2009,CMC,-1.4356197118
05/21/2009,CMC,-1.4864380359
05/22/2009,CMC,-0.6842155456
05/25/2009,CMC,-0.7215363979
05/26/2009,CMC,-0.7650774121
05/27/2009,CMC,-0.8148385286
05/28/2009,CMC,-0.7526371479
05/29/2009,CMC,-0.7961781024
06/01/2009,CMC,-0.7899579405
06/02/2009,CMC,-0.8086183667
06/03/2009,CMC,-0.8334989547
06/04/2009,CMC,-0.8770399689
06/05/2009,CMC,-0.9081406593
06/08/2009,CMC,-0.9703420996
06/09/2009,CMC,-1.03254354
06/10/2009,CMC,-1.0449837446
06/11/2009,CMC,-1.100965023
06/12/2009,CMC,-1.100965023
06/15/2009,CMC,-1.0760844945
06/16/2009,CMC,-1.00144279
06/17/2009,CMC,-0.9516816735
06/18/2009,CMC,-1.00144279
06/19/2009,CMC,-0.9890025258
06/22/2009,CMC,-0.9205809235
06/23/2009,CMC,-0.8583795428
06/24/2009,CMC,-0.8583795428
06/25/2009,CMC,-0.9143608212
06/26/2009,CMC,-0.8770399689
06/29/2009,CMC,-0.8521593809
06/30/2009,CMC,-0.8397191166
07/01/2009,CMC,-0.7899579405
07/02/2009,CMC,-0.7899579405
07/03/2009,CMC,-0.8521593809
07/06/2009,CMC,-0.8957003951
07/07/2009,CMC,-0.8957003951
07/08/2009,CMC,-0.870819807
07/09/2009,CMC,-0.8459392189
07/10/2009,CMC,-0.8459392189
07/13/2009,CMC,-0.8148385286
07/14/2009,CMC,-0.7650774121
07/15/2009,CMC,-0.7775176763
07/16/2009,CMC,-0.8272787928
07/17/2009,CMC,-0.8459392189
07/20/2009,CMC,-0.9019204974
07/21/2009,CMC,-0.9392413496
07/22/2009,CMC,-0.8832600712
07/23/2009,CMC,-2.486401081
07/24/2009,CMC,-2.7840688228
07/27/2009,CMC,-2.9416575431
07/28/2009,CMC,-2.7840688228
07/29/2009,CMC,-2.6965193748
07/30/2009,CMC,-2.5389306545
07/31/2009,CMC,-2.3770930767
08/03/2009,CMC,-2.3770930767
08/04/2009,CMC,-2.3770930767
08/05/2009,CMC,-2.3612456321
08/06/2009,CMC,-2.2978565692
08/07/2009,CMC,-2.2978565692
08/10/2009,CMC,-2.3137037754
08/11/2009,CMC,-2.3612456321
08/12/2009,CMC,-2.4404821395
08/13/2009,CMC,-2.4563293457
08/14/2009,CMC,-2.3770930767
08/17/2009,CMC,-2.3770930767
08/18/2009,CMC,-2.3295512199
08/19/2009,CMC,-2.3612456321
