date,ticker,value
12/24/2013,PVB,5.9210825725
12/25/2013,PVB,6.5095131388
12/26/2013,PVB,7.1347206154
12/27/2013,PVB,7.8334819127
12/30/2013,PVB,8.421912479
12/31/2013,PVB,8.3115817478
01/02/2014,PVB,7.6128204504
01/03/2014,PVB,7.5024897192
01/06/2014,PVB,6.8772822426
01/07/2014,PVB,7.5392666296
01/08/2014,PVB,7.5392666296
01/09/2014,PVB,7.6863742712
01/10/2014,PVB,7.5392666296
01/13/2014,PVB,7.6863742712
01/14/2014,PVB,8.421912479
01/15/2014,PVB,8.1276971959
01/16/2014,PVB,8.2748048374
01/17/2014,PVB,8.0909202855
01/20/2014,PVB,7.4289358985
01/21/2014,PVB,7.8702588231
01/22/2014,PVB,7.9070357335
01/23/2014,PVB,7.9501366017
01/24/2014,PVB,7.9501366017
01/27/2014,PVB,7.9501366017
02/06/2014,PVB,7.9501366017
02/07/2014,PVB,7.7292994739
02/10/2014,PVB,7.4716561581
02/11/2014,PVB,7.3612375942
02/12/2014,PVB,7.508462346
02/13/2014,PVB,7.582074722
02/14/2014,PVB,7.61888091
02/17/2014,PVB,7.7292994739
02/18/2014,PVB,8.5022294213
02/19/2014,PVB,9.3487717446
02/20/2014,PVB,9.9376707521
02/21/2014,PVB,10.084895504
02/24/2014,PVB,11.0418563913
02/25/2014,PVB,11.9988172785
02/26/2014,PVB,11.9252049026
02/27/2014,PVB,10.7474068875
02/28/2014,PVB,10.7106006995
03/03/2014,PVB,10.5265697597
03/04/2014,PVB,10.6737945116
03/05/2014,PVB,10.6369883236
03/06/2014,PVB,10.7106006994
03/07/2014,PVB,10.7106006994
03/10/2014,PVB,10.7106006994
03/11/2014,PVB,10.4897635715
03/12/2014,PVB,10.3057326317
03/13/2014,PVB,10.4897635715
03/14/2014,PVB,10.3057326317
03/17/2014,PVB,10.0480893159
03/18/2014,PVB,10.1585078798
03/19/2014,PVB,10.1585078798
03/20/2014,PVB,9.937670752
03/21/2014,PVB,10.1217016918
03/24/2014,PVB,10.0112831279
03/25/2014,PVB,9.864058376
03/26/2014,PVB,8.9439036768
03/27/2014,PVB,9.8272521881
03/28/2014,PVB,10.1585078798
03/31/2014,PVB,10.1217016918
04/01/2014,PVB,9.9744769399
04/02/2014,PVB,9.8272521881
04/03/2014,PVB,9.4591903084
04/04/2014,PVB,9.4959964963
04/07/2014,PVB,9.4959964963
04/08/2014,PVB,9.3487717444
04/10/2014,PVB,9.6432212482
04/11/2014,PVB,9.5696088723
04/14/2014,PVB,9.3487717444
04/15/2014,PVB,9.6432212482
