date,ticker,value
02/24/2009,ASP,14.8199949264
04/10/2009,ASP,12.4045534133
04/13/2009,ASP,13.0126199722
04/14/2009,ASP,14.8199949264
05/21/2009,ASP,15.0800457
01/27/2010,ASP,7.2827849388
01/28/2010,ASP,7.973426342
06/03/2010,ASP,7.8330080602
06/18/2010,ASP,10.0240561218
06/17/2010,ASP,10.0240561218
06/16/2010,ASP,9.9481163027
06/15/2010,ASP,9.8721764836
06/14/2010,ASP,9.9481163027
06/11/2010,ASP,9.8721764836
06/10/2010,ASP,9.8721764836
06/09/2010,ASP,9.9481163027
11/23/2011,CNG,5.3868366518
11/24/2011,CNG,5.1282262831
11/25/2011,CNG,4.8879889848
11/28/2011,CNG,4.7491152802
11/29/2011,CNG,4.5832087919
03/15/2012,CNG,3.7247284458
03/16/2012,CNG,3.7380189066
03/19/2012,CNG,3.6489681256
03/20/2012,CNG,3.688046347
03/21/2012,CNG,3.7142362347
03/22/2012,CNG,3.7533297092
03/28/2012,CNG,3.6912189908
03/29/2012,CNG,3.6658000778
03/30/2012,CNG,3.6791030184
04/03/2012,CNG,3.7452571936
04/04/2012,CNG,3.7456593207
04/06/2012,CNG,3.9790026932
04/09/2012,CNG,4.1224369516
04/11/2012,CNG,4.1233216311
04/12/2012,CNG,4.2401084089
04/16/2012,CNG,4.4617836954
04/17/2012,CNG,4.6821416691
06/08/2010,ASP,9.7202968453
06/07/2010,ASP,9.7202968453
06/04/2010,ASP,9.872176194
06/02/2010,ASP,7.8914633443
06/01/2010,ASP,7.7745527762
05/31/2010,ASP,7.7160973548
05/28/2010,ASP,7.8914632797
05/27/2010,ASP,7.54073143
05/26/2010,ASP,7.4822764396
05/25/2010,ASP,7.4822764396
05/24/2010,ASP,7.54073143
05/21/2010,ASP,7.6576423645
05/20/2010,ASP,8.0083742141
05/19/2010,ASP,8.3591051101
05/18/2010,ASP,8.5344715118
05/17/2010,ASP,8.7098369598
05/14/2010,ASP,9.0021133422
05/13/2010,ASP,8.768292427
05/12/2010,ASP,8.3591051101
05/11/2010,ASP,8.768292427
05/10/2010,ASP,9.0021133422
05/07/2010,ASP,9.4697561264
05/06/2010,ASP,9.9373979568
05/05/2010,ASP,9.9373979568
05/04/2010,ASP,9.9373979568
04/29/2010,ASP,9.4697561264
04/28/2010,ASP,9.0605688095
04/27/2010,ASP,8.6513814926
04/26/2010,ASP,8.4760160446
04/22/2010,ASP,8.768292427
04/21/2010,ASP,8.768292427
04/20/2010,ASP,8.3591051101
04/19/2010,ASP,8.3591051101
04/19/2012,CNG,4.4890926056
04/20/2012,CNG,4.5542650361
04/24/2012,CNG,3.7925332604
04/25/2012,CNG,3.7929395474
04/27/2012,CNG,3.8714398782
05/02/2012,CNG,3.8087384491
05/04/2012,CNG,3.965045788
05/07/2012,CNG,4.1607461168
05/09/2012,CNG,4.1746009421
05/11/2012,CNG,3.8902117467
05/15/2012,CNG,3.567552744
05/16/2012,CNG,3.7366000457
05/17/2012,CNG,3.7369993995
05/18/2012,CNG,3.6335821212
05/22/2012,CNG,3.7389961683
05/24/2012,CNG,3.4800868984
05/28/2012,CNG,3.6764375637
05/29/2012,CNG,3.6378529879
05/30/2012,CNG,3.6512349673
05/31/2012,CNG,3.5866490876
06/04/2012,CNG,3.5101760319
06/05/2012,CNG,3.5625585805
06/06/2012,CNG,3.6279556475
06/11/2012,CNG,3.6168796588
06/12/2012,CNG,3.5652181656
06/13/2012,CNG,3.6176506335
06/14/2012,CNG,3.592007084
06/15/2012,CNG,3.6054057031
06/18/2012,CNG,3.6195780701
06/19/2012,CNG,3.6069421057
06/20/2012,CNG,3.6073262064
06/21/2012,CNG,3.5816618572
04/16/2010,ASP,8.1837396621
04/15/2010,ASP,8.0668287277
04/14/2010,ASP,8.0083742141
04/13/2010,ASP,7.9499187469
04/12/2010,ASP,8.1252841949
04/09/2010,ASP,8.3591051101
04/08/2010,ASP,8.0668287277
04/07/2010,ASP,7.7160973548
04/06/2010,ASP,7.6576423645
04/05/2010,ASP,7.7160973548
04/02/2010,ASP,7.5991868972
04/01/2010,ASP,7.8535251617
03/31/2010,ASP,7.7935743331
03/30/2010,ASP,7.8535251617
03/29/2010,ASP,7.9134755134
03/26/2010,ASP,7.8535251617
03/25/2010,ASP,7.973426342
03/24/2010,ASP,8.1532783508
03/23/2010,ASP,7.9134755134
03/22/2010,ASP,8.0933275222
03/19/2010,ASP,8.2132282257
