date,ticker,value
09/23/2014,TVC,68.9613369541
09/24/2014,TVC,75.7723331965
09/25/2014,TVC,83.009016704
09/26/2014,TVC,91.0970747418
09/29/2014,TVC,99.6108200448
09/30/2014,TVC,109.4016271433
10/01/2014,TVC,120.043808772
10/02/2014,TVC,111.530063469
10/03/2014,TVC,106.4218162872
10/06/2014,TVC,108.9759398781
10/07/2014,TVC,109.4016271433
10/08/2014,TVC,103.8676926963
10/09/2014,TVC,103.4420054312
10/10/2014,TVC,100.03650731
10/13/2014,TVC,109.8273144084
10/14/2014,TVC,120.4694960371
10/15/2014,TVC,125.5777432189
10/16/2014,TVC,120.8951833023
10/17/2014,TVC,122.1722450977
10/20/2014,TVC,122.5979323629
10/21/2014,TVC,123.4493068932
10/22/2014,TVC,126.4291177492
10/23/2014,TVC,127.2804922795
10/24/2014,TVC,129.4089286053
10/27/2014,TVC,130.2603031356
10/28/2014,TVC,131.9630521961
10/29/2014,TVC,136.2199248476
10/30/2014,TVC,146.4364192112
10/31/2014,TVC,156.6529135748
11/03/2014,TVC,143.8822956203
11/04/2014,TVC,141.7538592946
11/05/2014,TVC,143.03092109
11/06/2014,TVC,143.03092109
11/07/2014,TVC,143.4566083552
11/10/2014,TVC,142.6052338249
11/11/2014,TVC,143.03092109
11/12/2014,TVC,143.8822956203
11/13/2014,TVC,143.03092109
11/14/2014,TVC,143.03092109
11/17/2014,TVC,143.8822956203
11/18/2014,TVC,144.7336701506
11/19/2014,TVC,146.0107319461
11/20/2014,TVC,147.2877937415
11/21/2014,TVC,147.2877937415
11/24/2014,TVC,148.9905428021
11/25/2014,TVC,148.9905428021
11/26/2014,TVC,150.6932918627
11/27/2014,TVC,153.2474154536
11/28/2014,TVC,155.3758517793
12/01/2014,TVC,153.6731027188
12/02/2014,TVC,147.2877937415
12/03/2014,TVC,146.4364192112
12/04/2014,TVC,147.2877937415
12/05/2014,TVC,146.4364192112
12/08/2014,TVC,142.6052338249
12/09/2014,TVC,130.6859904007
12/10/2014,TVC,130.6859904007
12/11/2014,TVC,129.8346158704
12/12/2014,TVC,131.1116776659
12/15/2014,TVC,131.9630521961
12/16/2014,TVC,132.3887394613
12/17/2014,TVC,129.8346158704
12/18/2014,TVC,130.2603031356
12/19/2014,TVC,129.8346158704
12/22/2014,TVC,129.4089286053
12/23/2014,TVC,128.557554075
12/24/2014,TVC,119.6181215068
12/25/2014,TVC,120.4694960371
12/26/2014,TVC,109.4016271433
12/29/2014,TVC,103.016318166
12/30/2014,TVC,105.5704417569
12/31/2014,TVC,113.2328125296
01/05/2015,TVC,112.8071252644
01/06/2015,TVC,110.6786889387
01/07/2015,TVC,111.530063469
01/08/2015,TVC,111.9557507341
01/09/2015,TVC,113.2328125296
01/12/2015,TVC,111.530063469
01/13/2015,TVC,110.2530016735
01/14/2015,TVC,109.8273144084
01/15/2015,TVC,114.0841870599
01/16/2015,TVC,116.6383106508
01/19/2015,TVC,117.0639979159
01/20/2015,TVC,117.0639979159
01/21/2015,TVC,116.2126233856
01/22/2015,TVC,116.2126233856
01/23/2015,TVC,116.2126233856
01/26/2015,TVC,117.4896851811
01/27/2015,TVC,112.8071252644
01/28/2015,TVC,113.6584997947
01/29/2015,TVC,112.3814379993
01/30/2015,TVC,111.530063469
02/02/2015,TVC,111.9557507341
02/03/2015,TVC,111.9557507341
02/04/2015,TVC,111.530063469
02/05/2015,TVC,111.9557507341
02/06/2015,TVC,112.3814379993
02/09/2015,TVC,112.3814379993
02/10/2015,TVC,111.530063469
02/11/2015,TVC,111.530063469
02/12/2015,TVC,111.530063469
02/13/2015,TVC,111.530063469
02/24/2015,TVC,19.9851215073
02/25/2015,TVC,19.9094202895
02/26/2015,TVC,19.8337190716
02/27/2015,TVC,19.9094202895
03/02/2015,TVC,19.9094202895
03/03/2015,TVC,19.8337190716
03/04/2015,TVC,19.9094202895
03/05/2015,TVC,20.0608227251
03/06/2015,TVC,19.8337190716
03/09/2015,TVC,19.7580178538
03/10/2015,TVC,19.7580178538
03/11/2015,TVC,19.7580178538
03/12/2015,TVC,19.7580178538
03/13/2015,TVC,19.7580178538
03/16/2015,TVC,19.7580178538
03/17/2015,TVC,19.7580178538
03/18/2015,TVC,19.3038105468
03/19/2015,TVC,19.3038105468
03/20/2015,TVC,19.682316636
03/23/2015,TVC,20.2879263786
03/24/2015,TVC,20.0608227251
03/25/2015,TVC,20.7421336856
03/26/2015,TVC,20.5907312475
03/27/2015,TVC,20.7421336831
03/30/2015,TVC,20.7421336831
03/31/2015,TVC,20.5150300297
04/01/2015,TVC,19.7580178515
04/02/2015,TVC,19.530914198
04/03/2015,TVC,19.8337190693
04/06/2015,TVC,19.6066154158
04/07/2015,TVC,19.6066154158
04/08/2015,TVC,19.530914198
04/09/2015,TVC,19.530914198
04/10/2015,TVC,19.3795117624
04/13/2015,TVC,19.4552129802
04/14/2015,TVC,19.530914198
04/15/2015,TVC,19.3795117624
04/16/2015,TVC,19.7580178515
04/17/2015,TVC,19.7580178515
04/20/2015,TVC,19.6066154158
04/21/2015,TVC,19.530914198
04/22/2015,TVC,19.530914198
04/23/2015,TVC,19.4552129802
04/24/2015,TVC,19.9851215049
04/27/2015,TVC,20.2879263762
05/04/2015,TVC,20.363627594
05/05/2015,TVC,20.363627594
05/06/2015,TVC,20.0608227228
05/07/2015,TVC,19.9851215049
05/08/2015,TVC,20.2879263762
05/11/2015,TVC,20.2122251584
05/12/2015,TVC,19.9094202871
05/13/2015,TVC,19.8337190693
05/14/2015,TVC,19.7580178515
05/15/2015,TVC,19.6823166336
05/18/2015,TVC,19.4552129802
05/19/2015,TVC,19.4552129802
05/20/2015,TVC,19.8337190693
05/21/2015,TVC,20.0608227228
05/22/2015,TVC,19.9094202871
05/25/2015,TVC,19.9094202871
05/26/2015,TVC,19.7580178515
05/27/2015,TVC,19.9851215049
05/28/2015,TVC,19.985121505
05/29/2015,TVC,19.985121505
06/01/2015,TVC,19.6823166337
06/02/2015,TVC,18.9253044555
06/03/2015,TVC,13.7776216436
06/04/2015,TVC,13.5505179901
06/05/2015,TVC,13.6669473485
06/08/2015,TVC,13.4061003322
06/09/2015,TVC,13.4456971356
06/10/2015,TVC,13.4852939389
06/11/2015,TVC,13.4476056523
06/12/2015,TVC,13.641998903
06/15/2015,TVC,13.7614681154
