date,ticker,value
12/10/2009,LIX,14.8224096298
12/11/2009,LIX,14.4608869552
12/14/2009,LIX,14.9429168701
12/15/2009,LIX,14.9429168701
12/16/2009,LIX,14.2198724746
12/17/2009,LIX,13.6173353195
12/18/2009,LIX,13.6173353195
12/21/2009,LIX,13.978857994
12/22/2009,LIX,13.8583498001
12/23/2009,LIX,13.978857994
12/24/2009,LIX,13.4968280792
12/25/2009,LIX,13.978857994
12/28/2009,LIX,13.978857994
12/29/2009,LIX,13.7378425598
12/30/2009,LIX,14.3403797149
12/31/2009,LIX,14.9429168701
01/04/2010,LIX,15.6659612655
01/05/2010,LIX,16.389005661
01/06/2010,LIX,17.1120491027
01/07/2010,LIX,17.1120491027
01/08/2010,LIX,16.5095119476
01/11/2010,LIX,15.9069757461
01/12/2010,LIX,15.4249458312
01/13/2010,LIX,15.1839313507
01/14/2010,LIX,15.9069757461
01/15/2010,LIX,16.0274829864
01/18/2010,LIX,15.304438591
01/19/2010,LIX,15.4249458312
01/20/2010,LIX,15.1839313507
01/21/2010,LIX,14.4608869552
01/22/2010,LIX,14.5813941955
01/25/2010,LIX,14.5813941955
01/26/2010,LIX,15.304438591
01/27/2010,LIX,15.4249458312
01/28/2010,LIX,4.4572105407
01/29/2010,LIX,4.4928679466
02/01/2010,LIX,4.4928679466
02/02/2010,LIX,4.4572105407
02/03/2010,LIX,4.4928679466
02/04/2010,LIX,4.4928679466
02/05/2010,LIX,4.4928679466
02/08/2010,LIX,4.3858947753
02/09/2010,LIX,4.3145794868
02/10/2010,LIX,4.4572105407
02/11/2010,LIX,4.4572105407
02/12/2010,LIX,4.5285258293
02/22/2010,LIX,4.5641927719
02/23/2010,LIX,4.3502459526
02/24/2010,LIX,4.2432727813
02/25/2010,LIX,4.3502459526
02/26/2010,LIX,4.3859038352
03/01/2010,LIX,4.4215617179
03/02/2010,LIX,4.3859038352
03/03/2010,LIX,4.4215617179
03/04/2010,LIX,4.4572191238
03/05/2010,LIX,4.4572191238
03/08/2010,LIX,4.4572191238
03/09/2010,LIX,4.5641927719
03/10/2010,LIX,4.5998501777
03/11/2010,LIX,6.0172462463
03/12/2010,LIX,6.2401070594
03/15/2010,LIX,6.3292517662
03/16/2010,LIX,6.0172462463
03/17/2010,LIX,5.9726738929
03/18/2010,LIX,5.9726738929
03/19/2010,LIX,5.7498130798
03/22/2010,LIX,5.6606688499
03/23/2010,LIX,5.4378075599
03/24/2010,LIX,5.6606688499
03/25/2010,LIX,5.6606688499
03/26/2010,LIX,5.6606688499
03/29/2010,LIX,5.6160964965
03/30/2010,LIX,5.4378075599
03/31/2010,LIX,5.5269522666
04/01/2010,LIX,5.6160964965
04/02/2010,LIX,5.6160964965
04/05/2010,LIX,5.7943854331
04/06/2010,LIX,5.7052407264
04/07/2010,LIX,5.7498130798
04/08/2010,LIX,5.7498130798
04/09/2010,LIX,5.883529663
04/12/2010,LIX,6.2478895187
04/13/2010,LIX,6.5195364952
04/14/2010,LIX,6.836458683
04/15/2010,LIX,6.836458683
04/16/2010,LIX,6.7006349563
04/19/2010,LIX,6.7006349563
04/20/2010,LIX,7.0175566673
04/21/2010,LIX,7.0628314018
