date,ticker,value
08/02/2017,BHA,60.4773963579
08/03/2017,BHA,60.4773963579
08/04/2017,BHA,60.4773963579
08/07/2017,BHA,66.5251359936
08/08/2017,BHA,66.5251359936
08/09/2017,BHA,66.5251359936
08/10/2017,BHA,66.5251359936
08/11/2017,BHA,66.5251359936
08/14/2017,BHA,66.5251359936
08/15/2017,BHA,66.5251359936
08/16/2017,BHA,66.5251359936
08/17/2017,BHA,66.5251359936
08/18/2017,BHA,66.5251359936
08/21/2017,BHA,66.5251359936
08/22/2017,BHA,66.5251359936
08/23/2017,BHA,66.5251359936
08/24/2017,BHA,66.5251359936
08/25/2017,BHA,66.5251359936
08/28/2017,BHA,66.5251359936
08/29/2017,BHA,66.5251359936
08/30/2017,BHA,66.5251359936
09/01/2017,BHA,66.5251359936
09/05/2017,BHA,66.5251359936
09/13/2017,BHA,75.5967454473
09/14/2017,BHA,75.5967454473
09/18/2017,BHA,76.2015194109
09/20/2017,BHA,76.2015194109
09/26/2017,BHA,76.2015194109
09/27/2017,BHA,82.2492590467
10/03/2017,BHA,78.6206152652
10/06/2017,BHA,79.8301631924
10/09/2017,BHA,79.8301631924
10/10/2017,BHA,79.8301631924
10/13/2017,BHA,91.3208685004
10/17/2017,BHA,104.6258956991
10/19/2017,BHA,90.7160945368
10/23/2017,BHA,97.9733820997
10/24/2017,BHA,97.9733820997
10/25/2017,BHA,97.9733820997
10/26/2017,BHA,97.9733820997
10/27/2017,BHA,97.9733820997
10/30/2017,BHA,97.9733820997
11/06/2017,BHA,94.9495122818
11/07/2017,BHA,81.6444850831
11/08/2017,BHA,80.1325501742
11/09/2017,BHA,91.9256424639
11/14/2017,BHA,99.7877039905
11/16/2017,BHA,96.159060209
11/20/2017,BHA,102.8115738084
11/22/2017,BHA,102.8115738084
11/23/2017,BHA,102.8115738084
11/27/2017,BHA,102.8115738084
11/29/2017,BHA,102.8115738084
12/05/2017,BHA,105.2306696627
12/08/2017,BHA,105.8354436263
12/15/2017,BHA,105.8354436263
12/18/2017,BHA,105.8354436263
12/19/2017,BHA,105.8354436263
11/25/2009,BTP,5.7849564552
11/26/2009,BTP,5.5061631202
11/27/2009,BTP,5.7501072883
11/30/2009,BTP,5.4713139533
12/01/2009,BTP,5.4713139533
01/27/2010,BTP,4.5894851684
01/28/2010,BTP,4.4150986671
03/04/2010,BTP,17.9994888305
03/05/2010,BTP,17.5418758392
03/08/2010,BTP,17.9994888305
03/09/2010,BTP,17.6944122314
03/10/2010,BTP,17.9994888305
03/11/2010,BTP,17.846950531
03/12/2010,BTP,17.846950531
03/15/2010,BTP,17.846950531
03/16/2010,BTP,17.6944122314
03/17/2010,BTP,17.5418758392
03/19/2010,BTP,17.5418758392
03/22/2010,BTP,17.3893375396
12/20/2017,BHA,90.413707555
12/22/2017,BHA,90.7160945368
12/26/2017,BHA,87.2265487669
12/27/2017,BHA,99.7877039905
12/28/2017,BHA,99.7877039905
12/29/2017,BHA,99.7877039905
01/09/2018,BHA,87.0874507553
01/10/2018,BHA,90.7160945368
01/11/2018,BHA,90.7160945368
01/15/2018,BHA,14.8498291358
01/17/2018,BHA,14.8498291358
01/18/2018,BHA,14.8498291358
01/22/2018,BHA,15.5428211622
01/24/2018,BHA,15.3448234404
01/26/2018,BHA,15.3448234404
01/30/2018,BHA,15.3448234404
02/05/2018,BHA,14.3548348313
02/06/2018,BHA,14.3548348313
02/12/2018,BHA,14.8498291358
02/13/2018,BHA,14.8498291358
02/22/2018,BHA,13.3747461083
02/23/2018,BHA,13.3648462222
02/26/2018,BHA,13.3648462222
03/01/2018,BHA,13.3648462222
03/05/2018,BHA,13.3648462222
03/06/2018,BHA,13.3648462222
03/14/2018,BHA,11.8798633087
03/16/2018,BHA,11.8798633087
03/21/2018,BHA,11.8798633087
03/22/2018,BHA,11.8798633087
03/23/2018,BHA,13.376344912
03/28/2018,BHA,13.376344912
04/02/2018,BHA,17.2091822041
03/23/2010,BTP,17.3893375396
03/24/2010,BTP,17.846950531
03/29/2010,BTP,17.2367992401
03/30/2010,BTP,17.0842609405
03/31/2010,BTP,17.5418758392
04/01/2010,BTP,17.2367992401
04/02/2010,BTP,17.0842609405
04/06/2010,BTP,16.9317226409
04/07/2010,BTP,17.6944122314
04/08/2010,BTP,18.4571037292
04/09/2010,BTP,19.3723316192
04/12/2010,BTP,18.4571037292
04/14/2010,BTP,17.5418758392
04/19/2010,BTP,18.3045654296
04/22/2010,BTP,18.1520271301
04/26/2010,BTP,18.1520271301
04/27/2010,BTP,18.3045654296
04/29/2010,BTP,20.1350212097
05/07/2010,BTP,24.1010112762
05/12/2010,BTP,20.8977127075
05/14/2010,BTP,21.6604022979
05/18/2010,BTP,15.6847896575
05/19/2010,BTP,14.9664030075
05/20/2010,BTP,15.0861339569
05/21/2010,BTP,14.3677463531
05/25/2010,BTP,14.6072092056
05/26/2010,BTP,15.3255968093
05/27/2010,BTP,15.4453277587
06/01/2010,BTP,15.3255960271
06/03/2010,BTP,15.3255960271
06/10/2010,BTP,15.3901259581
04/05/2018,BHA,18.8637331748
04/06/2018,BHA,19.5500425637
04/09/2018,BHA,17.4921433465
04/12/2018,BHA,13.376344912
04/16/2018,BHA,16.4631937379
04/18/2018,BHA,16.4631937379
04/19/2018,BHA,16.4631937379
04/23/2018,BHA,18.864238486
04/26/2018,BHA,18.8651724055
04/27/2018,BHA,18.8651724055
05/03/2018,BHA,14.7848784332
05/04/2018,BHA,14.755926931
05/07/2018,BHA,16.9039416108
05/14/2018,BHA,18.6783885203
05/16/2018,BHA,18.6783885203
05/18/2018,BHA,18.6783885203
05/22/2018,BHA,14.9427108162
05/23/2018,BHA,17.1841174386
05/25/2018,BHA,17.1980703545
05/28/2018,BHA,17.1980703545
05/30/2018,BHA,17.1980703545
06/04/2018,BHA,17.1980703545
06/06/2018,BHA,17.1980703545
06/07/2018,BHA,17.1980703545
06/08/2018,BHA,17.1980703545
06/12/2018,BHA,16.3568603915
06/20/2018,BHA,15.2352471075
06/21/2018,BHA,15.2352471075
06/25/2018,BHA,15.2352471075
06/27/2018,BHA,17.3850059018
07/02/2018,BHA,17.3850059018
06/14/2010,BTP,16.2731659721
06/15/2010,BTP,17.0300574127
06/16/2010,BTP,17.6608002798
06/17/2010,BTP,17.1562059861
06/22/2010,BTP,17.2823545595
06/23/2010,BTP,17.0300574127
06/25/2010,BTP,16.3993145456
06/28/2010,BTP,16.7777602658
06/29/2010,BTP,16.7777602658
