date,ticker,value
08/09/2010,BVG,11.1198003544
08/10/2010,BVG,10.37743626
08/11/2010,BVG,9.7547900844
08/12/2010,BVG,9.7547900844
08/13/2010,BVG,9.0802567275
08/16/2010,BVG,8.8727080023
08/17/2010,BVG,8.5613849145
08/18/2010,BVG,8.1981746454
08/19/2010,BVG,8.1981746454
08/20/2010,BVG,8.1462874641
08/23/2010,BVG,8.0425131015
08/24/2010,BVG,7.6793028324
08/25/2010,BVG,7.2123182007
08/26/2010,BVG,7.0566566568
08/27/2010,BVG,6.8491079316
08/30/2010,BVG,6.3069841093
08/31/2010,BVG,7.783077195
09/01/2010,BVG,7.8349643763
09/06/2010,BVG,8.301949008
09/07/2010,BVG,8.1462874641
09/08/2010,BVG,7.6274156511
09/09/2010,BVG,7.2123182007
09/10/2010,BVG,7.6793028324
09/13/2010,BVG,8.1981746454
09/14/2010,BVG,8.7689336397
09/15/2010,BVG,8.4576105519
09/16/2010,BVG,8.1462874641
09/17/2010,BVG,8.4057233706
09/20/2010,BVG,8.5613849145
09/21/2010,BVG,8.1462874641
09/22/2010,BVG,7.8868515576
09/23/2010,BVG,7.7311900137
09/24/2010,BVG,7.8868515576
09/27/2010,BVG,7.783077195
09/28/2010,BVG,7.783077195
09/29/2010,BVG,7.3160925633
09/30/2010,BVG,7.7311900137
10/01/2010,BVG,7.4717541072
10/04/2010,BVG,7.2123182007
10/05/2010,BVG,7.2123182007
10/06/2010,BVG,7.4198669259
10/07/2010,BVG,7.4198669259
10/08/2010,BVG,7.3160925633
10/11/2010,BVG,7.264205382
10/12/2010,BVG,7.0566566568
10/13/2010,BVG,7.1085438381
10/14/2010,BVG,7.1085438381
10/15/2010,BVG,7.264205382
10/18/2010,BVG,7.3679797446
10/19/2010,BVG,7.2123182007
10/20/2010,BVG,7.0047694755
10/21/2010,BVG,7.0047694755
10/22/2010,BVG,6.9528822942
10/25/2010,BVG,6.8491079316
10/26/2010,BVG,7.2123182007
10/27/2010,BVG,7.3679797446
10/28/2010,BVG,7.3160925633
10/29/2010,BVG,7.264205382
11/01/2010,BVG,7.3160925633
11/02/2010,BVG,7.2123182007
11/03/2010,BVG,7.0566566568
11/04/2010,BVG,7.0566566568
11/05/2010,BVG,7.1604310194
11/08/2010,BVG,7.0047694755
11/09/2010,BVG,6.5896720251
11/10/2010,BVG,6.226461756
11/11/2010,BVG,6.1745745747
11/12/2010,BVG,5.7594771243
11/15/2010,BVG,5.6557027617
11/16/2010,BVG,5.3962668552
11/17/2010,BVG,5.18871813
11/18/2010,BVG,5.4481540365
11/19/2010,BVG,5.6038155804
11/22/2010,BVG,5.3443796739
11/23/2010,BVG,5.2924924926
11/24/2010,BVG,5.2406053113
11/25/2010,BVG,5.5519283991
11/26/2010,BVG,5.8632514869
11/29/2010,BVG,6.0708002121
11/30/2010,BVG,6.4858976625
12/01/2010,BVG,6.226461756
12/02/2010,BVG,6.1745745747
12/03/2010,BVG,6.5896720251
12/06/2010,BVG,6.9009951129
12/07/2010,BVG,7.2123182007
12/08/2010,BVG,6.8491079316
12/09/2010,BVG,6.6415592064
12/10/2010,BVG,6.9528822942
12/13/2010,BVG,7.4198669259
12/14/2010,BVG,7.1085438381
12/15/2010,BVG,7.0047694755
12/16/2010,BVG,6.6934463877
12/17/2010,BVG,5.9781837341
12/20/2010,BVG,6.0334990579
12/21/2010,BVG,6.0366088229
12/22/2010,BVG,6.08582331
12/23/2010,BVG,5.719929128
12/24/2010,BVG,5.8613293205
12/27/2010,BVG,5.916597167
12/28/2010,BVG,6.0583771781
12/29/2010,BVG,6.1540287285
12/30/2010,BVG,5.8331235513
12/31/2010,BVG,5.9750697331
01/04/2011,BVG,6.0801455332
01/05/2011,BVG,5.8510699815
01/06/2011,BVG,5.8540610532
01/07/2011,BVG,5.7640830436
01/10/2011,BVG,5.4935792867
01/11/2011,BVG,5.4032214584
01/12/2011,BVG,5.3127686755
01/13/2011,BVG,5.3621018559
01/14/2011,BVG,5.4581332249
