date,ticker,value
02/24/2009,PVC,9.7438001632
04/10/2009,PVC,5.5162782669
04/13/2009,PVC,5.8314938545
04/14/2009,PVC,9.7438001632
04/15/2009,PVC,5.638862133
04/17/2009,PVC,4.9558939933
04/20/2009,PVC,5.5631952285
04/21/2009,PVC,5.1853175163
04/22/2009,PVC,5.5422019958
04/23/2009,PVC,5.4162425994
04/24/2009,PVC,5.206310749
04/27/2009,PVC,5.2902836799
04/28/2009,PVC,5.6261744499
04/29/2009,PVC,5.8361067771
05/04/2009,PVC,6.1719975471
05/05/2009,PVC,6.4449090957
05/06/2009,PVC,6.1090178489
05/07/2009,PVC,6.6128544807
05/08/2009,PVC,6.5708680152
05/11/2009,PVC,6.3399429321
05/12/2009,PVC,6.4868955612
05/13/2009,PVC,6.3189496994
05/14/2009,PVC,6.255970478
05/15/2009,PVC,6.5708680152
05/18/2009,PVC,6.5288815498
05/19/2009,PVC,6.9907317161
05/20/2009,PVC,7.0956978797
05/21/2009,PVC,6.9277524948
05/22/2009,PVC,6.8017930984
05/25/2009,PVC,7.2006640434
05/26/2009,PVC,7.4525818824
05/27/2009,PVC,7.4315891265
05/28/2009,PVC,5.7712960243
05/29/2009,PVC,6.03048563
06/01/2009,PVC,6.2723965644
06/02/2009,PVC,6.6179828643
06/03/2009,PVC,7.0672454833
06/04/2009,PVC,7.5510668754
06/05/2009,PVC,8.0348882675
06/08/2009,PVC,8.5878267288
06/09/2009,PVC,8.0003290176
06/10/2009,PVC,7.5337877273
06/11/2009,PVC,7.5683460235
06/12/2009,PVC,7.5683460235
06/15/2009,PVC,6.9808487892
06/16/2009,PVC,6.531586647
06/17/2009,PVC,6.1168823242
06/18/2009,PVC,6.514307022
06/19/2009,PVC,6.6179828643
06/22/2009,PVC,6.1859998703
06/23/2009,PVC,5.7540163993
06/24/2009,PVC,5.7540163993
06/25/2009,PVC,6.4624691009
06/26/2009,PVC,6.3760724067
06/29/2009,PVC,6.0132064819
06/30/2009,PVC,6.0132064819
07/01/2009,PVC,5.4602680206
07/02/2009,PVC,5.8058547973
07/03/2009,PVC,5.9095306396
07/06/2009,PVC,6.1514410972
07/07/2009,PVC,6.1341619491
07/08/2009,PVC,5.9679818153
07/09/2009,PVC,5.9109630584
07/10/2009,PVC,5.7399058341
07/13/2009,PVC,5.4167985916
07/14/2009,PVC,5.3217673301
07/15/2009,PVC,5.454811573
07/16/2009,PVC,5.7589125633
07/17/2009,PVC,5.6828870773
07/20/2009,PVC,5.3217673301
07/21/2009,PVC,5.3597798347
07/22/2009,PVC,5.4167985916
07/23/2009,PVC,5.4167985916
07/24/2009,PVC,6.0059943199
07/27/2009,PVC,6.4051270484
07/28/2009,PVC,6.2530765533
07/29/2009,PVC,8.7419490814
07/30/2009,PVC,8.245560646
07/31/2009,PVC,8.3090925216
08/03/2009,PVC,8.3090925216
08/04/2009,PVC,8.4422502517
08/05/2009,PVC,8.3623552322
08/06/2009,PVC,8.4156188964
08/07/2009,PVC,8.3090925216
08/10/2009,PVC,8.4156188964
08/11/2009,PVC,8.4422502517
08/12/2009,PVC,8.7085676193
08/13/2009,PVC,9.0281486511
08/14/2009,PVC,8.9482526779
08/17/2009,PVC,8.8150949478
08/18/2009,PVC,8.7884626388
08/19/2009,PVC,9.0015163421
08/20/2009,PVC,9.1346750259
08/21/2009,PVC,9.7205724716
08/24/2009,PVC,9.5341510772
08/25/2009,PVC,9.2678337097
08/26/2009,PVC,9.3210973739
08/27/2009,PVC,9.3210973739
08/28/2009,PVC,9.3477287292
08/31/2009,PVC,9.5607824325
09/01/2009,PVC,9.4276237487
09/03/2009,PVC,9.1613073348
09/04/2009,PVC,9.5874137878
09/07/2009,PVC,9.2678337097
09/08/2009,PVC,9.294465065
09/09/2009,PVC,9.2145700454
09/10/2009,PVC,9.1080436706
09/11/2009,PVC,9.4009914398
09/14/2009,PVC,9.5075197219
09/15/2009,PVC,9.3477287292
09/16/2009,PVC,9.2412023544
09/17/2009,PVC,9.3210973739
09/18/2009,PVC,9.1613063812
09/21/2009,PVC,9.2678337097
09/22/2009,PVC,9.2412014007
09/23/2009,PVC,9.7472038269
09/24/2009,PVC,9.4009923934
09/25/2009,PVC,9.2678337097
09/28/2009,PVC,9.2412014007
09/29/2009,PVC,9.2412014007
09/30/2009,PVC,9.0547800064
10/01/2009,PVC,8.9748849868
10/02/2009,PVC,8.4422502517
10/05/2009,PVC,8.4422502517
10/06/2009,PVC,8.3357238769
10/07/2009,PVC,8.3889875411
10/08/2009,PVC,8.495513916
10/09/2009,PVC,9.0547800064
10/12/2009,PVC,9.6673088073
10/13/2009,PVC,9.4276237487
10/14/2009,PVC,9.3477287292
10/15/2009,PVC,9.6939411163
10/16/2009,PVC,9.8537311553
10/19/2009,PVC,10.5195236206
10/20/2009,PVC,11.23857975
10/21/2009,PVC,11.3454875946
10/22/2009,PVC,10.6796731948
10/23/2009,PVC,10.1470212936
10/26/2009,PVC,9.7208995819
10/27/2009,PVC,11.0079717636
10/28/2009,PVC,11.4396572113
10/29/2009,PVC,10.7612943649
10/30/2009,PVC,10.9463024139
11/02/2009,PVC,10.2679405212
11/03/2009,PVC,9.6512470245
11/04/2009,PVC,9.5895776748
11/05/2009,PVC,9.8362550735
11/06/2009,PVC,10.1137666702
11/09/2009,PVC,9.5587425231
11/10/2009,PVC,9.4354047775
11/11/2009,PVC,9.7129163742
11/12/2009,PVC,10.2062711715
11/13/2009,PVC,9.9595937728
11/16/2009,PVC,9.9287586212
11/17/2009,PVC,8.4957990646
11/18/2009,PVC,8.442533493
11/19/2009,PVC,8.6014080047
11/20/2009,PVC,9.1356573104
11/23/2009,PVC,8.7082576751
11/24/2009,PVC,8.4945583343
11/25/2009,PVC,8.0404472351
11/26/2009,PVC,7.4794855117
11/27/2009,PVC,7.2390732765
11/30/2009,PVC,7.5329103469
12/01/2009,PVC,7.9068846702
12/02/2009,PVC,7.5061979293
12/03/2009,PVC,7.1589360237
12/04/2009,PVC,7.2123608589
12/07/2009,PVC,7.2657856941
12/08/2009,PVC,7.0787987709
12/09/2009,PVC,6.6246871948
12/10/2009,PVC,6.4109873771
12/11/2009,PVC,6.0103006362
12/14/2009,PVC,6.3308501243
12/15/2009,PVC,6.2240004539
12/16/2009,PVC,5.823313713
12/17/2009,PVC,5.4760518074
12/18/2009,PVC,5.8500261306
12/21/2009,PVC,6.1705756187
12/22/2009,PVC,6.1438632011
12/23/2009,PVC,6.1972880363
12/24/2009,PVC,6.4911251068
12/25/2009,PVC,6.9185242652
12/28/2009,PVC,6.9185242652
12/29/2009,PVC,6.6246871948
12/30/2009,PVC,6.7048244476
12/31/2009,PVC,6.9185242652
01/04/2010,PVC,7.3192110061
01/05/2010,PVC,7.8000349998
01/06/2010,PVC,7.4794855117
01/07/2010,PVC,7.7733225822
01/08/2010,PVC,7.5863351821
01/11/2010,PVC,7.2657856941
01/12/2010,PVC,6.9185242652
01/13/2010,PVC,7.9840831756
01/14/2010,PVC,8.3126468658
01/15/2010,PVC,8.1483650207
01/18/2010,PVC,7.6555204391
01/19/2010,PVC,7.8526582717
01/20/2010,PVC,7.6883764266
01/21/2010,PVC,7.261244297
01/22/2010,PVC,7.2941007614
01/25/2010,PVC,7.3598132133
01/26/2010,PVC,7.8198018074
01/27/2010,PVC,7.6883764266
01/28/2010,PVC,7.3269572257
01/29/2010,PVC,6.0370135307
02/01/2010,PVC,6.1438632011
02/02/2010,PVC,10.0152750015
02/03/2010,PVC,10.0152750015
02/04/2010,PVC,10.1464796066
02/05/2010,PVC,9.9278059005
02/08/2010,PVC,9.7091312408
02/09/2010,PVC,9.4904575347
02/10/2010,PVC,9.6216621398
02/11/2010,PVC,9.8403358459
02/12/2010,PVC,9.9278059005
02/22/2010,PVC,10.059009552
02/23/2010,PVC,9.5341920852
02/24/2010,PVC,9.7091312408
02/25/2010,PVC,9.8403358459
02/26/2010,PVC,9.7528657913
03/01/2010,PVC,9.7966012954
03/02/2010,PVC,9.8840703964
03/03/2010,PVC,10.3651533126
03/04/2010,PVC,10.9774417877
03/05/2010,PVC,11.0649108886
03/08/2010,PVC,11.67719841
03/09/2010,PVC,12.4206905364
03/10/2010,PVC,12.376955986
03/11/2010,PVC,11.9833421707
03/12/2010,PVC,12.1582813262
03/15/2010,PVC,12.9455089569
03/16/2010,PVC,12.376955986
03/17/2010,PVC,11.8084030151
03/18/2010,PVC,11.8521375656
03/19/2010,PVC,11.5459938049
03/22/2010,PVC,11.3710546493
03/23/2010,PVC,10.9774417877
03/24/2010,PVC,11.2835855484
03/25/2010,PVC,10.7587671279
03/26/2010,PVC,10.9337062835
03/29/2010,PVC,10.9337062835
03/30/2010,PVC,10.7150325775
03/31/2010,PVC,10.6712970733
04/01/2010,PVC,10.8462371826
04/02/2010,PVC,11.0211763381
