date,ticker,value
02/24/2009,ST8,4.4957857131
04/10/2009,ST8,3.9080007076
04/13/2009,ST8,4.0940957069
04/14/2009,ST8,4.4957857131
04/15/2009,ST8,3.9080007076
04/17/2009,ST8,4.168533802
04/20/2009,ST8,3.963452816
04/21/2009,ST8,3.7773752212
04/22/2009,ST8,3.963452816
04/23/2009,ST8,4.0378837585
04/24/2009,ST8,3.8518061637
04/27/2009,ST8,3.8704140186
04/28/2009,ST8,3.9076294898
04/29/2009,ST8,3.7773752212
05/04/2009,ST8,3.963452816
05/05/2009,ST8,4.1495304107
05/06/2009,ST8,3.9448449611
05/07/2009,ST8,4.2536520957
05/08/2009,ST8,4.4069371223
05/11/2009,ST8,4.2344918251
05/12/2009,ST8,4.4452581405
05/15/2009,ST8,4.9817547798
05/18/2009,ST8,4.9817547798
05/20/2009,ST8,5.0009155273
05/26/2009,ST8,5.3089222908
05/28/2009,ST8,5.1286196708
06/01/2009,ST8,4.7589097023
06/02/2009,ST8,4.961025238
06/03/2009,ST8,5.1998896598
06/04/2009,ST8,5.4571280479
06/09/2009,ST8,6.2839655876
06/15/2009,ST8,6.1553463935
06/19/2009,ST8,5.6408696174
06/22/2009,ST8,5.3652567863
07/10/2009,ST8,5.2266850471
07/13/2009,ST8,4.9759583473
07/14/2009,ST8,4.7445187568
07/17/2009,ST8,4.5323653221
07/21/2009,ST8,4.5130786895
07/23/2009,ST8,4.7059454917
07/24/2009,ST8,4.9373850822
07/27/2009,ST8,4.8409519195
07/31/2009,ST8,4.2815365791
08/03/2009,ST8,4.4753508567
08/04/2009,ST8,4.6661787033
08/05/2009,ST8,4.8977069854
08/06/2009,ST8,5.1292347908
08/07/2009,ST8,5.1648545265
08/10/2009,ST8,5.3429532051
08/12/2009,ST8,5.093615055
08/17/2009,ST8,5.1114249229
08/19/2009,ST8,5.1114249229
08/20/2009,ST8,5.3607625961
08/24/2009,ST8,5.6635303497
08/25/2009,ST8,5.9464039802
09/08/2009,ST8,6.2242736816
09/11/2009,ST8,6.048666954
09/16/2009,ST8,6.2047619819
09/17/2009,ST8,5.7051777839
09/24/2009,ST8,5.8128223419
09/25/2009,ST8,5.7948818206
10/05/2009,ST8,5.5616512298
10/06/2009,ST8,5.6513552665
10/14/2009,ST8,6.6201591491
10/15/2009,ST8,6.7278037071
10/26/2009,ST8,7.3557319641
10/27/2009,ST8,8.0124597549
10/29/2009,ST8,7.3725767135
11/06/2009,ST8,7.0746951103
11/20/2009,ST8,6.4603133201
11/24/2009,ST8,5.9576377868
12/16/2009,ST8,5.3060212135
12/17/2009,ST8,5.3432564735
12/21/2009,ST8,6.4472188949
12/23/2009,ST8,6.5086207389
12/25/2009,ST8,6.8360986709
12/30/2009,ST8,6.999721527
01/06/2010,ST8,7.327193737
01/11/2010,ST8,6.8359851837
01/12/2010,ST8,6.5085129737
01/13/2010,ST8,6.2015075683
01/14/2010,ST8,6.5085129737
01/19/2010,ST8,6.6517820358
01/27/2010,ST8,6.4880456924
02/01/2010,ST8,5.5492939949
02/03/2010,ST8,5.8267583847
02/23/2010,ST8,4.9502534866
02/24/2010,ST8,5.0958490371
02/25/2010,ST8,4.8628959655
02/26/2010,ST8,4.9939317703
03/02/2010,ST8,5.2414445877
03/19/2010,ST8,5.762409687
03/24/2010,ST8,5.631816864
03/30/2010,ST8,5.2890105247
04/08/2010,ST8,5.3968529701
04/13/2010,ST8,5.4463658332
04/20/2010,ST8,5.8457579612
04/27/2010,ST8,5.6180009841
04/29/2010,ST8,5.6559605598
06/10/2010,ST8,5.9607376972
06/16/2010,ST8,5.8331378077
06/25/2010,ST8,5.8149092521
07/15/2010,ST8,5.4685666947
08/10/2010,ST8,5.1039955817
08/18/2010,ST8,5.3408509828
09/06/2010,ST8,5.1038848982
09/14/2010,ST8,4.1750774746
09/15/2010,ST8,4.1911974649
09/16/2010,ST8,4.1750774746
09/21/2010,ST8,4.1911974649
09/27/2010,ST8,3.9493976111
10/05/2010,ST8,3.7881977086
10/11/2010,ST8,4.5150859555
10/18/2010,ST8,4.4045124219
10/22/2010,ST8,4.3307967328
10/25/2010,ST8,4.4229413442
11/02/2010,ST8,5.0389952133
11/09/2010,ST8,4.8751254503
11/15/2010,ST8,4.9570603318
11/16/2010,ST8,4.916092891
11/18/2010,ST8,4.7112556872
11/23/2010,ST8,4.6907719669
11/19/2010,ST8,4.4859347631
11/17/2010,ST8,4.9570603318
11/12/2010,ST8,5.2028649764
11/11/2010,ST8,5.2028649764
12/09/2010,ST8,4.3015812797
11/10/2010,ST8,4.9775440522
11/08/2010,ST8,4.8751254503
12/14/2010,ST8,4.4859347631
11/05/2010,ST8,4.7931905688
11/04/2010,ST8,4.5678696446
11/03/2010,ST8,4.7931905688
12/20/2010,ST8,4.752223128
11/01/2010,ST8,5.1209300948
10/29/2010,ST8,4.5519438
12/23/2010,ST8,4.916092891
12/24/2010,ST8,4.6702882465
12/27/2010,ST8,4.8546417299
10/28/2010,ST8,4.5519438
10/27/2010,ST8,4.5150859555
10/26/2010,ST8,4.5150859555
10/21/2010,ST8,4.1833653547
10/20/2010,ST8,4.1649364324
10/19/2010,ST8,4.3307967328
10/15/2010,ST8,4.4229413442
10/14/2010,ST8,4.6072305668
01/10/2011,ST8,4.4449673223
01/11/2011,ST8,4.4449673223
10/13/2010,ST8,4.7730908673
01/13/2011,ST8,4.5064184834
10/12/2010,ST8,4.5703727223
10/08/2010,ST8,4.6993751782
01/18/2011,ST8,4.2196463981
10/07/2010,ST8,4.5335148778
10/06/2010,ST8,3.9655176014
01/21/2011,ST8,4.158195237
10/04/2010,ST8,3.9655176014
01/25/2011,ST8,4.2810975593
10/01/2010,ST8,4.1105975136
09/30/2010,ST8,4.1589574844
01/28/2011,ST8,4.3835161612
09/29/2010,ST8,4.1589574844
09/28/2010,ST8,4.0461175526
09/24/2010,ST8,4.0944775234
02/11/2011,ST8,4.3630324408
02/14/2011,ST8,4.3425487204
09/23/2010,ST8,4.0622375429
02/16/2011,ST8,4.1786789574
09/22/2010,ST8,4.2717974161
09/20/2010,ST8,4.1911974649
02/21/2011,ST8,4.0148091943
02/22/2011,ST8,3.8304557109
09/17/2010,ST8,4.1428374941
09/13/2010,ST8,4.0299975624
09/10/2010,ST8,4.0299975624
09/09/2010,ST8,3.9977575819
09/08/2010,ST8,4.7393216912
03/02/2011,ST8,3.4412650237
03/03/2011,ST8,4.1814070647
03/04/2011,ST8,4.0284287574
09/07/2010,ST8,4.9216032947
03/08/2011,ST8,4.2069034492
09/01/2010,ST8,5.1038848982
08/31/2010,ST8,4.3907101232
03/11/2011,ST8,4.4108745255
03/14/2011,ST8,4.4873636791
08/30/2010,ST8,4.4224120013
03/16/2011,ST8,4.4873636791
03/17/2011,ST8,4.2833926028
08/27/2010,ST8,4.885146974
03/21/2011,ST8,4.4363709101
03/22/2011,ST8,4.2578962183
03/23/2011,ST8,4.2578962183
08/26/2010,ST8,4.7575498515
08/25/2010,ST8,4.7393216912
08/24/2010,ST8,4.9762877758
08/23/2010,ST8,5.2314820207
08/20/2010,ST8,5.1038848982
08/19/2010,ST8,5.1950257
08/17/2010,ST8,5.4137636242
08/16/2010,ST8,5.4866762656
08/13/2010,ST8,5.3408509828
08/12/2010,ST8,5.1038848982
08/11/2010,ST8,5.1039955817
04/08/2011,ST8,3.9519396038
04/13/2011,ST8,4.0794215265
08/09/2010,ST8,5.19513836
08/06/2010,ST8,5.4503381391
04/18/2011,ST8,3.9264432192
08/05/2010,ST8,5.4321095834
04/20/2011,ST8,3.7989612965
04/21/2011,ST8,3.7989612965
08/04/2010,ST8,5.4685666947
08/03/2010,ST8,5.6508522512
04/26/2011,ST8,3.9009468347
04/27/2011,ST8,3.7224721429
08/02/2010,ST8,5.6508522512
07/30/2010,ST8,5.6508522512
07/29/2010,ST8,5.6508522512
05/05/2011,ST8,3.6459829893
05/06/2011,ST8,3.6459829893
05/09/2011,ST8,3.6935303838
05/10/2011,ST8,3.6935303838
07/28/2010,ST8,5.6508522512
07/27/2010,ST8,5.6508522512
07/26/2010,ST8,5.559709473
07/23/2010,ST8,5.6326236956
07/22/2010,ST8,5.6508522512
05/18/2011,ST8,3.6279579946
05/19/2011,ST8,3.5220322137
05/20/2011,ST8,3.3631435424
05/23/2011,ST8,3.310180652
07/21/2010,ST8,5.4685666947
07/20/2010,ST8,5.6508522512
07/19/2010,ST8,5.4685666947
07/16/2010,ST8,5.4685666947
07/14/2010,ST8,5.6508522512
05/31/2011,ST8,3.4161064329
