date,ticker,value
03/11/2010,CKV,14.9011240005
03/12/2010,CKV,15.9315214157
03/15/2010,CKV,17.0411796569
03/16/2010,CKV,18.2300987243
03/17/2010,CKV,19.4982795715
03/19/2010,CKV,17.5167465209
03/22/2010,CKV,18.4678821563
03/23/2010,CKV,17.5167465209
03/24/2010,CKV,16.5656108856
03/29/2010,CKV,15.9315214157
03/30/2010,CKV,15.0596466064
04/01/2010,CKV,14.5840787887
04/02/2010,CKV,14.9803857803
04/07/2010,CKV,14.2670335769
04/08/2010,CKV,14.9803857803
04/09/2010,CKV,15.9315214157
04/12/2010,CKV,15.3766918182
04/14/2010,CKV,14.3462953567
04/15/2010,CKV,16.081129074
04/19/2010,CKV,17.6628780364
04/20/2010,CKV,17.5750026702
04/21/2010,CKV,18.8052539825
04/22/2010,CKV,18.2780036926
04/26/2010,CKV,17.0477542877
04/27/2010,CKV,16.3447532653
04/28/2010,CKV,16.784128189
04/29/2010,CKV,16.784128189
05/04/2010,CKV,17.9265041351
05/05/2010,CKV,19.15675354
05/06/2010,CKV,20.4748783111
05/07/2010,CKV,21.7930049896
05/10/2010,CKV,20.4748783111
05/11/2010,CKV,19.15675354
05/12/2010,CKV,17.8386287689
05/13/2010,CKV,16.6962528228
05/14/2010,CKV,17.7507534027
05/17/2010,CKV,17.4871292114
05/18/2010,CKV,16.4326286315
05/19/2010,CKV,15.4660034179
05/20/2010,CKV,15.3781280517
05/21/2010,CKV,14.4115028381
05/25/2010,CKV,15.3781280517
05/26/2010,CKV,15.6417531967
05/27/2010,CKV,15.8175029754
05/28/2010,CKV,16.6083774566
05/31/2010,CKV,17.5750026702
06/01/2010,CKV,16.3447531639
06/02/2010,CKV,16.1690031299
06/03/2010,CKV,15.6417530279
06/04/2010,CKV,15.4660029938
06/08/2010,CKV,14.6751287466
06/10/2010,CKV,15.3781289261
06/11/2010,CKV,15.4660039485
06/14/2010,CKV,15.8175040383
06/15/2010,CKV,16.2568791504
06/16/2010,CKV,16.169004128
06/17/2010,CKV,15.7296290158
06/18/2010,CKV,16.0811291056
06/21/2010,CKV,16.3447541729
06/22/2010,CKV,15.9053790607
06/24/2010,CKV,16.6083792402
06/25/2010,CKV,17.6628795094
06/28/2010,CKV,18.1022546216
06/29/2010,CKV,17.2235043972
06/30/2010,CKV,16.3447541729
07/01/2010,CKV,16.0811291056
07/02/2010,CKV,17.0477543524
07/05/2010,CKV,17.3992544421
07/06/2010,CKV,16.3447541729
07/07/2010,CKV,16.4326291953
07/08/2010,CKV,16.2568791504
07/09/2010,CKV,16.3447541729
07/12/2010,CKV,16.3447541729
07/13/2010,CKV,16.4326291953
07/14/2010,CKV,16.4326291953
07/15/2010,CKV,15.9932540831
07/16/2010,CKV,17.0477543524
07/19/2010,CKV,17.9265045767
07/20/2010,CKV,18.9810048459
07/21/2010,CKV,18.190129644
07/22/2010,CKV,17.2235043972
07/23/2010,CKV,17.1356293748
07/26/2010,CKV,16.4326291953
07/27/2010,CKV,16.2568791504
07/28/2010,CKV,16.0811291056
07/29/2010,CKV,16.4326291953
07/30/2010,CKV,16.5205042177
08/02/2010,CKV,16.169004128
08/05/2010,CKV,15.8175040383
08/06/2010,CKV,15.7296290158
08/09/2010,CKV,14.8508787915
08/10/2010,CKV,15.0266288363
08/11/2010,CKV,14.8508787915
08/12/2010,CKV,14.0600035896
08/13/2010,CKV,13.6206284774
08/16/2010,CKV,14.4115036793
08/17/2010,CKV,14.5872537242
08/18/2010,CKV,14.0600035896
08/19/2010,CKV,14.0600035896
08/20/2010,CKV,13.7963785223
08/23/2010,CKV,13.7963785223
08/24/2010,CKV,12.9176282979
08/25/2010,CKV,12.0388780736
08/26/2010,CKV,12.3025031409
08/27/2010,CKV,11.7752530062
08/30/2010,CKV,12.5661282082
08/31/2010,CKV,13.1812533652
09/01/2010,CKV,13.0933783428
09/06/2010,CKV,13.8842535447
09/07/2010,CKV,14.147878612
09/09/2010,CKV,13.8842535447
09/13/2010,CKV,14.0600035896
09/14/2010,CKV,13.2691283876
09/15/2010,CKV,12.741878253
09/16/2010,CKV,13.1812533652
09/17/2010,CKV,13.7085034998
09/21/2010,CKV,13.0055033203
09/22/2010,CKV,12.6540032306
09/24/2010,CKV,12.3903781633
10/04/2010,CKV,11.4237529165
10/05/2010,CKV,11.3358778941
10/11/2010,CKV,11.4237529165
10/13/2010,CKV,11.4237529165
10/14/2010,CKV,11.5995029614
10/15/2010,CKV,11.1601278492
10/20/2010,CKV,10.5450026922
10/21/2010,CKV,10.8086277595
10/25/2010,CKV,10.9843778043
10/26/2010,CKV,11.2480028716
11/01/2010,CKV,11.2480028716
11/02/2010,CKV,10.5450026922
11/08/2010,CKV,12.126753096
11/09/2010,CKV,12.126753096
11/10/2010,CKV,11.3358778941
11/12/2010,CKV,9.8420025127
11/23/2010,CKV,8.3481271313
11/24/2010,CKV,8.699627221
11/25/2010,CKV,9.1390023332
11/29/2010,CKV,9.3147523781
11/30/2010,CKV,9.8420025127
12/02/2010,CKV,9.6662524678
12/03/2010,CKV,10.2813776249
12/08/2010,CKV,11.1601278492
12/09/2010,CKV,10.5450026922
12/13/2010,CKV,11.5995029614
12/14/2010,CKV,11.5116279389
12/15/2010,CKV,10.8086277595
12/16/2010,CKV,10.2813776249
12/17/2010,CKV,10.720752737
12/21/2010,CKV,10.4571276697
12/22/2010,CKV,10.9843778043
12/23/2010,CKV,11.5995029614
12/24/2010,CKV,11.0722528268
12/27/2010,CKV,10.4571276697
12/28/2010,CKV,10.8965027819
12/29/2010,CKV,10.720752737
12/30/2010,CKV,10.10562758
01/04/2011,CKV,10.0177525575
