date,ticker,value
05/14/2020,BBH,12.8875280964
05/15/2020,BBH,12.8875280964
05/18/2020,BBH,12.8875280964
05/19/2020,BBH,12.8875280964
05/20/2020,BBH,12.8875280964
05/21/2020,BBH,12.8875280964
05/22/2020,BBH,12.8875280964
05/25/2020,BBH,12.8875280964
05/26/2020,BBH,12.8875280964
05/27/2020,BBH,12.8875280964
05/28/2020,BBH,12.8875280964
05/29/2020,BBH,12.8875280964
06/01/2020,BBH,12.8875280964
06/02/2020,BBH,12.8875280964
06/03/2020,BBH,12.8875280964
06/04/2020,BBH,12.8875280964
06/05/2020,BBH,12.8875280964
06/08/2020,BBH,12.8875280964
06/09/2020,BBH,12.8875280964
06/10/2020,BBH,12.8875280964
06/11/2020,BBH,12.8875280964
06/12/2020,BBH,12.8875280964
06/15/2020,BBH,12.8875280964
06/16/2020,BBH,12.8875280964
06/17/2020,BBH,12.8875280964
06/18/2020,BBH,12.8875280964
06/19/2020,BBH,12.8875280964
06/22/2020,BBH,12.8875280964
06/23/2020,BBH,12.8875280964
06/24/2020,BBH,12.8875280964
02/24/2009,BBS,5.4218273162
04/10/2009,BBS,5.1788377761
04/13/2009,BBS,5.6371417045
04/14/2009,BBS,5.4218273162
04/15/2009,BBS,5.4996504783
04/17/2009,BBS,5.1330070495
04/20/2009,BBS,4.9038553237
04/21/2009,BBS,5.1788377761
04/22/2009,BBS,5.1788377761
04/23/2009,BBS,5.0413465499
04/24/2009,BBS,5.1330070495
04/27/2009,BBS,5.4079899787
04/28/2009,BBS,5.4538202285
04/29/2009,BBS,5.5454812049
05/04/2009,BBS,5.7288026809
05/05/2009,BBS,6.0496158599
05/06/2009,BBS,5.6371417045
05/07/2009,BBS,6.0086083412
05/08/2009,BBS,5.8278980255
06/25/2020,BBH,12.8875280964
06/26/2020,BBH,12.8875280964
06/29/2020,BBH,12.8875280964
06/30/2020,BBH,12.8875280964
07/01/2020,BBH,12.8875280964
07/02/2020,BBH,12.8875280964
07/03/2020,BBH,12.8875280964
07/07/2020,BBH,12.8875280964
07/08/2020,BBH,12.8875280964
07/09/2020,BBH,12.8875280964
07/10/2020,BBH,12.8875280964
07/13/2020,BBH,12.8875280964
07/14/2020,BBH,12.8875280964
07/16/2020,BBH,12.3104745996
07/17/2020,BBH,12.3104745996
07/20/2020,BBH,12.3104745996
07/22/2020,BBH,12.3104745996
07/24/2020,BBH,12.3104745996
07/27/2020,BBH,12.3104745996
07/29/2020,BBH,12.3104745996
07/30/2020,BBH,12.3104745996
07/31/2020,BBH,12.3104745996
08/03/2020,BBH,12.3104745996
08/04/2020,BBH,12.3104745996
08/05/2020,BBH,12.3104745996
08/06/2020,BBH,12.3104745996
08/07/2020,BBH,12.3104745996
08/10/2020,BBH,12.3104745996
08/12/2020,BBH,12.3104745996
08/13/2020,BBH,12.3104745996
08/14/2020,BBH,12.3104745996
08/17/2020,BBH,12.3104745996
08/18/2020,BBH,12.3104745996
05/11/2009,BBS,5.7827205657
05/12/2009,BBS,5.9182534217
05/13/2009,BBS,5.9634308815
05/14/2009,BBS,5.737543106
05/15/2009,BBS,6.0086083412
05/18/2009,BBS,6.0537858009
05/19/2009,BBS,6.0989632606
05/20/2009,BBS,6.5055608749
05/21/2009,BBS,6.8218030929
05/22/2009,BBS,5.7579855918
05/25/2009,BBS,6.1343245506
05/26/2009,BBS,6.1343245506
05/27/2009,BBS,6.021422863
05/28/2009,BBS,5.6827178001
05/29/2009,BBS,5.720351696
06/01/2009,BBS,6.0590567588
06/02/2009,BBS,6.0590567588
06/03/2009,BBS,5.9837889671
06/04/2009,BBS,6.0590567588
06/05/2009,BBS,6.4353957176
06/08/2009,BBS,6.8117346763
06/09/2009,BBS,6.8117346763
06/10/2009,BBS,6.5106635093
06/11/2009,BBS,6.8493685722
06/12/2009,BBS,6.8493685722
06/15/2009,BBS,6.3224940299
06/16/2009,BBS,5.9461550712
06/17/2009,BBS,5.6450839042
06/18/2009,BBS,6.021422863
06/19/2009,BBS,6.1343245506
06/22/2009,BBS,5.7579855918
06/23/2009,BBS,5.419280529
06/24/2009,BBS,5.419280529
08/20/2020,BBH,12.3104745996
08/24/2020,BBH,12.3104745996
08/25/2020,BBH,12.3104745996
08/26/2020,BBH,12.3104745996
08/27/2020,BBH,12.3104745996
08/31/2020,BBH,12.3104745996
09/04/2020,BBH,7.5016954591
09/07/2020,BBH,7.5016954591
09/11/2020,BBH,7.5016954591
09/15/2020,BBH,7.5016954591
09/16/2020,BBH,7.5016954591
09/22/2020,BBH,7.5016954591
09/23/2020,BBH,7.5016954591
09/24/2020,BBH,7.5016954591
09/25/2020,BBH,7.5016954591
09/28/2020,BBH,7.5016954591
09/29/2020,BBH,7.5016954591
10/02/2020,BBH,7.5016954591
10/05/2020,BBH,7.5016954591
10/07/2020,BBH,7.5016954591
10/09/2020,BBH,7.5016954591
10/13/2020,BBH,7.5016954591
10/14/2020,BBH,7.5016954591
10/15/2020,BBH,7.5016954591
10/16/2020,BBH,7.5016954591
10/21/2020,BBH,7.5016954591
10/26/2020,BBH,7.5016954591
10/27/2020,BBH,7.5016954591
10/28/2020,BBH,7.5016954591
10/29/2020,BBH,7.5016954591
10/30/2020,BBH,7.5016954591
11/02/2020,BBH,7.5016954591
11/03/2020,BBH,7.5016954591
06/25/2009,BBS,5.9461550712
06/26/2009,BBS,5.8708872795
06/29/2009,BBS,5.8332533836
06/30/2009,BBS,5.6450839042
07/01/2009,BBS,5.4569144248
07/02/2009,BBS,5.8332533836
07/03/2009,BBS,5.8332533836
07/06/2009,BBS,6.1343245506
07/07/2009,BBS,6.2472262382
07/08/2009,BBS,6.2095923423
07/09/2009,BBS,6.2472262382
07/10/2009,BBS,6.1343245506
07/13/2009,BBS,6.1343245506
07/14/2009,BBS,5.8332533836
07/15/2009,BBS,5.8708872795
07/16/2009,BBS,5.9837889671
07/17/2009,BBS,5.9837889671
07/20/2009,BBS,5.6450839042
07/21/2009,BBS,5.3063788414
07/22/2009,BBS,5.5321822166
07/23/2009,BBS,4.9377994537
07/24/2009,BBS,5.5760183334
07/27/2009,BBS,5.7103800773
07/28/2009,BBS,5.4752469062
07/29/2009,BBS,5.3744754791
07/30/2009,BBS,5.3744754791
07/31/2009,BBS,4.7533912658
08/03/2009,BBS,4.6367435455
08/04/2009,BBS,4.7242293357
08/05/2009,BBS,4.6950674057
08/06/2009,BBS,4.7533912658
08/07/2009,BBS,4.7242293357
08/10/2009,BBS,4.7533912658
11/04/2020,BBH,7.5016954591
11/10/2020,BBH,7.5016954591
11/12/2020,BBH,7.5016954591
11/16/2020,BBH,7.5016954591
11/17/2020,BBH,7.6940466247
11/18/2020,BBH,7.6940466247
11/20/2020,BBH,7.6940466247
11/23/2020,BBH,7.6940466247
11/30/2020,BBH,7.6940466247
12/01/2020,BBH,7.6940466247
12/02/2020,BBH,7.6940466247
12/03/2020,BBH,7.6940466247
12/04/2020,BBH,7.6940466247
12/09/2020,BBH,7.6940466247
12/10/2020,BBH,7.6940466247
12/11/2020,BBH,7.6940466247
12/16/2020,BBH,7.6940466247
12/17/2020,BBH,7.6940466247
12/21/2020,BBH,7.6940466247
12/24/2020,BBH,7.6940466247
12/28/2020,BBH,7.6940466247
12/31/2020,BBH,7.6940466247
01/06/2021,BBH,7.6940466247
01/11/2021,BBH,7.6940466247
01/13/2021,BBH,7.6940466247
01/14/2021,BBH,7.6940466247
01/15/2021,BBH,7.6940466247
01/19/2021,BBH,7.6940466247
01/21/2021,BBH,7.6940466247
01/22/2021,BBH,7.6940466247
01/25/2021,BBH,7.6940466247
01/27/2021,BBH,7.6940466247
01/28/2021,BBH,7.6940466247
08/11/2009,BBS,4.7825531959
08/12/2009,BBS,4.8117146492
08/13/2009,BBS,4.8992004394
08/14/2009,BBS,4.8992004394
08/17/2009,BBS,4.9283623695
08/18/2009,BBS,4.9575242996
08/19/2009,BBS,5.0741720199
08/20/2009,BBS,5.0741720199
08/21/2009,BBS,5.0741720199
08/24/2009,BBS,5.0741720199
08/25/2009,BBS,4.9866862297
08/26/2009,BBS,4.9575242996
08/27/2009,BBS,4.9283623695
08/28/2009,BBS,5.0741720199
08/31/2009,BBS,5.2783055305
09/01/2009,BBS,5.2199816703
09/03/2009,BBS,5.1324958801
09/04/2009,BBS,5.10333395
09/07/2009,BBS,5.0741720199
09/08/2009,BBS,5.1616578102
09/09/2009,BBS,5.1616578102
09/10/2009,BBS,5.2199816703
09/11/2009,BBS,5.3657908439
09/14/2009,BBS,5.6865720748
09/15/2009,BBS,5.8615436553
09/16/2009,BBS,6.1531629562
09/17/2009,BBS,6.0365152359
09/18/2009,BBS,5.8615436553
09/21/2009,BBS,6.0073533058
09/22/2009,BBS,6.0365152359
09/23/2009,BBS,6.0656771659
09/24/2009,BBS,5.8615436553
09/25/2009,BBS,5.9198675155
01/29/2021,BBH,7.6940466247
02/01/2021,BBH,7.6940466247
02/02/2021,BBH,7.6940466247
02/05/2021,BBH,7.6940466247
02/17/2021,BBH,7.6940466247
02/22/2021,BBH,7.6940466247
02/23/2021,BBH,7.6940466247
02/25/2021,BBH,7.6940466247
03/01/2021,BBH,7.6940466247
03/02/2021,BBH,7.6940466247
03/03/2021,BBH,7.6940466247
03/04/2021,BBH,7.6940466247
03/05/2021,BBH,7.6940466247
03/10/2021,BBH,7.6940466247
03/11/2021,BBH,7.6940466247
03/12/2021,BBH,7.6940466247
03/15/2021,BBH,7.6940466247
