date,ticker,value
02/24/2009,CLC,6.6944770812
04/10/2009,CLC,4.5066366195
04/13/2009,CLC,4.7199683189
04/14/2009,CLC,6.6944770812
04/15/2009,CLC,4.7999677658
04/17/2009,CLC,4.7199683189
04/20/2009,CLC,4.5599694252
04/21/2009,CLC,4.639968872
04/22/2009,CLC,4.7999677658
04/23/2009,CLC,4.6666355133
04/24/2009,CLC,4.6133022308
04/27/2009,CLC,4.6666355133
04/28/2009,CLC,4.6666355133
04/29/2009,CLC,4.6666355133
05/04/2009,CLC,4.6666355133
05/05/2009,CLC,5.1199655532
05/06/2009,CLC,4.8799672126
05/07/2009,CLC,5.013299942
05/08/2009,CLC,4.9333000183
05/11/2009,CLC,4.8799672126
05/12/2009,CLC,5.0666327476
05/13/2009,CLC,4.8799672126
05/14/2009,CLC,4.8799672126
05/15/2009,CLC,5.0399661064
05/18/2009,CLC,5.013299942
05/19/2009,CLC,5.0666327476
05/20/2009,CLC,5.1199655532
05/21/2009,CLC,5.1466321945
05/22/2009,CLC,4.9524297714
05/25/2009,CLC,5.1870188713
05/26/2009,CLC,5.4216074943
05/27/2009,CLC,5.6822619438
05/28/2009,CLC,5.9429159164
05/29/2009,CLC,6.2296357154
06/01/2009,CLC,6.2296357154
06/02/2009,CLC,6.3860282897
06/03/2009,CLC,6.0732431411
06/04/2009,CLC,6.0993084907
06/05/2009,CLC,6.3860282897
06/08/2009,CLC,6.6988129615
06/09/2009,CLC,6.4642243385
06/10/2009,CLC,6.1514391899
06/11/2009,CLC,6.4381589889
06/12/2009,CLC,6.255701065
06/15/2009,CLC,5.9429159164
06/16/2009,CLC,5.6561961174
06/17/2009,CLC,5.5258693695
06/18/2009,CLC,5.6040654182
06/19/2009,CLC,5.7343926429
06/22/2009,CLC,5.4737381935
06/23/2009,CLC,5.3434114456
06/24/2009,CLC,5.6040654182
06/25/2009,CLC,5.4737381935
06/26/2009,CLC,5.2130842208
06/29/2009,CLC,5.3434114456
06/30/2009,CLC,5.1348876953
07/01/2009,CLC,4.9524297714
07/02/2009,CLC,5.1088223457
07/03/2009,CLC,5.1088223457
07/06/2009,CLC,5.3434114456
07/07/2009,CLC,5.2130842208
07/08/2009,CLC,5.3434114456
07/09/2009,CLC,5.2391495704
07/10/2009,CLC,5.317346096
07/13/2009,CLC,5.1348876953
07/14/2009,CLC,5.2130842208
07/15/2009,CLC,5.3434114456
07/16/2009,CLC,5.4216074943
07/17/2009,CLC,5.3434114456
07/20/2009,CLC,5.2912802696
07/21/2009,CLC,5.3694767951
07/22/2009,CLC,5.3955421447
07/23/2009,CLC,5.4216074943
07/24/2009,CLC,5.6822619438
07/27/2009,CLC,5.1526846885
07/28/2009,CLC,5.1287188529
07/29/2009,CLC,5.1766510009
07/30/2009,CLC,5.1526846885
07/31/2009,CLC,5.1232132911
08/03/2009,CLC,5.2423577308
08/04/2009,CLC,5.3376731872
08/05/2009,CLC,5.3615021705
08/06/2009,CLC,5.3138446807
08/07/2009,CLC,5.5759625434
08/10/2009,CLC,5.7665934562
08/11/2009,CLC,5.6474490165
08/12/2009,CLC,5.6474490165
08/13/2009,CLC,5.7189359664
08/14/2009,CLC,5.5044755935
08/17/2009,CLC,5.4806466102
08/18/2009,CLC,5.4806466102
08/19/2009,CLC,5.5997915267
08/20/2009,CLC,5.5521335601
08/21/2009,CLC,5.7427644729
08/24/2009,CLC,5.7427644729
08/25/2009,CLC,5.6712779998
08/26/2009,CLC,5.6712779998
08/27/2009,CLC,5.6712779998
08/28/2009,CLC,5.7665934562
08/31/2009,CLC,5.8619093894
09/01/2009,CLC,5.8380799293
09/03/2009,CLC,5.6236205101
09/04/2009,CLC,5.6474494934
09/07/2009,CLC,5.6474494934
09/08/2009,CLC,5.7665934562
09/09/2009,CLC,5.8142514228
09/10/2009,CLC,5.8142514228
09/11/2009,CLC,5.9095668792
09/14/2009,CLC,6.1955137252
09/15/2009,CLC,6.3146586418
09/16/2009,CLC,6.4338026046
02/24/2009,NST,4.9089274406
04/10/2009,NST,3.6195204257
04/13/2009,NST,3.8457403182
04/14/2009,NST,4.9089274406
04/15/2009,NST,3.9588503837
04/17/2009,NST,3.6195204257
04/20/2009,NST,3.4520299434
04/21/2009,NST,3.2256674766
04/22/2009,NST,3.4237346649
04/23/2009,NST,3.4237346649
04/24/2009,NST,3.5369160175
04/27/2009,NST,3.6783926486
04/28/2009,NST,3.6783926486
04/29/2009,NST,3.5086207389
05/04/2009,NST,3.7349832057
05/05/2009,NST,3.8198692798
05/06/2009,NST,3.6500973701
05/07/2009,NST,3.6500973701
05/08/2009,NST,3.5369160175
09/17/2009,CLC,6.4338026046
09/18/2009,CLC,6.4576315879
09/21/2009,CLC,6.6720919609
09/22/2009,CLC,6.5052895545
09/23/2009,CLC,6.6244339942
09/24/2009,CLC,6.6244339942
09/25/2009,CLC,6.5767760276
09/28/2009,CLC,6.5767760276
09/29/2009,CLC,6.6482629776
09/30/2009,CLC,6.6244339942
10/01/2009,CLC,6.4099740982
10/02/2009,CLC,6.1001982688
10/05/2009,CLC,6.3623161315
10/06/2009,CLC,6.3146581649
10/07/2009,CLC,6.3146581649
10/08/2009,CLC,6.4338026046
10/09/2009,CLC,6.5529470443
10/12/2009,CLC,6.6482629776
10/13/2009,CLC,6.6720919609
10/14/2009,CLC,6.9342098236
10/15/2009,CLC,7.2201566696
10/16/2009,CLC,7.1248407363
10/19/2009,CLC,7.458445549
10/20/2009,CLC,7.8158788681
10/21/2009,CLC,7.8158788681
10/22/2009,CLC,8.1971416473
10/23/2009,CLC,7.7920498847
10/26/2009,CLC,7.7920498847
10/27/2009,CLC,7.7625112533
10/28/2009,CLC,7.5378727912
10/29/2009,CLC,7.1634750366
10/30/2009,CLC,7.512913227
05/11/2009,NST,3.7349832057
05/12/2009,NST,3.7915740013
05/13/2009,NST,3.9896411895
05/14/2009,NST,3.961345911
05/15/2009,NST,4.1311178207
05/18/2009,NST,4.2442994117
05/19/2009,NST,4.414071083
05/20/2009,NST,4.4706616401
05/21/2009,NST,4.5838432312
05/22/2009,NST,3.1913650035
05/25/2009,NST,3.3828468322
05/26/2009,NST,3.2977437973
05/27/2009,NST,3.5956046581
05/28/2009,NST,3.404122591
05/29/2009,NST,3.5956046581
06/01/2009,NST,3.6168804168
06/02/2009,NST,3.5743288993
06/03/2009,NST,3.3828468322
06/04/2009,NST,3.6381561756
06/05/2009,NST,3.8721895217
06/08/2009,NST,4.1274986267
06/09/2009,NST,4.0423955917
06/10/2009,NST,3.850913763
06/11/2009,NST,4.0423955917
06/12/2009,NST,4.0423955917
06/15/2009,NST,3.8296380043
06/16/2009,NST,3.5743288993
06/17/2009,NST,3.7019834518
06/18/2009,NST,3.8296380043
06/19/2009,NST,3.8296380043
06/22/2009,NST,3.6168804168
06/23/2009,NST,3.404122591
11/02/2009,CLC,7.1385154724
11/03/2009,CLC,7.1135554313
11/04/2009,CLC,6.9388365745
