date,ticker,value
01/12/2017,AMP,18.2669655828
01/13/2017,AMP,20.9946120273
01/16/2017,AMP,21.1698426473
01/17/2017,AMP,18.3289575474
01/18/2017,AMP,16.2361088209
01/19/2017,AMP,14.0515119868
01/20/2017,AMP,14.0515119868
01/23/2017,AMP,16.1179108083
01/24/2017,AMP,16.1179108083
01/25/2017,AMP,18.5149334414
02/02/2017,AMP,18.5149334414
02/03/2017,AMP,18.5149334414
02/06/2017,AMP,21.2425798859
02/07/2017,AMP,18.1016536771
02/08/2017,AMP,20.7466441687
02/09/2017,AMP,17.9586588786
02/10/2017,AMP,15.3161480656
02/13/2017,AMP,15.3161480656
02/14/2017,AMP,17.523062007
02/15/2017,AMP,17.523062007
02/16/2017,AMP,14.9607274683
02/17/2017,AMP,14.9607274683
02/20/2017,AMP,14.9607274683
02/21/2017,AMP,12.8116726938
02/22/2017,AMP,12.8116726938
02/23/2017,AMP,12.8116726938
02/24/2017,AMP,11.3238655423
02/27/2017,AMP,11.3238655423
02/28/2017,AMP,11.3238655423
03/01/2017,AMP,11.3238655423
03/02/2017,AMP,9.670746485
03/03/2017,AMP,9.670746485
03/06/2017,AMP,9.670746485
03/07/2017,AMP,11.0758976837
03/08/2017,AMP,12.7290167409
03/09/2017,AMP,12.7290167409
03/10/2017,AMP,12.7290167409
03/13/2017,AMP,12.7290167409
03/14/2017,AMP,10.8279298251
03/15/2017,AMP,10.8279298251
03/16/2017,AMP,10.8279298251
03/17/2017,AMP,9.3401226735
03/20/2017,AMP,9.092154815
03/21/2017,AMP,10.4146500608
03/22/2017,AMP,10.4146500608
03/23/2017,AMP,9.092154815
03/24/2017,AMP,7.7696595691
03/27/2017,AMP,8.9268429092
03/28/2017,AMP,6.2484545909
03/29/2017,AMP,7.1790754874
03/30/2017,AMP,8.2426422263
03/31/2017,AMP,9.4391548075
04/03/2017,AMP,9.4391548075
04/04/2017,AMP,10.8350861523
04/05/2017,AMP,9.2397360439
04/07/2017,AMP,9.9709381769
04/10/2017,AMP,9.9709381769
04/11/2017,AMP,10.1371204799
04/12/2017,AMP,10.369775704
04/13/2017,AMP,11.8521218463
04/14/2017,AMP,11.8521218463
04/17/2017,AMP,11.8521218463
04/18/2017,AMP,11.8521218463
04/19/2017,AMP,10.1038840193
04/20/2017,AMP,10.1038840193
04/21/2017,AMP,10.1038840193
04/24/2017,AMP,8.6414797533
04/25/2017,AMP,8.6414797533
04/26/2017,AMP,8.6414797533
04/27/2017,AMP,8.6414797533
04/28/2017,AMP,8.6414797533
05/03/2017,AMP,8.6414797533
05/04/2017,AMP,8.6414797533
05/05/2017,AMP,8.6414797533
05/08/2017,AMP,8.6414797533
05/09/2017,AMP,8.6414797533
05/10/2017,AMP,8.6414797533
05/11/2017,AMP,8.6414797533
05/12/2017,AMP,8.6414797533
05/15/2017,AMP,8.6414797533
05/16/2017,AMP,8.6414797533
05/17/2017,AMP,8.6414797533
05/18/2017,AMP,8.6414797533
05/19/2017,AMP,8.6414797533
05/22/2017,AMP,8.6414797533
05/23/2017,AMP,8.6414797533
05/24/2017,AMP,8.6414797533
05/25/2017,AMP,8.6414797533
05/26/2017,AMP,8.6414797533
05/29/2017,AMP,9.9044652557
05/30/2017,AMP,9.9044652557
05/31/2017,AMP,9.9044652557
06/01/2017,AMP,9.9044652557
06/02/2017,AMP,9.9044652557
06/05/2017,AMP,9.9044652557
06/06/2017,AMP,9.9044652557
06/07/2017,AMP,13.0286925512
06/08/2017,AMP,14.9564072654
06/09/2017,AMP,16.9240057323
06/12/2017,AMP,16.6182302949
06/13/2017,AMP,16.6182302949
06/14/2017,AMP,16.6182302949
06/15/2017,AMP,16.6182302949
06/16/2017,AMP,16.6182302949
06/19/2017,AMP,16.6182302949
06/20/2017,AMP,16.6182302949
06/21/2017,AMP,16.6182302949
06/22/2017,AMP,16.6182302949
06/23/2017,AMP,15.9535010831
06/26/2017,AMP,15.9535010831
06/27/2017,AMP,15.9535010831
06/28/2017,AMP,15.9535010831
06/29/2017,AMP,15.9535010831
06/30/2017,AMP,15.9535010831
07/03/2017,AMP,15.9535010831
07/04/2017,AMP,15.9535010831
07/05/2017,AMP,15.9535010831
07/06/2017,AMP,15.9535010831
07/07/2017,AMP,15.9535010831
07/10/2017,AMP,15.9535010831
07/11/2017,AMP,15.9535010831
07/12/2017,AMP,15.9535010831
07/13/2017,AMP,15.9535010831
07/14/2017,AMP,15.9535010831
07/17/2017,AMP,15.9535010831
07/18/2017,AMP,15.9535010831
07/19/2017,AMP,15.9535010831
07/20/2017,AMP,15.9535010831
07/21/2017,AMP,15.9535010831
07/24/2017,AMP,15.9535010831
07/25/2017,AMP,15.9535010831
07/26/2017,AMP,15.9535010831
07/27/2017,AMP,15.9535010831
07/28/2017,AMP,15.9535010831
07/31/2017,AMP,15.9535010831
08/01/2017,AMP,15.9535010831
08/02/2017,AMP,15.9535010831
08/03/2017,AMP,15.9535010831
08/04/2017,AMP,15.9535010831
08/07/2017,AMP,15.9535010831
08/08/2017,AMP,15.9535010831
08/09/2017,AMP,15.2887718713
08/10/2017,AMP,15.2887718713
08/11/2017,AMP,15.2887718713
08/14/2017,AMP,15.2887718713
08/15/2017,AMP,15.2887718713
08/16/2017,AMP,13.0286925512
08/17/2017,AMP,13.0286925512
08/18/2017,AMP,13.0286925512
08/21/2017,AMP,13.0286925512
08/22/2017,AMP,13.0286925512
08/23/2017,AMP,13.0286925512
08/24/2017,AMP,13.0286925512
08/25/2017,AMP,13.0286925512
08/28/2017,AMP,13.0286925512
08/29/2017,AMP,13.0286925512
08/30/2017,AMP,11.100977837
08/31/2017,AMP,11.100977837
12/30/2009,AMV,30.8533763885
12/31/2009,AMV,32.9483604431
01/04/2010,AMV,35.233795166
01/05/2010,AMV,37.1383247375
01/06/2010,AMV,34.6624336242
01/07/2010,AMV,34.6624336242
01/08/2010,AMV,36.9478721618
01/11/2010,AMV,39.4237594604
01/12/2010,AMV,42.0900993347
01/13/2010,AMV,41.899646759
01/14/2010,AMV,39.9951171875
01/15/2010,AMV,37.3287773132
01/18/2010,AMV,34.8528900146
01/19/2010,AMV,33.3292655944
01/20/2010,AMV,31.4247360229
01/21/2010,AMV,29.3297538757
01/22/2010,AMV,28.1870346069
01/25/2010,AMV,29.3297538757
01/26/2010,AMV,31.2342815399
01/27/2010,AMV,29.9011116027
09/01/2017,AMP,11.100977837
09/05/2017,AMP,11.100977837
09/06/2017,AMP,11.100977837
09/07/2017,AMP,11.100977837
09/08/2017,AMP,11.100977837
09/11/2017,AMP,11.100977837
09/12/2017,AMP,11.100977837
