date,ticker,value
02/24/2009,CAP,4.1912007331
04/10/2009,CAP,21.1781330108
04/13/2009,CAP,20.4662628173
04/14/2009,CAP,4.1912007331
04/15/2009,CAP,18.3306522369
04/17/2009,CAP,17.9742622375
04/20/2009,CAP,17.9742622375
04/21/2009,CAP,18.1522254943
04/22/2009,CAP,18.1522254943
04/23/2009,CAP,18.1522254943
04/24/2009,CAP,18.1522254943
04/27/2009,CAP,18.1522254943
04/28/2009,CAP,18.1522254943
04/29/2009,CAP,18.8640785217
05/04/2009,CAP,18.508152008
05/05/2009,CAP,18.508152008
05/06/2009,CAP,19.2200050354
05/07/2009,CAP,18.8640785217
05/08/2009,CAP,18.8640785217
05/11/2009,CAP,17.6183376312
05/12/2009,CAP,17.6183376312
05/13/2009,CAP,18.6861152648
05/14/2009,CAP,17.4403743743
05/15/2009,CAP,18.508152008
05/18/2009,CAP,17.9742622375
05/19/2009,CAP,19.2200050354
05/20/2009,CAP,20.1098194122
05/21/2009,CAP,20.287782669
05/22/2009,CAP,-17.4307518005
05/25/2009,CAP,-19.0153656005
05/26/2009,CAP,-20.4415168762
05/27/2009,CAP,-21.8676700592
05/28/2009,CAP,-22.0261306762
05/29/2009,CAP,-22.0261306762
06/01/2009,CAP,-20.5999794006
06/02/2009,CAP,-22.0261306762
06/03/2009,CAP,-23.4522838592
06/04/2009,CAP,-25.0368976593
06/05/2009,CAP,-26.7799720764
06/08/2009,CAP,-28.5230484008
06/09/2009,CAP,-30.4245853424
06/10/2009,CAP,-32.3261222839
06/11/2009,CAP,-34.3861198425
06/12/2009,CAP,-34.3861198425
06/15/2009,CAP,-36.4461174011
06/16/2009,CAP,-34.5445785522
06/17/2009,CAP,-30.5830459594
06/18/2009,CAP,-29.6322784423
06/19/2009,CAP,-29.7907390594
06/22/2009,CAP,-27.7307415008
06/23/2009,CAP,-25.8292045593
06/24/2009,CAP,-25.8292045593
06/25/2009,CAP,-26.3045883178
06/26/2009,CAP,-24.7199745178
06/29/2009,CAP,-23.7692070007
06/30/2009,CAP,-22.8184375762
07/01/2009,CAP,-21.3922863006
07/02/2009,CAP,-21.3922863006
07/03/2009,CAP,-22.8184375762
07/06/2009,CAP,-24.4030513763
07/07/2009,CAP,-23.6107444763
07/08/2009,CAP,-23.6107444763
07/09/2009,CAP,-24.7199745178
07/10/2009,CAP,-25.3538208007
07/13/2009,CAP,-23.7692070007
07/14/2009,CAP,-23.7692070007
07/15/2009,CAP,-23.7692070007
07/16/2009,CAP,-22.5015163421
07/17/2009,CAP,-21.7092094421
07/20/2009,CAP,-21.7092094421
07/21/2009,CAP,-22.1845932006
07/22/2009,CAP,-22.1845932006
07/23/2009,CAP,-22.1845932006
07/24/2009,CAP,-23.1353607177
07/27/2009,CAP,-24.7199745178
07/28/2009,CAP,-25.5122814178
07/29/2009,CAP,-27.2553577423
07/30/2009,CAP,-27.4138183593
07/31/2009,CAP,-28.4577922821
08/03/2009,CAP,-28.4577922821
08/04/2009,CAP,-26.5606060028
08/05/2009,CAP,-26.8768043518
08/06/2009,CAP,-25.6120128631
08/07/2009,CAP,46.7479591369
08/10/2009,CAP,49.2083778381
08/11/2009,CAP,49.2083778381
08/12/2009,CAP,46.7479591369
08/13/2009,CAP,49.8234825134
08/14/2009,CAP,51.9763488769
08/17/2009,CAP,52.5914535522
08/18/2009,CAP,51.053691864
08/19/2009,CAP,50.4385871887
08/20/2009,CAP,47.6706161499
08/21/2009,CAP,50.7461395263
08/24/2009,CAP,52.2839012145
08/25/2009,CAP,49.8120536804
08/26/2009,CAP,52.271911621
08/27/2009,CAP,51.6569442749
08/28/2009,CAP,52.8868751525
08/31/2009,CAP,56.5766563415
09/01/2009,CAP,58.1140632629
09/03/2009,CAP,55.6542129516
09/04/2009,CAP,52.8868751525
09/07/2009,CAP,49.504573822
09/08/2009,CAP,52.271911621
09/09/2009,CAP,51.3494682312
09/10/2009,CAP,51.6569442749
09/11/2009,CAP,53.1943588256
09/14/2009,CAP,53.5018348693
09/15/2009,CAP,54.731765747
09/16/2009,CAP,58.421546936
09/17/2009,CAP,57.5122909545
09/18/2009,CAP,57.2047386169
09/21/2009,CAP,58.4349479675
09/22/2009,CAP,55.359424591
09/23/2009,CAP,57.2047386169
09/24/2009,CAP,57.8198432922
09/25/2009,CAP,58.4349479675
09/28/2009,CAP,55.6669769287
07/26/2018,FRC,12.9673679186
07/27/2018,FRC,12.9673679186
07/30/2018,FRC,12.9673679186
07/31/2018,FRC,12.9673679186
08/01/2018,FRC,12.9673679186
08/02/2018,FRC,12.9673679186
08/03/2018,FRC,12.9673679186
08/06/2018,FRC,12.9673679186
08/07/2018,FRC,12.9673679186
08/08/2018,FRC,12.9673679186
08/09/2018,FRC,18.1543150861
08/10/2018,FRC,18.1543150861
08/13/2018,FRC,18.1543150861
08/14/2018,FRC,4.9082950055
08/15/2018,FRC,18.1543150861
08/16/2018,FRC,18.1543150861
08/17/2018,FRC,18.1543150861
08/20/2018,FRC,18.1543150861
08/21/2018,FRC,18.1543150861
08/22/2018,FRC,18.1543150861
08/23/2018,FRC,18.1543150861
08/24/2018,FRC,18.1543150861
08/27/2018,FRC,18.1543150861
08/28/2018,FRC,19.8919423871
08/29/2018,FRC,19.8400729155
08/30/2018,FRC,19.8400729155
08/31/2018,FRC,19.8400729155
09/04/2018,FRC,19.8400729155
09/05/2018,FRC,19.8400729155
09/29/2009,CAP,57.2047386169
09/30/2009,CAP,59.9727096557
10/01/2009,CAP,56.5896339416
10/02/2009,CAP,58.4349479675
10/05/2009,CAP,54.4367675781
10/06/2009,CAP,54.4367675781
10/07/2009,CAP,57.2047386169
10/08/2009,CAP,54.1292152404
10/09/2009,CAP,56.282081604
10/12/2009,CAP,55.359424591
10/13/2009,CAP,55.9745292663
10/14/2009,CAP,59.3576049804
10/15/2009,CAP,63.3557853698
10/16/2009,CAP,67.6615219116
10/19/2009,CAP,72.2748031616
10/20/2009,CAP,76.888092041
10/21/2009,CAP,78.7334060668
10/22/2009,CAP,75.350326538
10/23/2009,CAP,71.044593811
10/26/2009,CAP,70.737045288
10/27/2009,CAP,71.9902420043
10/28/2009,CAP,33.4938545227
10/29/2009,CAP,32.0022239685
10/30/2009,CAP,33.3582496643
11/02/2009,CAP,31.3242111206
11/03/2009,CAP,29.4257736206
11/04/2009,CAP,28.6121578216
11/05/2009,CAP,30.5105953216
11/06/2009,CAP,31.3242111206
11/09/2009,CAP,29.1545696258
11/10/2009,CAP,27.2561321258
11/11/2009,CAP,27.9341449737
11/12/2009,CAP,29.4257736206
09/06/2018,FRC,19.8400729155
09/07/2018,FRC,19.8400729155
09/10/2018,FRC,19.8400729155
09/11/2018,FRC,19.8400729155
09/12/2018,FRC,19.8400729155
09/13/2018,FRC,19.8400729155
09/14/2018,FRC,19.8400729155
09/17/2018,FRC,19.8400729155
09/18/2018,FRC,19.8400729155
09/19/2018,FRC,19.8400729155
09/20/2018,FRC,19.8400729155
09/21/2018,FRC,19.8400729155
09/24/2018,FRC,19.8400729155
09/25/2018,FRC,5.364065256
09/26/2018,FRC,5.364065256
09/27/2018,FRC,5.364065256
09/28/2018,FRC,5.364065256
10/01/2018,FRC,5.364065256
10/02/2018,FRC,5.364065256
10/03/2018,FRC,5.364065256
10/04/2018,FRC,5.364065256
10/05/2018,FRC,5.364065256
10/08/2018,FRC,5.364065256
10/09/2018,FRC,5.364065256
10/10/2018,FRC,5.364065256
10/11/2018,FRC,5.364065256
10/12/2018,FRC,5.364065256
10/15/2018,FRC,5.364065256
10/16/2018,FRC,5.364065256
10/17/2018,FRC,5.364065256
10/18/2018,FRC,5.364065256
10/19/2018,FRC,5.364065256
10/22/2018,FRC,5.364065256
11/13/2009,CAP,28.7477607727
11/16/2009,CAP,27.6629390716
11/17/2009,CAP,27.9341449737
11/18/2009,CAP,28.0697479248
11/19/2009,CAP,29.0189666748
11/20/2009,CAP,28.7477607727
11/23/2009,CAP,27.7985420227
11/24/2009,CAP,27.5273380279
11/25/2009,CAP,25.90010643
11/26/2009,CAP,24.1372718811
11/27/2009,CAP,25.4932975769
11/30/2009,CAP,25.4932975769
12/01/2009,CAP,27.1205291748
12/02/2009,CAP,25.764503479
12/03/2009,CAP,24.5440788269
12/04/2009,CAP,24.5440788269
12/07/2009,CAP,25.2220916748
12/08/2009,CAP,24.2728729248
12/09/2009,CAP,24.4084758758
12/10/2009,CAP,23.5948600769
12/11/2009,CAP,22.7812442779
12/14/2009,CAP,23.866065979
12/15/2009,CAP,22.5100402832
12/16/2009,CAP,21.6964244842
12/17/2009,CAP,20.3403968811
12/18/2009,CAP,21.018409729
12/21/2009,CAP,22.3744373321
12/22/2009,CAP,21.15401268
12/23/2009,CAP,20.20479393
12/24/2009,CAP,21.5608215332
12/25/2009,CAP,23.05245018
12/28/2009,CAP,23.7858963012
12/29/2009,CAP,24.0546646118
10/23/2018,FRC,5.364065256
10/24/2018,FRC,5.364065256
10/25/2018,FRC,5.364065256
10/26/2018,FRC,5.364065256
10/29/2018,FRC,5.364065256
10/30/2018,FRC,5.364065256
10/31/2018,FRC,5.364065256
11/01/2018,FRC,5.364065256
11/02/2018,FRC,5.364065256
11/05/2018,FRC,5.364065256
11/06/2018,FRC,5.364065256
11/07/2018,FRC,5.364065256
11/08/2018,FRC,5.364065256
11/09/2018,FRC,5.364065256
11/12/2018,FRC,5.364065256
11/13/2018,FRC,5.364065256
11/14/2018,FRC,5.364065256
11/15/2018,FRC,5.364065256
11/16/2018,FRC,5.364065256
11/19/2018,FRC,5.364065256
11/20/2018,FRC,5.364065256
11/21/2018,FRC,5.364065256
11/22/2018,FRC,5.364065256
11/23/2018,FRC,5.364065256
11/26/2018,FRC,5.364065256
11/27/2018,FRC,5.364065256
11/28/2018,FRC,5.364065256
11/29/2018,FRC,5.364065256
11/30/2018,FRC,5.364065256
12/03/2018,FRC,5.364065256
12/04/2018,FRC,5.364065256
12/05/2018,FRC,5.364065256
12/06/2018,FRC,5.364065256
12/30/2009,CAP,23.9202804565
12/31/2009,CAP,24.7265815734
01/04/2010,CAP,25.1297321319
01/05/2010,CAP,26.4735698699
01/06/2010,CAP,25.8016510009
01/07/2010,CAP,25.8016510009
01/08/2010,CAP,25.1297321319
01/11/2010,CAP,24.7265815734
01/12/2010,CAP,23.1139793395
01/13/2010,CAP,23.1139793395
01/14/2010,CAP,24.1890468597
01/15/2010,CAP,23.517129898
01/18/2010,CAP,22.845211029
01/19/2010,CAP,23.1139793395
01/20/2010,CAP,24.7265815734
01/21/2010,CAP,23.3827457427
01/22/2010,CAP,23.1139793395
01/25/2010,CAP,24.0546646118
01/26/2010,CAP,25.5328845977
01/27/2010,CAP,25.5328845977
01/28/2010,CAP,24.0522117614
01/29/2010,CAP,22.4420604705
02/01/2010,CAP,22.4420604705
02/02/2010,CAP,21.9045257568
02/03/2010,CAP,21.7701435089
02/04/2010,CAP,22.3076782226
02/05/2010,CAP,21.7701435089
02/08/2010,CAP,21.5013751983
02/09/2010,CAP,21.5013751983
02/10/2010,CAP,4.4037289619
02/11/2010,CAP,4.3007178306
02/12/2010,CAP,4.5067400932
02/22/2010,CAP,4.5067400932
12/07/2018,FRC,5.364065256
12/10/2018,FRC,5.364065256
12/11/2018,FRC,5.364065256
12/12/2018,FRC,5.364065256
12/13/2018,FRC,5.364065256
12/14/2018,FRC,5.364065256
12/17/2018,FRC,5.364065256
12/18/2018,FRC,5.364065256
12/19/2018,FRC,5.364065256
12/20/2018,FRC,5.364065256
12/21/2018,FRC,5.364065256
12/24/2018,FRC,5.364065256
12/25/2018,FRC,5.364065256
12/26/2018,FRC,5.364065256
12/27/2018,FRC,5.364065256
12/28/2018,FRC,5.364065256
01/02/2019,FRC,5.364065256
01/03/2019,FRC,5.364065256
01/04/2019,FRC,5.364065256
01/07/2019,FRC,5.364065256
01/08/2019,FRC,5.364065256
01/09/2019,FRC,5.364065256
01/10/2019,FRC,5.364065256
01/11/2019,FRC,5.364065256
01/14/2019,FRC,5.364065256
01/15/2019,FRC,5.364065256
01/16/2019,FRC,5.364065256
01/17/2019,FRC,5.364065256
01/18/2019,FRC,5.364065256
01/21/2019,FRC,5.364065256
01/22/2019,FRC,5.364065256
01/23/2019,FRC,5.364065256
01/24/2019,FRC,5.364065256
