date,ticker,value
08/13/2015,VNALL,13.7358602848
03/10/2016,VNALL,13.8108561333
03/09/2016,VNALL,13.7385576185
03/04/2016,VNALL,13.7396586858
03/03/2016,VNALL,13.6754671826
03/02/2016,VNALL,13.6867613134
03/01/2016,VNALL,13.4758791975
02/29/2016,VNALL,13.4386736376
02/26/2016,VNALL,13.5707125477
02/25/2016,VNALL,13.4980645651
02/24/2016,VNALL,13.6377741592
02/23/2016,VNALL,13.471464426
02/22/2016,VNALL,13.4631275565
02/19/2016,VNALL,13.3268170332
02/18/2016,VNALL,13.3371056464
02/17/2016,VNALL,13.24474379
02/16/2016,VNALL,13.0791062809
02/15/2016,VNALL,12.8075744757
02/05/2016,VNALL,12.9544601893
02/04/2016,VNALL,12.7081500622
02/03/2016,VNALL,12.6112957568
02/02/2016,VNALL,12.4692426703
02/01/2016,VNALL,12.6260802188
01/29/2016,VNALL,12.690054745
01/28/2016,VNALL,12.6006158423
01/27/2016,VNALL,12.6617076371
01/26/2016,VNALL,12.579976045
01/25/2016,VNALL,12.7472615771
01/22/2016,VNALL,12.5111936273
01/21/2016,VNALL,12.5268901763
01/20/2016,VNALL,12.7378280253
01/19/2016,VNALL,12.8774025634
01/18/2016,VNALL,12.611775761
01/15/2016,VNALL,12.9602447228
01/14/2016,VNALL,13.2013711845
01/13/2016,VNALL,13.3498983189
01/12/2016,VNALL,13.5370585133
01/11/2016,VNALL,13.3515842814
01/08/2016,VNALL,13.4190349506
01/07/2016,VNALL,13.5490553286
01/06/2016,VNALL,13.7079750758
01/05/2016,VNALL,13.5800000888
01/04/2016,VNALL,13.7035947066
12/31/2015,VNALL,13.8210460145
12/30/2015,VNALL,13.8120766033
12/29/2015,VNALL,13.7222414483
12/28/2015,VNALL,13.5631024323
12/25/2015,VNALL,13.4682943451
12/24/2015,VNALL,13.4167994962
12/23/2015,VNALL,13.3718062015
12/22/2015,VNALL,13.4116495722
12/21/2015,VNALL,13.4584858628
12/18/2015,VNALL,13.4460361308
12/17/2015,VNALL,13.6825962477
12/16/2015,VNALL,13.5798172117
12/15/2015,VNALL,13.4875353564
12/14/2015,VNALL,13.3359312875
12/11/2015,VNALL,13.333725462
12/10/2015,VNALL,13.2638635525
12/09/2015,VNALL,13.3508044611
12/08/2015,VNALL,13.5719821479
12/07/2015,VNALL,13.2786969196
12/04/2015,VNALL,13.4801608431
12/03/2015,VNALL,13.5319601756
12/02/2015,VNALL,13.4992377701
12/01/2015,VNALL,13.401827337
11/30/2015,VNALL,13.4944781063
11/27/2015,VNALL,13.6785114464
11/26/2015,VNALL,13.8602187679
11/25/2015,VNALL,13.9625939309
11/24/2015,VNALL,13.9113645507
11/23/2015,VNALL,14.070692545
11/20/2015,VNALL,14.1786746362
11/19/2015,VNALL,14.1117162789
11/18/2015,VNALL,14.1976329136
11/17/2015,VNALL,14.244446414
11/16/2015,VNALL,14.3500584327
11/13/2015,VNALL,14.1156633551
11/12/2015,VNALL,13.8227190809
11/11/2015,VNALL,13.7192024661
11/10/2015,VNALL,13.7551425628
11/09/2015,VNALL,13.8882085053
11/06/2015,VNALL,13.9359919622
11/05/2015,VNALL,13.9855239841
11/04/2015,VNALL,13.8906749776
