date,ticker,value
11/17/2020,VNCONS,22.433478
11/18/2020,VNCONS,22.547893
11/19/2020,VNCONS,22.860241
11/20/2020,VNCONS,22.944599
11/23/2020,VNCONS,22.93939
11/24/2020,VNCONS,22.775753
11/25/2020,VNCONS,22.965278
11/26/2020,VNCONS,23.048213
11/27/2020,VNCONS,23.005573
11/30/2020,VNCONS,22.668857
12/01/2020,VNCONS,22.949993
12/03/2020,VNCONS,23.010103
12/04/2020,VNCONS,23.327536
12/07/2020,VNCONS,23.57593
12/08/2020,VNCONS,23.459238
12/09/2020,VNCONS,23.373581
12/10/2020,VNCONS,23.414397
12/11/2020,VNCONS,23.715137
12/14/2020,VNCONS,23.82219
12/15/2020,VNCONS,23.48832
12/16/2020,VNCONS,23.56214
12/17/2020,VNCONS,23.369574
12/18/2020,VNCONS,23.505724
12/21/2020,VNCONS,23.571403
12/22/2020,VNCONS,23.429643
12/23/2020,VNCONS,23.360164
12/24/2020,VNCONS,23.213822
12/25/2020,VNCONS,23.301914
12/28/2020,VNCONS,23.271936
12/29/2020,VNCONS,23.476128
12/30/2020,VNCONS,23.433976
12/31/2020,VNCONS,23.620673
01/04/2021,VNCONS,23.815993
01/05/2021,VNCONS,23.974528
01/06/2021,VNCONS,23.802916
01/07/2021,VNCONS,24.083077
01/08/2021,VNCONS,24.363405
01/11/2021,VNCONS,24.96188
01/12/2021,VNCONS,25.090785
01/13/2021,VNCONS,24.90905
01/14/2021,VNCONS,24.695931
01/15/2021,VNCONS,24.714173
01/18/2021,VNCONS,24.798729
01/19/2021,VNCONS,23.68386
01/20/2021,VNCONS,23.815786
01/21/2021,VNCONS,24.005026
01/22/2021,VNCONS,24.058985
01/25/2021,VNCONS,24.202458
01/26/2021,VNCONS,23.732839
01/27/2021,VNCONS,23.030455
01/28/2021,VNCONS,21.423388
02/01/2021,VNCONS,23.828962
02/02/2021,VNCONS,24.860963
02/03/2021,VNCONS,25.633875
02/04/2021,VNCONS,25.551388
02/05/2021,VNCONS,25.703562
02/08/2021,VNCONS,24.701564
02/09/2021,VNCONS,25.472611
02/17/2021,VNCONS,25.969755
02/19/2021,VNCONS,26.491794
02/22/2021,VNCONS,26.343797
02/23/2021,VNCONS,26.046961
02/24/2021,VNCONS,25.767312
02/25/2021,VNCONS,25.616013
03/01/2021,VNCONS,25.940167
03/02/2021,VNCONS,25.792784
03/03/2021,VNCONS,25.690983
03/04/2021,VNCONS,25.257835
03/05/2021,VNCONS,25.20332
03/08/2021,VNCONS,25.024429
03/09/2021,VNCONS,24.772601
03/11/2021,VNCONS,25.209658
03/12/2021,VNCONS,25.232529
03/15/2021,VNCONS,25.301625
03/16/2021,VNCONS,25.263156
03/17/2021,VNCONS,25.14117
03/18/2021,VNCONS,25.484714
03/19/2021,VNCONS,25.327208
03/22/2021,VNCONS,25.180261
03/23/2021,VNCONS,24.928587
03/24/2021,VNCONS,24.517215
03/25/2021,VNCONS,24.496331
03/26/2021,VNCONS,24.304396
03/29/2021,VNCONS,24.580837
03/30/2021,VNCONS,24.959855
03/31/2021,VNCONS,25.257379
04/01/2021,VNCONS,25.511621
04/02/2021,VNCONS,25.767281
04/05/2021,VNCONS,25.745348
04/07/2021,VNCONS,25.469284
04/08/2021,VNCONS,25.308362
04/09/2021,VNCONS,25.270048
04/12/2021,VNCONS,25.435075
04/13/2021,VNCONS,25.403022
04/14/2021,VNCONS,25.686952
04/16/2021,VNCONS,25.156265
04/19/2021,VNCONS,25.516417
04/20/2021,VNCONS,25.771861
04/22/2021,VNCONS,24.84074
04/26/2021,VNCONS,24.480962
04/27/2021,VNCONS,24.599768
04/28/2021,VNCONS,22.824813
04/29/2021,VNCONS,22.664427
05/04/2021,VNCONS,21.838298
05/05/2021,VNCONS,21.903343
05/06/2021,VNCONS,21.513646
05/07/2021,VNCONS,20.977124
05/10/2021,VNCONS,21.827668
05/11/2021,VNCONS,21.751243
05/12/2021,VNCONS,22.034226
05/13/2021,VNCONS,21.882842
05/14/2021,VNCONS,22.035422
05/17/2021,VNCONS,21.560019
05/18/2021,VNCONS,21.579952
05/19/2021,VNCONS,21.762418
05/20/2021,VNCONS,22.043076
05/21/2021,VNCONS,22.068
05/24/2021,VNCONS,22.431769
05/25/2021,VNCONS,22.579001
05/26/2021,VNCONS,22.800383
05/27/2021,VNCONS,22.499029
05/28/2021,VNCONS,22.690117
05/31/2021,VNCONS,22.328242
06/01/2021,VNCONS,22.029231
06/02/2021,VNCONS,21.923219
06/03/2021,VNCONS,22.12663
06/04/2021,VNCONS,22.20013
06/07/2021,VNCONS,22.070005
06/08/2021,VNCONS,22.109191
06/09/2021,VNCONS,22.083652
06/11/2021,VNCONS,22.701846
06/14/2021,VNCONS,22.867133
06/15/2021,VNCONS,22.962041
06/16/2021,VNCONS,22.808948
06/17/2021,VNCONS,22.673078
06/18/2021,VNCONS,23.12547
06/21/2021,VNCONS,23.067641
06/22/2021,VNCONS,22.94998
06/23/2021,VNCONS,22.856005
06/24/2021,VNCONS,22.737705
06/25/2021,VNCONS,22.823817
06/28/2021,VNCONS,22.920886
06/29/2021,VNCONS,23.029863
06/30/2021,VNCONS,23.103104
07/01/2021,VNCONS,23.228801
07/02/2021,VNCONS,23.172388
07/05/2021,VNCONS,22.808572
07/06/2021,VNCONS,22.274901
07/07/2021,VNCONS,22.86731
07/08/2021,VNCONS,22.918546
07/09/2021,VNCONS,22.457077
07/12/2021,VNCONS,22.368897
07/13/2021,VNCONS,21.920405
07/14/2021,VNCONS,22.105209
07/15/2021,VNCONS,22.141845
07/16/2021,VNCONS,22.445536
07/19/2021,VNCONS,22.087654
07/20/2021,VNCONS,22.591651
07/21/2021,VNCONS,22.375456
07/22/2021,VNCONS,22.623176
07/23/2021,VNCONS,22.375946
07/26/2021,VNCONS,22.651082
07/27/2021,VNCONS,22.780699
07/28/2021,VNCONS,22.662278
07/29/2021,VNCONS,22.887736
07/30/2021,VNCONS,22.779998
08/02/2021,VNCONS,22.729955
08/03/2021,VNCONS,22.846366
08/04/2021,VNCONS,22.864643
08/05/2021,VNCONS,22.775098
08/06/2021,VNCONS,22.798413
08/09/2021,VNCONS,23.223759
08/10/2021,VNCONS,23.251807
08/11/2021,VNCONS,23.384292
08/12/2021,VNCONS,23.197366
