date,ticker,value
10/01/2020,VNDIAMOND,0.0
10/02/2020,VNDIAMOND,0.0
10/05/2020,VNDIAMOND,0.0
10/06/2020,VNDIAMOND,0.0
10/07/2020,VNDIAMOND,0.0
10/08/2020,VNDIAMOND,0.0
10/09/2020,VNDIAMOND,0.0
10/12/2020,VNDIAMOND,0.0
10/13/2020,VNDIAMOND,0.0
10/14/2020,VNDIAMOND,0.0
10/15/2020,VNDIAMOND,0.0
10/16/2020,VNDIAMOND,0.0
10/19/2020,VNDIAMOND,0.0
10/20/2020,VNDIAMOND,0.0
10/21/2020,VNDIAMOND,0.0
10/22/2020,VNDIAMOND,0.0
10/26/2020,VNDIAMOND,0.0
10/27/2020,VNDIAMOND,0.0
10/28/2020,VNDIAMOND,0.0
10/30/2020,VNDIAMOND,0.0
11/02/2020,VNDIAMOND,0.0
11/03/2020,VNDIAMOND,0.0
11/04/2020,VNDIAMOND,0.0
11/05/2020,VNDIAMOND,0.0
11/06/2020,VNDIAMOND,0.0
11/09/2020,VNDIAMOND,0.0
11/10/2020,VNDIAMOND,0.0
11/12/2020,VNDIAMOND,0.0
11/13/2020,VNDIAMOND,0.0
11/16/2020,VNDIAMOND,0.0
11/17/2020,VNDIAMOND,8.739422
11/18/2020,VNDIAMOND,8.751175
11/19/2020,VNDIAMOND,8.829032
11/20/2020,VNDIAMOND,8.823107
11/23/2020,VNDIAMOND,8.866151
11/24/2020,VNDIAMOND,8.861909
11/25/2020,VNDIAMOND,8.914594
11/26/2020,VNDIAMOND,9.024018
11/27/2020,VNDIAMOND,9.10689
11/30/2020,VNDIAMOND,9.127755
12/01/2020,VNDIAMOND,9.251627
12/03/2020,VNDIAMOND,9.285192
12/04/2020,VNDIAMOND,9.303423
12/07/2020,VNDIAMOND,9.350799
12/08/2020,VNDIAMOND,9.380858
12/09/2020,VNDIAMOND,9.471656
12/10/2020,VNDIAMOND,9.339083
12/11/2020,VNDIAMOND,9.480583
12/14/2020,VNDIAMOND,9.615135
12/15/2020,VNDIAMOND,9.528584
12/16/2020,VNDIAMOND,9.776532
12/17/2020,VNDIAMOND,9.684396
12/18/2020,VNDIAMOND,9.967033
12/21/2020,VNDIAMOND,10.134525
12/22/2020,VNDIAMOND,10.191853
12/23/2020,VNDIAMOND,10.03564
12/24/2020,VNDIAMOND,9.879967
12/25/2020,VNDIAMOND,10.140287
12/28/2020,VNDIAMOND,10.100509
12/29/2020,VNDIAMOND,10.083444
12/30/2020,VNDIAMOND,10.112258
12/31/2020,VNDIAMOND,10.298348
01/04/2021,VNDIAMOND,10.633289
01/05/2021,VNDIAMOND,10.743909
01/06/2021,VNDIAMOND,10.94241
01/07/2021,VNDIAMOND,11.16547
01/08/2021,VNDIAMOND,11.318175
01/11/2021,VNDIAMOND,11.342889
01/12/2021,VNDIAMOND,11.34516
01/13/2021,VNDIAMOND,11.405508
01/14/2021,VNDIAMOND,11.553432
01/15/2021,VNDIAMOND,11.718309
01/18/2021,VNDIAMOND,11.541576
01/19/2021,VNDIAMOND,10.826822
01/20/2021,VNDIAMOND,10.836221
01/21/2021,VNDIAMOND,11.278012
