date,ticker,value
11/17/2020,VNENE,34.775445
11/18/2020,VNENE,34.869661
11/19/2020,VNENE,36.343453
11/20/2020,VNENE,36.278982
11/23/2020,VNENE,36.301422
11/24/2020,VNENE,36.062996
11/25/2020,VNENE,36.228696
11/26/2020,VNENE,36.803138
11/27/2020,VNENE,36.716867
11/30/2020,VNENE,36.296631
12/01/2020,VNENE,36.224605
12/03/2020,VNENE,36.293194
12/04/2020,VNENE,36.487619
12/07/2020,VNENE,36.798755
12/08/2020,VNENE,36.414964
12/09/2020,VNENE,37.47807
12/10/2020,VNENE,36.932223
12/11/2020,VNENE,37.890916
12/14/2020,VNENE,38.899792
12/15/2020,VNENE,38.475463
12/16/2020,VNENE,38.467757
12/17/2020,VNENE,37.603667
12/18/2020,VNENE,38.524436
12/21/2020,VNENE,38.711988
12/22/2020,VNENE,38.215784
12/23/2020,VNENE,38.117705
12/24/2020,VNENE,37.770782
12/25/2020,VNENE,38.056106
12/28/2020,VNENE,39.418578
12/29/2020,VNENE,39.439008
12/30/2020,VNENE,39.579675
12/31/2020,VNENE,39.489776
01/04/2021,VNENE,40.006718
01/05/2021,VNENE,40.132239
01/06/2021,VNENE,40.282051
01/07/2021,VNENE,40.640141
01/08/2021,VNENE,41.361059
01/11/2021,VNENE,42.336547
01/12/2021,VNENE,42.414233
01/13/2021,VNENE,42.112677
01/14/2021,VNENE,41.704803
01/15/2021,VNENE,42.071493
01/18/2021,VNENE,42.385429
01/19/2021,VNENE,40.045724
01/20/2021,VNENE,40.29014
01/21/2021,VNENE,41.627816
01/22/2021,VNENE,41.255087
01/25/2021,VNENE,40.788066
01/26/2021,VNENE,39.544562
01/27/2021,VNENE,37.763471
01/28/2021,VNENE,35.158948
02/01/2021,VNENE,35.764097
02/02/2021,VNENE,37.271338
02/03/2021,VNENE,38.175409
02/04/2021,VNENE,39.792565
02/05/2021,VNENE,40.461471
02/08/2021,VNENE,40.296749
02/09/2021,VNENE,41.17516
02/17/2021,VNENE,43.376597
02/19/2021,VNENE,43.720092
02/22/2021,VNENE,44.482695
02/23/2021,VNENE,44.356207
02/24/2021,VNENE,44.385194
02/25/2021,VNENE,45.206483
03/01/2021,VNENE,45.865545
03/02/2021,VNENE,45.475342
03/03/2021,VNENE,45.329977
03/04/2021,VNENE,45.107376
03/05/2021,VNENE,45.61285
03/08/2021,VNENE,46.072251
03/09/2021,VNENE,44.582238
03/11/2021,VNENE,43.872562
03/12/2021,VNENE,43.815388
03/15/2021,VNENE,44.779467
03/16/2021,VNENE,45.079447
03/17/2021,VNENE,45.2391
03/18/2021,VNENE,45.098964
03/19/2021,VNENE,44.032913
03/22/2021,VNENE,43.882807
03/23/2021,VNENE,44.521708
03/24/2021,VNENE,44.291071
03/25/2021,VNENE,44.157767
03/26/2021,VNENE,43.914786
03/29/2021,VNENE,43.873707
03/30/2021,VNENE,43.949539
03/31/2021,VNENE,43.681595
04/01/2021,VNENE,44.659146
04/02/2021,VNENE,44.30193
04/05/2021,VNENE,43.88452
04/07/2021,VNENE,43.851972
04/08/2021,VNENE,43.886928
04/09/2021,VNENE,43.881459
04/12/2021,VNENE,43.794707
04/13/2021,VNENE,43.019251
04/14/2021,VNENE,43.383095
04/16/2021,VNENE,41.310683
04/19/2021,VNENE,40.030791
04/20/2021,VNENE,40.201775
04/22/2021,VNENE,38.566448
04/26/2021,VNENE,37.619326
04/27/2021,VNENE,36.759368
04/28/2021,VNENE,37.700485
04/29/2021,VNENE,37.911954
05/04/2021,VNENE,37.370904
05/05/2021,VNENE,37.989934
05/06/2021,VNENE,17.524525
05/07/2021,VNENE,17.401486
05/10/2021,VNENE,18.215978
05/11/2021,VNENE,18.176002
05/12/2021,VNENE,18.331668
05/13/2021,VNENE,18.474548
05/14/2021,VNENE,18.627848
05/17/2021,VNENE,18.362846
05/18/2021,VNENE,18.456155
05/19/2021,VNENE,18.41896
05/20/2021,VNENE,18.411293
05/21/2021,VNENE,19.291712
05/24/2021,VNENE,19.058958
05/25/2021,VNENE,19.093488
05/26/2021,VNENE,18.855362
05/27/2021,VNENE,18.402191
05/28/2021,VNENE,18.783972
05/31/2021,VNENE,18.838905
06/01/2021,VNENE,18.964611
06/02/2021,VNENE,19.138975
06/03/2021,VNENE,19.222673
06/04/2021,VNENE,19.961339
06/07/2021,VNENE,19.969049
06/08/2021,VNENE,19.170219
06/09/2021,VNENE,18.966527
06/11/2021,VNENE,18.914212
06/14/2021,VNENE,19.300235
06/15/2021,VNENE,19.201523
06/16/2021,VNENE,19.567739
06/17/2021,VNENE,19.839762
06/18/2021,VNENE,19.716364
06/21/2021,VNENE,20.326364
06/22/2021,VNENE,20.389708
06/23/2021,VNENE,19.801052
06/24/2021,VNENE,19.575653
06/25/2021,VNENE,19.734343
06/28/2021,VNENE,19.931056
06/29/2021,VNENE,19.491703
06/30/2021,VNENE,19.158937
07/01/2021,VNENE,19.364514
07/02/2021,VNENE,19.347774
07/05/2021,VNENE,18.986239
07/06/2021,VNENE,17.967493
07/07/2021,VNENE,18.349191
