date,ticker,value
11/17/2020,VNFIN,11.609235
11/18/2020,VNFIN,11.623495
11/19/2020,VNFIN,11.791148
11/20/2020,VNFIN,11.927554
11/23/2020,VNFIN,11.887286
11/24/2020,VNFIN,11.915983
11/25/2020,VNFIN,12.035048
11/26/2020,VNFIN,12.188571
11/27/2020,VNFIN,12.259564
11/30/2020,VNFIN,12.182775
12/01/2020,VNFIN,12.252084
12/03/2020,VNFIN,12.351021
12/04/2020,VNFIN,12.253807
12/07/2020,VNFIN,12.453234
12/08/2020,VNFIN,12.486068
12/09/2020,VNFIN,12.762805
12/10/2020,VNFIN,12.709537
12/11/2020,VNFIN,12.892151
12/14/2020,VNFIN,13.166291
12/15/2020,VNFIN,12.998062
12/16/2020,VNFIN,13.335969
12/17/2020,VNFIN,13.08049
12/18/2020,VNFIN,13.47803
12/21/2020,VNFIN,13.674749
12/22/2020,VNFIN,13.633509
12/23/2020,VNFIN,13.471417
12/24/2020,VNFIN,13.292585
12/25/2020,VNFIN,13.583883
12/28/2020,VNFIN,13.63437
12/29/2020,VNFIN,13.696848
12/30/2020,VNFIN,13.656902
12/31/2020,VNFIN,13.774602
01/04/2021,VNFIN,14.094326
01/05/2021,VNFIN,14.155418
01/06/2021,VNFIN,14.637235
01/07/2021,VNFIN,14.905226
01/08/2021,VNFIN,14.91982
01/11/2021,VNFIN,14.844375
01/12/2021,VNFIN,14.890676
01/13/2021,VNFIN,14.865488
01/14/2021,VNFIN,14.989322
01/15/2021,VNFIN,15.136083
01/18/2021,VNFIN,14.984333
01/19/2021,VNFIN,14.110798
01/20/2021,VNFIN,14.074354
01/21/2021,VNFIN,14.356335
01/22/2021,VNFIN,14.298281
01/25/2021,VNFIN,14.064445
01/26/2021,VNFIN,13.594999
01/27/2021,VNFIN,12.994525
01/28/2021,VNFIN,11.987336
02/01/2021,VNFIN,12.25778
02/02/2021,VNFIN,12.730157
02/03/2021,VNFIN,13.217806
02/04/2021,VNFIN,13.228813
02/05/2021,VNFIN,13.488566
02/08/2021,VNFIN,12.904542
02/09/2021,VNFIN,13.335856
02/17/2021,VNFIN,13.872289
02/19/2021,VNFIN,14.056062
02/22/2021,VNFIN,14.007536
02/23/2021,VNFIN,14.061242
02/24/2021,VNFIN,13.855485
02/25/2021,VNFIN,13.854197
03/01/2021,VNFIN,14.169916
03/02/2021,VNFIN,14.202933
03/03/2021,VNFIN,14.19743
03/04/2021,VNFIN,13.934924
03/05/2021,VNFIN,13.881419
03/08/2021,VNFIN,13.820904
03/09/2021,VNFIN,13.753219
03/11/2021,VNFIN,14.121896
03/12/2021,VNFIN,14.105317
03/15/2021,VNFIN,14.137997
03/16/2021,VNFIN,14.051684
03/17/2021,VNFIN,14.25176
03/18/2021,VNFIN,14.601595
03/19/2021,VNFIN,14.454058
03/22/2021,VNFIN,14.516518
03/23/2021,VNFIN,14.295755
03/24/2021,VNFIN,13.932855
03/25/2021,VNFIN,13.95416
03/26/2021,VNFIN,13.926774
03/29/2021,VNFIN,14.103383
03/30/2021,VNFIN,14.208446
03/31/2021,VNFIN,14.267412
04/01/2021,VNFIN,14.595413
04/02/2021,VNFIN,14.767708
04/05/2021,VNFIN,15.083881
04/07/2021,VNFIN,15.233684
04/08/2021,VNFIN,15.066266
04/09/2021,VNFIN,14.944354
04/12/2021,VNFIN,15.186097
04/13/2021,VNFIN,14.961283
04/14/2021,VNFIN,15.123215
04/16/2021,VNFIN,14.66758
04/19/2021,VNFIN,14.939725
04/20/2021,VNFIN,15.071947
04/22/2021,VNFIN,14.486581
04/26/2021,VNFIN,14.168757
04/27/2021,VNFIN,13.603671
04/28/2021,VNFIN,13.755951
04/29/2021,VNFIN,13.427421
05/04/2021,VNFIN,12.962053
05/05/2021,VNFIN,13.288858
05/06/2021,VNFIN,13.215118
05/07/2021,VNFIN,13.135003
05/10/2021,VNFIN,13.411208
05/11/2021,VNFIN,13.370963
05/12/2021,VNFIN,13.57278
05/13/2021,VNFIN,13.597111
05/14/2021,VNFIN,13.704091
05/17/2021,VNFIN,13.572838
05/18/2021,VNFIN,13.533825
05/19/2021,VNFIN,13.721406
05/20/2021,VNFIN,14.004183
05/21/2021,VNFIN,14.070721
05/24/2021,VNFIN,14.245636
05/25/2021,VNFIN,14.48132
05/26/2021,VNFIN,14.669017
05/27/2021,VNFIN,14.42665
05/28/2021,VNFIN,14.779082
05/31/2021,VNFIN,15.023673
06/01/2021,VNFIN,15.121706
06/02/2021,VNFIN,15.173046
06/03/2021,VNFIN,15.568135
06/04/2021,VNFIN,15.582125
06/07/2021,VNFIN,15.156783
06/08/2021,VNFIN,14.50698
06/09/2021,VNFIN,14.826103
06/11/2021,VNFIN,15.095059
06/14/2021,VNFIN,15.084353
06/15/2021,VNFIN,14.990671
06/16/2021,VNFIN,14.85597
06/17/2021,VNFIN,14.900361
06/18/2021,VNFIN,15.181718
06/21/2021,VNFIN,14.984172
06/22/2021,VNFIN,15.141959
06/23/2021,VNFIN,15.329256
06/24/2021,VNFIN,15.3454
06/25/2021,VNFIN,15.535701
06/28/2021,VNFIN,15.767953
06/29/2021,VNFIN,15.797257
06/30/2021,VNFIN,15.817539
07/01/2021,VNFIN,15.974187
07/02/2021,VNFIN,16.05563
07/05/2021,VNFIN,16.132449
07/06/2021,VNFIN,15.376931
07/07/2021,VNFIN,15.749112
07/08/2021,VNFIN,15.578586
07/09/2021,VNFIN,15.348813
07/12/2021,VNFIN,14.619751
07/13/2021,VNFIN,14.522617
07/14/2021,VNFIN,14.127611
07/15/2021,VNFIN,14.423483
07/16/2021,VNFIN,14.37638
07/19/2021,VNFIN,13.491182
07/20/2021,VNFIN,13.907527
07/21/2021,VNFIN,13.28541
07/22/2021,VNFIN,13.472455
07/23/2021,VNFIN,13.117408
07/26/2021,VNFIN,12.981031
07/27/2021,VNFIN,13.013009
07/28/2021,VNFIN,13.099477
07/29/2021,VNFIN,13.332944
07/30/2021,VNFIN,13.472293
08/02/2021,VNFIN,12.789502
08/03/2021,VNFIN,12.984465
08/04/2021,VNFIN,13.021114
08/05/2021,VNFIN,13.136554
08/06/2021,VNFIN,12.987133
08/09/2021,VNFIN,13.125219
08/10/2021,VNFIN,13.127113
08/11/2021,VNFIN,13.150336
08/12/2021,VNFIN,13.088035
08/13/2021,VNFIN,13.117418
08/16/2021,VNFIN,13.426954
08/17/2021,VNFIN,13.394852
08/18/2021,VNFIN,13.33131
08/19/2021,VNFIN,13.385847
08/20/2021,VNFIN,12.88006
08/23/2021,VNFIN,12.508924
08/24/2021,VNFIN,12.501612
08/25/2021,VNFIN,12.55379
08/26/2021,VNFIN,12.370925
08/27/2021,VNFIN,12.398714
08/30/2021,VNFIN,12.645943
08/31/2021,VNFIN,12.552178
09/01/2021,VNFIN,12.54366
09/06/2021,VNFIN,12.609597
09/07/2021,VNFIN,12.783519
09/08/2021,VNFIN,12.681987
09/09/2021,VNFIN,12.752019
09/10/2021,VNFIN,12.748319
09/13/2021,VNFIN,12.620903
09/14/2021,VNFIN,12.490895
09/15/2021,VNFIN,12.456117
09/16/2021,VNFIN,12.580882
09/17/2021,VNFIN,12.701599
09/20/2021,VNFIN,12.896942
09/21/2021,VNFIN,12.785174
09/22/2021,VNFIN,12.825695
09/23/2021,VNFIN,12.811364
09/24/2021,VNFIN,12.877225
09/27/2021,VNFIN,12.629274
09/28/2021,VNFIN,12.731688
09/29/2021,VNFIN,12.617051
09/30/2021,VNFIN,12.570341
10/01/2021,VNFIN,12.351683
10/04/2021,VNFIN,12.167504
10/05/2021,VNFIN,12.363409
10/06/2021,VNFIN,12.357186
10/07/2021,VNFIN,12.445581
10/08/2021,VNFIN,12.502857
10/11/2021,VNFIN,12.857416
10/12/2021,VNFIN,12.83275
10/13/2021,VNFIN,12.777044
10/14/2021,VNFIN,12.765091
10/15/2021,VNFIN,12.792181
10/18/2021,VNFIN,12.784243
10/19/2021,VNFIN,12.838513
10/20/2021,VNFIN,12.743342
10/21/2021,VNFIN,12.476478
10/22/2021,VNFIN,12.42978
10/25/2021,VNFIN,12.301471
10/26/2021,VNFIN,12.271406
10/27/2021,VNFIN,12.51769
10/28/2021,VNFIN,12.607073
10/29/2021,VNFIN,12.669508
11/01/2021,VNFIN,12.593015
11/02/2021,VNFIN,12.699482
11/03/2021,VNFIN,12.970819
11/04/2021,VNFIN,12.953537
11/05/2021,VNFIN,12.892845
11/08/2021,VNFIN,12.931459
11/09/2021,VNFIN,12.88025
11/10/2021,VNFIN,12.86411
11/11/2021,VNFIN,12.769132
11/12/2021,VNFIN,12.91652
11/15/2021,VNFIN,12.895347
11/16/2021,VNFIN,12.853828
11/17/2021,VNFIN,12.906419
11/18/2021,VNFIN,12.869078
11/19/2021,VNFIN,12.983058
11/22/2021,VNFIN,13.304922
11/23/2021,VNFIN,13.297351
11/24/2021,VNFIN,13.900261
11/25/2021,VNFIN,13.947601
11/26/2021,VNFIN,13.792645
11/29/2021,VNFIN,13.528195
11/30/2021,VNFIN,13.273333
12/01/2021,VNFIN,13.402329
12/02/2021,VNFIN,13.294412
12/03/2021,VNFIN,12.899564
12/06/2021,VNFIN,12.600271
12/07/2021,VNFIN,12.894548
12/08/2021,VNFIN,13.006366
12/09/2021,VNFIN,13.111808
12/10/2021,VNFIN,13.146162
12/13/2021,VNFIN,13.134807
12/14/2021,VNFIN,13.050647
12/15/2021,VNFIN,13.053919
12/16/2021,VNFIN,12.965003
