date,ticker,value
10/01/2020,VNFINLEAD,0.0
10/02/2020,VNFINLEAD,0.0
10/05/2020,VNFINLEAD,0.0
10/06/2020,VNFINLEAD,0.0
10/07/2020,VNFINLEAD,0.0
10/08/2020,VNFINLEAD,0.0
10/09/2020,VNFINLEAD,0.0
10/12/2020,VNFINLEAD,0.0
10/13/2020,VNFINLEAD,0.0
10/14/2020,VNFINLEAD,0.0
10/15/2020,VNFINLEAD,0.0
10/16/2020,VNFINLEAD,0.0
10/19/2020,VNFINLEAD,0.0
10/20/2020,VNFINLEAD,0.0
10/21/2020,VNFINLEAD,0.0
10/22/2020,VNFINLEAD,0.0
10/26/2020,VNFINLEAD,0.0
10/27/2020,VNFINLEAD,0.0
10/28/2020,VNFINLEAD,0.0
10/30/2020,VNFINLEAD,0.0
11/02/2020,VNFINLEAD,0.0
11/03/2020,VNFINLEAD,0.0
11/04/2020,VNFINLEAD,0.0
11/05/2020,VNFINLEAD,0.0
11/06/2020,VNFINLEAD,0.0
11/09/2020,VNFINLEAD,0.0
11/10/2020,VNFINLEAD,0.0
11/12/2020,VNFINLEAD,0.0
11/13/2020,VNFINLEAD,0.0
11/16/2020,VNFINLEAD,0.0
11/17/2020,VNFINLEAD,11.948316
11/18/2020,VNFINLEAD,11.955681
11/19/2020,VNFINLEAD,12.142163
11/20/2020,VNFINLEAD,12.290274
11/23/2020,VNFINLEAD,12.247209
11/24/2020,VNFINLEAD,12.267774
11/25/2020,VNFINLEAD,12.398195
11/26/2020,VNFINLEAD,12.566351
11/27/2020,VNFINLEAD,12.62897
11/30/2020,VNFINLEAD,12.527478
12/01/2020,VNFINLEAD,12.597799
12/03/2020,VNFINLEAD,12.705736
12/04/2020,VNFINLEAD,12.599194
12/07/2020,VNFINLEAD,12.79836
12/08/2020,VNFINLEAD,12.824545
12/09/2020,VNFINLEAD,13.111335
12/10/2020,VNFINLEAD,13.064571
12/11/2020,VNFINLEAD,13.255441
12/14/2020,VNFINLEAD,13.53422
12/15/2020,VNFINLEAD,13.354389
12/16/2020,VNFINLEAD,13.710047
12/17/2020,VNFINLEAD,13.428704
12/18/2020,VNFINLEAD,13.823124
12/21/2020,VNFINLEAD,13.992287
12/22/2020,VNFINLEAD,13.921264
12/23/2020,VNFINLEAD,13.769362
12/24/2020,VNFINLEAD,13.583916
12/25/2020,VNFINLEAD,13.865138
12/28/2020,VNFINLEAD,13.912729
12/29/2020,VNFINLEAD,13.981198
12/30/2020,VNFINLEAD,13.938054
12/31/2020,VNFINLEAD,14.047756
01/04/2021,VNFINLEAD,14.362303
01/05/2021,VNFINLEAD,14.420075
01/06/2021,VNFINLEAD,14.936376
01/07/2021,VNFINLEAD,15.213703
01/08/2021,VNFINLEAD,15.222007
01/11/2021,VNFINLEAD,15.15296
01/12/2021,VNFINLEAD,15.196374
01/13/2021,VNFINLEAD,15.180784
01/14/2021,VNFINLEAD,15.297935
01/15/2021,VNFINLEAD,15.427919
01/18/2021,VNFINLEAD,15.257871
01/19/2021,VNFINLEAD,14.352202
01/20/2021,VNFINLEAD,14.317484
01/21/2021,VNFINLEAD,14.616476
01/22/2021,VNFINLEAD,14.579615
01/25/2021,VNFINLEAD,14.338923
01/26/2021,VNFINLEAD,13.867395
01/27/2021,VNFINLEAD,13.267557
01/28/2021,VNFINLEAD,12.228846
02/01/2021,VNFINLEAD,12.244755
02/02/2021,VNFINLEAD,12.725638
02/03/2021,VNFINLEAD,13.21705
02/04/2021,VNFINLEAD,13.22098
02/05/2021,VNFINLEAD,13.480019
02/08/2021,VNFINLEAD,12.88909
02/09/2021,VNFINLEAD,13.324929
02/17/2021,VNFINLEAD,13.86211
02/19/2021,VNFINLEAD,14.050815
02/22/2021,VNFINLEAD,14.000897
02/23/2021,VNFINLEAD,14.056517
02/24/2021,VNFINLEAD,13.849213
02/25/2021,VNFINLEAD,13.848758
03/01/2021,VNFINLEAD,14.16324
03/02/2021,VNFINLEAD,14.197967
03/03/2021,VNFINLEAD,14.191757
03/04/2021,VNFINLEAD,13.928907
03/05/2021,VNFINLEAD,13.872327
03/08/2021,VNFINLEAD,13.807299
03/09/2021,VNFINLEAD,13.737433
03/11/2021,VNFINLEAD,14.103517
03/12/2021,VNFINLEAD,14.088203
03/15/2021,VNFINLEAD,14.119099
03/16/2021,VNFINLEAD,14.033398
03/17/2021,VNFINLEAD,14.236225
03/18/2021,VNFINLEAD,14.588929
03/19/2021,VNFINLEAD,14.438465
03/22/2021,VNFINLEAD,14.503594
03/23/2021,VNFINLEAD,14.283626
03/24/2021,VNFINLEAD,13.923487
03/25/2021,VNFINLEAD,13.948148
03/26/2021,VNFINLEAD,13.922446
03/29/2021,VNFINLEAD,14.095064
03/30/2021,VNFINLEAD,14.199428
03/31/2021,VNFINLEAD,14.259866
04/01/2021,VNFINLEAD,14.586484
04/02/2021,VNFINLEAD,14.760303
04/05/2021,VNFINLEAD,15.080745
04/07/2021,VNFINLEAD,15.230696
04/08/2021,VNFINLEAD,15.061268
04/09/2021,VNFINLEAD,14.938048
04/12/2021,VNFINLEAD,15.176708
04/13/2021,VNFINLEAD,14.953021
04/14/2021,VNFINLEAD,15.116321
04/16/2021,VNFINLEAD,14.662808
04/19/2021,VNFINLEAD,14.934197
04/20/2021,VNFINLEAD,15.073737
04/22/2021,VNFINLEAD,14.487082
04/26/2021,VNFINLEAD,14.232802
04/27/2021,VNFINLEAD,13.674947
04/28/2021,VNFINLEAD,13.828516
04/29/2021,VNFINLEAD,13.476203
05/04/2021,VNFINLEAD,13.003994
05/05/2021,VNFINLEAD,13.330558
05/06/2021,VNFINLEAD,13.257371
05/07/2021,VNFINLEAD,13.178752
05/10/2021,VNFINLEAD,13.456496
05/11/2021,VNFINLEAD,13.414185
05/12/2021,VNFINLEAD,13.617604
05/13/2021,VNFINLEAD,13.639181
05/14/2021,VNFINLEAD,13.747633
05/17/2021,VNFINLEAD,13.615669
05/18/2021,VNFINLEAD,13.574438
05/19/2021,VNFINLEAD,13.761759
05/20/2021,VNFINLEAD,14.041773
05/21/2021,VNFINLEAD,14.108503
05/24/2021,VNFINLEAD,14.285954
05/25/2021,VNFINLEAD,14.519274
05/26/2021,VNFINLEAD,14.704854
05/27/2021,VNFINLEAD,14.458455
05/28/2021,VNFINLEAD,14.810997
05/31/2021,VNFINLEAD,15.049428
06/01/2021,VNFINLEAD,15.147098
06/02/2021,VNFINLEAD,15.196841
06/03/2021,VNFINLEAD,15.593196
06/04/2021,VNFINLEAD,15.60576
06/07/2021,VNFINLEAD,15.17947
06/08/2021,VNFINLEAD,14.530361
06/09/2021,VNFINLEAD,14.847581
06/11/2021,VNFINLEAD,15.116108
06/14/2021,VNFINLEAD,15.094979
06/15/2021,VNFINLEAD,14.995289
06/16/2021,VNFINLEAD,14.854122
06/17/2021,VNFINLEAD,14.898225
06/18/2021,VNFINLEAD,15.181554
06/21/2021,VNFINLEAD,14.981647
06/22/2021,VNFINLEAD,15.145865
06/23/2021,VNFINLEAD,15.334564
06/24/2021,VNFINLEAD,15.350066
06/25/2021,VNFINLEAD,15.536759
06/28/2021,VNFINLEAD,15.770192
06/29/2021,VNFINLEAD,15.799918
06/30/2021,VNFINLEAD,15.82419
07/01/2021,VNFINLEAD,15.973428
07/02/2021,VNFINLEAD,16.047687
07/05/2021,VNFINLEAD,16.123094
07/06/2021,VNFINLEAD,15.36933
07/07/2021,VNFINLEAD,15.747067
07/08/2021,VNFINLEAD,15.575264
07/09/2021,VNFINLEAD,15.349451
07/12/2021,VNFINLEAD,14.622979
