date,ticker,value
10/01/2020,VNFINSELECT,0.0
10/02/2020,VNFINSELECT,0.0
10/05/2020,VNFINSELECT,0.0
10/06/2020,VNFINSELECT,0.0
10/07/2020,VNFINSELECT,0.0
10/08/2020,VNFINSELECT,0.0
10/09/2020,VNFINSELECT,0.0
10/12/2020,VNFINSELECT,0.0
10/13/2020,VNFINSELECT,0.0
10/14/2020,VNFINSELECT,0.0
10/15/2020,VNFINSELECT,0.0
10/16/2020,VNFINSELECT,0.0
10/19/2020,VNFINSELECT,0.0
10/20/2020,VNFINSELECT,0.0
10/21/2020,VNFINSELECT,0.0
10/22/2020,VNFINSELECT,0.0
10/26/2020,VNFINSELECT,0.0
10/27/2020,VNFINSELECT,0.0
10/28/2020,VNFINSELECT,0.0
10/30/2020,VNFINSELECT,0.0
11/02/2020,VNFINSELECT,0.0
11/03/2020,VNFINSELECT,0.0
11/04/2020,VNFINSELECT,0.0
11/05/2020,VNFINSELECT,0.0
11/06/2020,VNFINSELECT,0.0
11/09/2020,VNFINSELECT,0.0
11/10/2020,VNFINSELECT,0.0
11/12/2020,VNFINSELECT,0.0
11/13/2020,VNFINSELECT,0.0
11/16/2020,VNFINSELECT,0.0
11/17/2020,VNFINSELECT,11.618954
11/18/2020,VNFINSELECT,11.632096
11/19/2020,VNFINSELECT,11.799701
11/20/2020,VNFINSELECT,11.937839
11/23/2020,VNFINSELECT,11.897707
11/24/2020,VNFINSELECT,11.927476
11/25/2020,VNFINSELECT,12.047379
11/26/2020,VNFINSELECT,12.201545
11/27/2020,VNFINSELECT,12.271623
11/30/2020,VNFINSELECT,12.194575
12/01/2020,VNFINSELECT,12.263327
12/03/2020,VNFINSELECT,12.361443
12/04/2020,VNFINSELECT,12.262526
12/07/2020,VNFINSELECT,12.461801
12/08/2020,VNFINSELECT,12.49348
12/09/2020,VNFINSELECT,12.76808
12/10/2020,VNFINSELECT,12.714793
12/11/2020,VNFINSELECT,12.897831
12/14/2020,VNFINSELECT,13.170771
12/15/2020,VNFINSELECT,13.00174
12/16/2020,VNFINSELECT,13.341328
