date,ticker,value
11/17/2020,VNIND,16.266325
11/18/2020,VNIND,16.392567
11/19/2020,VNIND,16.400786
11/20/2020,VNIND,16.87685
11/23/2020,VNIND,17.042971
11/24/2020,VNIND,16.983884
11/25/2020,VNIND,16.972625
11/26/2020,VNIND,17.057663
11/27/2020,VNIND,17.121805
11/30/2020,VNIND,17.080274
12/01/2020,VNIND,17.196198
12/03/2020,VNIND,17.499682
12/04/2020,VNIND,17.430952
12/07/2020,VNIND,17.423125
12/08/2020,VNIND,17.45881
12/09/2020,VNIND,17.591218
12/10/2020,VNIND,17.446452
12/11/2020,VNIND,17.667957
12/14/2020,VNIND,18.002619
12/15/2020,VNIND,18.00415
12/16/2020,VNIND,18.216826
12/17/2020,VNIND,17.992419
12/18/2020,VNIND,18.178948
12/21/2020,VNIND,18.349374
12/22/2020,VNIND,18.512261
12/23/2020,VNIND,18.609846
12/24/2020,VNIND,18.414983
12/25/2020,VNIND,18.68147
12/28/2020,VNIND,18.740813
12/29/2020,VNIND,18.933788
12/30/2020,VNIND,18.862943
12/31/2020,VNIND,18.930146
01/04/2021,VNIND,19.286074
01/05/2021,VNIND,19.502631
01/06/2021,VNIND,19.466133
01/07/2021,VNIND,19.836218
01/08/2021,VNIND,20.039818
01/11/2021,VNIND,20.471611
01/12/2021,VNIND,20.819457
01/13/2021,VNIND,20.722721
01/14/2021,VNIND,20.775996
01/15/2021,VNIND,20.902327
01/18/2021,VNIND,20.991675
01/19/2021,VNIND,20.046471
01/20/2021,VNIND,20.027647
01/21/2021,VNIND,20.624804
01/22/2021,VNIND,20.993635
01/25/2021,VNIND,21.305805
01/26/2021,VNIND,20.535221
01/27/2021,VNIND,20.209083
01/28/2021,VNIND,18.618301
02/01/2021,VNIND,17.46411
02/02/2021,VNIND,18.244311
02/03/2021,VNIND,18.623164
02/04/2021,VNIND,18.481905
02/05/2021,VNIND,18.826585
02/08/2021,VNIND,17.922685
02/09/2021,VNIND,18.366121
02/17/2021,VNIND,19.516327
02/19/2021,VNIND,19.784408
02/22/2021,VNIND,19.705286
02/23/2021,VNIND,19.851789
02/24/2021,VNIND,19.588003
02/25/2021,VNIND,19.768391
03/01/2021,VNIND,20.322222
03/02/2021,VNIND,20.41164
03/03/2021,VNIND,20.472642
03/04/2021,VNIND,20.180036
03/05/2021,VNIND,20.179931
03/08/2021,VNIND,20.235799
03/09/2021,VNIND,20.246933
03/11/2021,VNIND,20.398543
03/12/2021,VNIND,20.381943
03/15/2021,VNIND,20.445778
03/16/2021,VNIND,20.418795
03/17/2021,VNIND,20.508583
03/18/2021,VNIND,20.651065
03/19/2021,VNIND,20.595434
03/22/2021,VNIND,20.769632
03/23/2021,VNIND,20.518721
03/24/2021,VNIND,20.00942
03/25/2021,VNIND,19.93232
03/26/2021,VNIND,19.951031
03/29/2021,VNIND,20.662918
03/30/2021,VNIND,20.801871
03/31/2021,VNIND,20.679913
04/01/2021,VNIND,21.020711
04/02/2021,VNIND,21.267887
04/05/2021,VNIND,21.256244
04/07/2021,VNIND,21.607108
04/08/2021,VNIND,21.70256
04/09/2021,VNIND,21.502656
04/12/2021,VNIND,21.675086
04/13/2021,VNIND,21.091187
04/14/2021,VNIND,21.17571
04/16/2021,VNIND,20.502971
04/19/2021,VNIND,20.621977
04/20/2021,VNIND,20.587254
04/22/2021,VNIND,19.789946
04/26/2021,VNIND,17.81493
04/27/2021,VNIND,17.66119
04/28/2021,VNIND,17.728252
04/29/2021,VNIND,18.138183
05/04/2021,VNIND,17.621398
05/05/2021,VNIND,16.359766
05/06/2021,VNIND,15.954761
05/07/2021,VNIND,15.405183
05/10/2021,VNIND,15.342
05/11/2021,VNIND,15.46294
05/12/2021,VNIND,15.601578
05/13/2021,VNIND,15.459782
05/14/2021,VNIND,15.518198
05/17/2021,VNIND,15.328935
05/18/2021,VNIND,15.235949
05/19/2021,VNIND,15.070049
05/20/2021,VNIND,15.082992
05/21/2021,VNIND,15.269215
05/24/2021,VNIND,15.545861
05/25/2021,VNIND,15.515121
05/26/2021,VNIND,15.460434
05/27/2021,VNIND,15.404343
05/28/2021,VNIND,15.511951
05/31/2021,VNIND,15.42448
06/01/2021,VNIND,15.252424
06/02/2021,VNIND,15.331984
06/03/2021,VNIND,15.905356
06/04/2021,VNIND,16.004907
06/07/2021,VNIND,16.06394
06/08/2021,VNIND,15.934854
06/09/2021,VNIND,15.826334
06/11/2021,VNIND,15.933561
06/14/2021,VNIND,16.010413
06/15/2021,VNIND,16.192557
06/16/2021,VNIND,16.199203
06/17/2021,VNIND,16.364128
06/18/2021,VNIND,16.50757
06/21/2021,VNIND,16.342162
06/22/2021,VNIND,16.367056
06/23/2021,VNIND,16.214513
06/24/2021,VNIND,16.103841
06/25/2021,VNIND,16.122937
06/28/2021,VNIND,16.299741
06/29/2021,VNIND,16.348782
06/30/2021,VNIND,16.350002
