date,ticker,value
04/22/2009,VNINDEX,7.2057818651
04/24/2009,VNINDEX,6.9143373508
04/25/2009,VNINDEX,6.9143373508
04/27/2009,VNINDEX,6.9936995872
04/28/2009,VNINDEX,7.0248400528
04/29/2009,VNINDEX,7.1640985781
05/04/2009,VNINDEX,7.4923032935
05/05/2009,VNINDEX,7.8121287442
05/06/2009,VNINDEX,7.7684684778
05/07/2009,VNINDEX,8.0451060457
05/08/2009,VNINDEX,8.2841599656
05/11/2009,VNINDEX,8.4526354649
05/12/2009,VNINDEX,8.7269236515
05/13/2009,VNINDEX,8.7481712207
05/14/2009,VNINDEX,8.7273376659
05/15/2009,VNINDEX,9.0405565192
05/18/2009,VNINDEX,9.1559327936
05/19/2009,VNINDEX,9.2939168163
05/20/2009,VNINDEX,9.2986390794
05/21/2009,VNINDEX,10.0970537863
05/22/2009,VNINDEX,11.6384260621
05/25/2009,VNINDEX,11.9040271244
05/26/2009,VNINDEX,12.3489531983
05/27/2009,VNINDEX,12.8041705336
05/28/2009,VNINDEX,12.1235535033
05/29/2009,VNINDEX,11.9093947652
06/01/2009,VNINDEX,12.2824986569
06/02/2009,VNINDEX,12.5702813482
06/03/2009,VNINDEX,12.746449108
06/04/2009,VNINDEX,13.3235373973
06/05/2009,VNINDEX,13.8880042543
06/08/2009,VNINDEX,14.6458451215
06/09/2009,VNINDEX,15.0908697327
06/10/2009,VNINDEX,14.6036136358
06/11/2009,VNINDEX,15.3817119824
06/12/2009,VNINDEX,15.3768367282
06/13/2009,VNINDEX,15.3768367282
06/15/2009,VNINDEX,14.1665615959
06/16/2009,VNINDEX,13.6394225409
06/17/2009,VNINDEX,13.9084293005
06/18/2009,VNINDEX,14.1133890032
06/19/2009,VNINDEX,14.0598925467
06/22/2009,VNINDEX,13.5317620239
06/23/2009,VNINDEX,12.8176217868
06/24/2009,VNINDEX,13.6362367236
06/25/2009,VNINDEX,17.6299805319
06/26/2009,VNINDEX,18.4815236503
06/29/2009,VNINDEX,19.0302871479
06/30/2009,VNINDEX,20.3988860088
07/01/2009,VNINDEX,19.4391451918
07/02/2009,VNINDEX,18.8956977661
07/03/2009,VNINDEX,26.4531544952
07/06/2009,VNINDEX,27.6106461487
07/07/2009,VNINDEX,26.5635204624
07/08/2009,VNINDEX,26.1578461746
07/09/2009,VNINDEX,25.6350654537
07/10/2009,VNINDEX,18.5078516379
07/13/2009,VNINDEX,17.6957665368
07/14/2009,VNINDEX,17.1309325744
07/15/2009,VNINDEX,17.4619739247
07/16/2009,VNINDEX,16.6986650587
07/17/2009,VNINDEX,17.2662271493
07/20/2009,VNINDEX,16.406312248
07/21/2009,VNINDEX,16.2740392837
07/22/2009,VNINDEX,16.3458305365
07/23/2009,VNINDEX,17.0522948582
07/24/2009,VNINDEX,17.242124195
07/27/2009,VNINDEX,18.261409203
07/28/2009,VNINDEX,17.6788962195
07/29/2009,VNINDEX,14.0921004191
07/30/2009,VNINDEX,11.7209162195
07/31/2009,VNINDEX,15.9658688151
08/03/2009,VNINDEX,16.3175297178
08/04/2009,VNINDEX,16.6152913792
08/05/2009,VNINDEX,16.5961477667
08/06/2009,VNINDEX,16.6864296313
08/07/2009,VNINDEX,16.640740639
08/10/2009,VNINDEX,14.6135037035
08/11/2009,VNINDEX,17.0218626134
08/12/2009,VNINDEX,17.1045032201
08/13/2009,VNINDEX,17.011447203
08/14/2009,VNINDEX,17.1112444035
08/17/2009,VNINDEX,16.8402192924
08/18/2009,VNINDEX,16.5630330966
08/19/2009,VNINDEX,16.565161743
08/20/2009,VNINDEX,16.6738599939
08/21/2009,VNINDEX,16.808694968
08/24/2009,VNINDEX,16.9644642821
08/25/2009,VNINDEX,19.498350734
08/26/2009,VNINDEX,19.4131062171
08/27/2009,VNINDEX,19.1978629357
08/28/2009,VNINDEX,19.4769405048
08/31/2009,VNINDEX,19.8393064314
09/01/2009,VNINDEX,19.8462636618
09/03/2009,VNINDEX,19.5590555236
09/04/2009,VNINDEX,19.1343626452
09/05/2009,VNINDEX,19.1201464068
09/07/2009,VNINDEX,18.8156145675
09/08/2009,VNINDEX,19.154540261
09/09/2009,VNINDEX,18.9451051822
09/10/2009,VNINDEX,19.1065595246
09/11/2009,VNINDEX,19.3712221673
09/14/2009,VNINDEX,19.6807682953
09/15/2009,VNINDEX,19.6402106543
09/16/2009,VNINDEX,19.5850520533
09/17/2009,VNINDEX,16.8189499091
09/18/2009,VNINDEX,18.2591366938
09/21/2009,VNINDEX,18.4020020119
09/22/2009,VNINDEX,18.5657839302
09/23/2009,VNINDEX,18.3711297946
09/24/2009,VNINDEX,20.0071667209
09/25/2009,VNINDEX,20.400469421
09/28/2009,VNINDEX,20.1328226138
09/29/2009,VNINDEX,20.2025411622
09/30/2009,VNINDEX,20.2248021898
10/01/2009,VNINDEX,19.7873282755
10/02/2009,VNINDEX,19.1329831202
10/05/2009,VNINDEX,19.0236806767
10/06/2009,VNINDEX,19.0547015023
10/07/2009,VNINDEX,19.402979007
10/08/2009,VNINDEX,19.4812595958
10/09/2009,VNINDEX,19.694209631
10/12/2009,VNINDEX,20.1521786257
10/13/2009,VNINDEX,17.6065036946
10/14/2009,VNINDEX,18.094454762
10/15/2009,VNINDEX,18.0077756365
10/16/2009,VNINDEX,18.0207874348
10/19/2009,VNINDEX,17.8123474996
10/20/2009,VNINDEX,18.0709604312
10/21/2009,VNINDEX,18.3498752892
10/22/2009,VNINDEX,18.4627448289
10/23/2009,VNINDEX,18.2088436764
10/26/2009,VNINDEX,18.1293753072
10/27/2009,VNINDEX,14.6321616419
10/28/2009,VNINDEX,14.6920174455
10/29/2009,VNINDEX,13.7821161579
10/30/2009,VNINDEX,14.5676512368
11/02/2009,VNINDEX,13.9815108814
11/03/2009,VNINDEX,15.2796396388
11/04/2009,VNINDEX,13.1210543685
11/05/2009,VNINDEX,12.9147879552
11/06/2009,VNINDEX,16.2268210224
11/09/2009,VNINDEX,16.406225323
11/10/2009,VNINDEX,19.9658840111
11/11/2009,VNINDEX,20.1449030314
11/12/2009,VNINDEX,20.2045672273
11/13/2009,VNINDEX,20.3062719083
11/16/2009,VNINDEX,20.2843897417
11/17/2009,VNINDEX,20.2095688513
11/18/2009,VNINDEX,20.3453527356
11/19/2009,VNINDEX,20.2172045686
11/20/2009,VNINDEX,19.8863401889
11/23/2009,VNINDEX,19.3464927275
11/24/2009,VNINDEX,18.9023337773
11/25/2009,VNINDEX,17.8335667776
11/26/2009,VNINDEX,18.7122423475
11/27/2009,VNINDEX,19.0740934128
11/30/2009,VNINDEX,19.7611629264
12/01/2009,VNINDEX,18.3898031696
12/02/2009,VNINDEX,17.876072485
12/03/2009,VNINDEX,17.7917478159
12/04/2009,VNINDEX,18.0688885111
12/07/2009,VNINDEX,18.2257900467
12/08/2009,VNINDEX,17.7970506787
12/09/2009,VNINDEX,17.2230707478
12/10/2009,VNINDEX,18.5068468094
12/11/2009,VNINDEX,17.7344183338
12/14/2009,VNINDEX,19.2781045012
12/15/2009,VNINDEX,19.6142481171
12/16/2009,VNINDEX,19.0430063613
12/17/2009,VNINDEX,18.6898827731
12/18/2009,VNINDEX,18.9572040277
12/21/2009,VNINDEX,18.2008885601
12/22/2009,VNINDEX,18.3881939478
12/23/2009,VNINDEX,18.6165631047
12/24/2009,VNINDEX,17.1470760835
12/25/2009,VNINDEX,17.5042856615
12/28/2009,VNINDEX,17.4028537392
12/29/2009,VNINDEX,18.7745760859
12/30/2009,VNINDEX,19.1628971711
12/31/2009,VNINDEX,19.0248486083
01/04/2010,VNINDEX,18.1624537493
01/05/2010,VNINDEX,18.7892785555
01/06/2010,VNINDEX,18.7501932686
01/07/2010,VNINDEX,18.420234996
01/08/2010,VNINDEX,17.9991567716
01/11/2010,VNINDEX,17.8443429307
