date,ticker,value
05/15/2015,VNMID,11.9351699656
05/28/2015,VNMID,12.8023400355
05/29/2015,VNMID,12.7690398483
06/01/2015,VNMID,12.8103819839
06/02/2015,VNMID,12.5721961499
06/03/2015,VNMID,12.5279499823
06/04/2015,VNMID,12.5663079926
06/05/2015,VNMID,12.8443197549
06/08/2015,VNMID,12.9716249811
06/09/2015,VNMID,12.8114919389
06/10/2015,VNMID,12.7421004076
06/11/2015,VNMID,12.7486817039
06/12/2015,VNMID,12.8457709028
06/15/2015,VNMID,13.0875591763
06/16/2015,VNMID,12.9775137997
06/17/2015,VNMID,13.0147015485
06/18/2015,VNMID,12.9958239663
06/19/2015,VNMID,13.0272497918
06/22/2015,VNMID,13.0945247912
06/23/2015,VNMID,12.9811692374
06/24/2015,VNMID,12.9104708299
06/25/2015,VNMID,12.7873776906
06/26/2015,VNMID,12.6131367859
06/29/2015,VNMID,12.6953736961
06/30/2015,VNMID,12.5623033308
07/01/2015,VNMID,12.453888304
07/02/2015,VNMID,12.7435381393
07/03/2015,VNMID,12.8765074149
07/06/2015,VNMID,13.0237796882
07/07/2015,VNMID,13.1414106326
07/08/2015,VNMID,13.2430509031
07/09/2015,VNMID,13.1790774626
07/10/2015,VNMID,13.560108176
07/13/2015,VNMID,13.9776522231
07/14/2015,VNMID,13.8398761847
07/15/2015,VNMID,13.6075564166
07/16/2015,VNMID,13.3211633741
07/17/2015,VNMID,13.4026048934
07/20/2015,VNMID,13.4230478142
07/21/2015,VNMID,13.3436407828
07/22/2015,VNMID,13.4841102899
07/23/2015,VNMID,13.4287463974
07/24/2015,VNMID,13.406849359
07/27/2015,VNMID,13.4223320812
07/28/2015,VNMID,11.9977072027
07/29/2015,VNMID,11.9185238556
07/30/2015,VNMID,11.941090326
07/31/2015,VNMID,11.9367196514
08/03/2015,VNMID,11.8031693627
08/04/2015,VNMID,11.881283542
08/05/2015,VNMID,12.0570394812
08/06/2015,VNMID,11.9716066425
08/07/2015,VNMID,11.9903535421
