date,ticker,value
08/14/2018,VNX50,19.1174204641
03/14/2019,VNX50,19.3901275731
03/15/2019,VNX50,19.249157272
03/18/2019,VNX50,19.4277372964
03/19/2019,VNX50,18.5206297451
03/20/2019,VNX50,18.539005235
03/21/2019,VNX50,18.1369455511
03/22/2019,VNX50,18.2970058452
03/25/2019,VNX50,17.9317958009
03/26/2019,VNX50,18.0110403014
03/27/2019,VNX50,18.1146089669
03/28/2019,VNX50,18.2447127199
03/29/2019,VNX50,18.2007062109
04/01/2019,VNX50,18.3282739271
04/02/2019,VNX50,18.2704085613
04/03/2019,VNX50,18.2139770292
04/04/2019,VNX50,18.2667689209
04/05/2019,VNX50,18.3243658941
04/08/2019,VNX50,18.5020011458
04/09/2019,VNX50,18.2990797307
04/10/2019,VNX50,18.1804647975
04/11/2019,VNX50,18.2394757048
04/12/2019,VNX50,18.1822836189
04/16/2019,VNX50,18.0489946758
04/17/2019,VNX50,17.9585135796
04/18/2019,VNX50,17.7714039221
04/19/2019,VNX50,17.7270174834
04/22/2019,VNX50,17.7270174834
04/23/2019,VNX50,17.8046848997
04/24/2019,VNX50,18.0077541741
04/25/2019,VNX50,17.9481373577
04/26/2019,VNX50,18.0775097204
05/02/2019,VNX50,18.1922427216
05/03/2019,VNX50,18.116907995
05/06/2019,VNX50,17.7669896998
05/07/2019,VNX50,17.7640347229
05/08/2019,VNX50,17.6640112037
05/09/2019,VNX50,17.6073053434
05/10/2019,VNX50,17.6943279414
05/13/2019,VNX50,17.7807688535
05/14/2019,VNX50,17.9301476699
05/15/2019,VNX50,18.1090793509
05/16/2019,VNX50,18.1178623305
05/17/2019,VNX50,18.1434687802
05/20/2019,VNX50,18.286474838
05/21/2019,VNX50,18.2307732124
05/22/2019,VNX50,18.1697096818
05/23/2019,VNX50,18.3241148038
05/24/2019,VNX50,18.0628985514
05/27/2019,VNX50,18.1736712385
05/28/2019,VNX50,18.0813103906
05/29/2019,VNX50,18.1811647415
05/30/2019,VNX50,18.1339012433
05/31/2019,VNX50,17.9695279315
06/03/2019,VNX50,17.7617212664
06/04/2019,VNX50,17.829088052
06/05/2019,VNX50,17.8379127916
06/06/2019,VNX50,17.7540429874
06/07/2019,VNX50,17.9461708371
06/10/2019,VNX50,18.0489238644
06/11/2019,VNX50,18.0157828043
06/12/2019,VNX50,17.8489476875
06/13/2019,VNX50,17.7748343513
06/14/2019,VNX50,17.8392455221
06/17/2019,VNX50,17.7118048934
06/18/2019,VNX50,17.6723739607
06/19/2019,VNX50,17.8067255781
06/20/2019,VNX50,17.8067255781
06/21/2019,VNX50,17.9983348111
06/24/2019,VNX50,18.0994450263
06/25/2019,VNX50,18.0556229586
06/26/2019,VNX50,18.0360094187
06/27/2019,VNX50,17.6949438793
06/28/2019,VNX50,17.8090386163
07/01/2019,VNX50,18.1505870361
07/02/2019,VNX50,18.0803117658
07/03/2019,VNX50,18.049406967
07/04/2019,VNX50,18.3003059486
07/05/2019,VNX50,18.359171241
07/08/2019,VNX50,18.1610774893
07/09/2019,VNX50,17.6835502016
07/10/2019,VNX50,17.7806505144
07/11/2019,VNX50,17.8614311265
07/12/2019,VNX50,17.7996883023
07/15/2019,VNX50,17.731787811
07/16/2019,VNX50,17.9417375823
07/17/2019,VNX50,17.9608626159
07/18/2019,VNX50,17.8538006423
07/19/2019,VNX50,18.010994678
07/22/2019,VNX50,17.7435379391
07/23/2019,VNX50,17.9274277138
07/24/2019,VNX50,17.8791972247
07/25/2019,VNX50,18.0045991079
07/26/2019,VNX50,17.9342754971
07/29/2019,VNX50,17.9939486065
07/30/2019,VNX50,17.7321935287
07/31/2019,VNX50,17.3065857023
08/01/2019,VNX50,17.4617267758
08/02/2019,VNX50,17.3349893436
08/05/2019,VNX50,16.9400218403
08/06/2019,VNX50,16.7901298754
08/07/2019,VNX50,16.8171837323
08/08/2019,VNX50,16.9958097287
08/09/2019,VNX50,16.9681500513
08/12/2019,VNX50,16.9785986638
08/13/2019,VNX50,16.8349569308
08/14/2019,VNX50,16.8703341307
08/15/2019,VNX50,17.098160099
08/16/2019,VNX50,17.1057044851
08/19/2019,VNX50,17.1155039097
08/20/2019,VNX50,17.1755896385
08/21/2019,VNX50,17.3571091845
08/22/2019,VNX50,17.4285241222
08/23/2019,VNX50,17.3357337423
08/26/2019,VNX50,17.1535345362
08/27/2019,VNX50,17.0422551167
08/28/2019,VNX50,17.045805382
08/29/2019,VNX50,17.0686980245
08/30/2019,VNX50,17.1411709537
09/03/2019,VNX50,17.0574535442
09/04/2019,VNX50,17.0372994634
09/05/2019,VNX50,17.0275612695
09/06/2019,VNX50,17.0069448974
09/09/2019,VNX50,17.0305609109
09/10/2019,VNX50,16.9678560726
09/11/2019,VNX50,16.9496544254
09/12/2019,VNX50,17.0715192437
09/13/2019,VNX50,17.2839707004
09/16/2019,VNX50,17.3454718561
09/17/2019,VNX50,17.4734152112
09/18/2019,VNX50,17.4275421941
09/19/2019,VNX50,17.4840693546
09/20/2019,VNX50,17.3668781918
09/23/2019,VNX50,17.3364977823
09/24/2019,VNX50,17.3503507291
09/25/2019,VNX50,17.3322023014
09/26/2019,VNX50,17.4055013314
09/27/2019,VNX50,17.5504663699
09/30/2019,VNX50,17.5302325017
10/01/2019,VNX50,17.582508517
10/02/2019,VNX50,17.4156945591
10/03/2019,VNX50,17.4177245139
10/04/2019,VNX50,17.3233607086
10/07/2019,VNX50,17.2206809637
10/08/2019,VNX50,17.3094390293
10/09/2019,VNX50,17.301734721
10/10/2019,VNX50,17.2920195705
10/11/2019,VNX50,17.3931510361
10/14/2019,VNX50,17.414218677
10/15/2019,VNX50,17.3959834367
10/16/2019,VNX50,17.4220640991
10/17/2019,VNX50,17.2631697821
10/18/2019,VNX50,17.261143786
10/21/2019,VNX50,17.1683954198
10/22/2019,VNX50,17.0023076176
10/23/2019,VNX50,17.3902956577
10/24/2019,VNX50,17.0561010313
10/25/2019,VNX50,17.0277679175
10/28/2019,VNX50,17.1022444766
10/29/2019,VNX50,16.8468569348
10/30/2019,VNX50,16.9091196804
10/31/2019,VNX50,16.6290693418
11/01/2019,VNX50,16.9171419482
11/04/2019,VNX50,17.0299982828
11/05/2019,VNX50,17.0669609632
11/06/2019,VNX50,17.0867523238
11/07/2019,VNX50,17.0796533722
11/08/2019,VNX50,17.0597469669
11/11/2019,VNX50,16.9538436542
11/12/2019,VNX50,16.9624660747
11/13/2019,VNX50,16.841075404
11/14/2019,VNX50,16.8546102178
