date,ticker,value
05/04/2016,VNXALL,7.8393706745
10/24/2016,VNXALL,15.6468087001
10/25/2016,VNXALL,15.5746864186
10/26/2016,VNXALL,15.4730449299
10/27/2016,VNXALL,15.53032652
10/28/2016,VNXALL,14.8935452852
10/31/2016,VNXALL,14.8406553848
11/01/2016,VNXALL,14.7398532281
11/02/2016,VNXALL,14.6538498148
11/03/2016,VNXALL,14.5296000306
11/04/2016,VNXALL,14.5338758383
11/07/2016,VNXALL,14.6802846557
11/08/2016,VNXALL,14.7114991492
11/09/2016,VNXALL,14.5872991915
11/10/2016,VNXALL,14.7454486782
11/11/2016,VNXALL,14.7199707285
11/14/2016,VNXALL,14.5476948028
11/15/2016,VNXALL,14.5476948028
11/16/2016,VNXALL,14.5476948028
11/17/2016,VNXALL,14.5476948028
11/18/2016,VNXALL,14.5476948028
11/21/2016,VNXALL,14.5476948028
11/22/2016,VNXALL,14.5476948028
11/23/2016,VNXALL,14.5476948028
11/24/2016,VNXALL,14.5476948028
11/25/2016,VNXALL,14.6215275474
11/28/2016,VNXALL,14.6179146511
11/29/2016,VNXALL,14.4945646592
11/30/2016,VNXALL,14.3945890503
12/01/2016,VNXALL,14.9310011044
12/02/2016,VNXALL,14.9895903547
12/05/2016,VNXALL,14.8906446883
12/06/2016,VNXALL,14.7155137076
12/07/2016,VNXALL,14.6690611917
12/08/2016,VNXALL,14.7637928254
12/09/2016,VNXALL,14.790730443
12/12/2016,VNXALL,14.6454389166
12/13/2016,VNXALL,14.4685593647
12/14/2016,VNXALL,14.6230255855
12/15/2016,VNXALL,14.5387726143
12/16/2016,VNXALL,14.6887930451
12/19/2016,VNXALL,14.7551691672
12/20/2016,VNXALL,14.5720569003
12/21/2016,VNXALL,13.1334804233
12/22/2016,VNXALL,14.0239478844
12/23/2016,VNXALL,12.8250742483
12/26/2016,VNXALL,13.9529284071
12/27/2016,VNXALL,14.0329664452
12/28/2016,VNXALL,14.0290002786
12/29/2016,VNXALL,14.1449444746
12/30/2016,VNXALL,14.0731933551
01/03/2017,VNXALL,14.2536937177
01/04/2017,VNXALL,14.3140729251
01/05/2017,VNXALL,14.3376338445
01/06/2017,VNXALL,15.1552968535
01/09/2017,VNXALL,15.0992762084
01/10/2017,VNXALL,14.4289686839
01/12/2017,VNXALL,14.5247103516
01/13/2017,VNXALL,14.4677037722
01/16/2017,VNXALL,14.1436570869
01/17/2017,VNXALL,14.3331167207
01/18/2017,VNXALL,14.4702778775
01/19/2017,VNXALL,15.5961848459
01/20/2017,VNXALL,15.8098764676
01/23/2017,VNXALL,15.6485488169
01/24/2017,VNXALL,15.6674145694
01/25/2017,VNXALL,15.964987493
02/02/2017,VNXALL,16.0585430051
02/03/2017,VNXALL,16.0406931946
02/06/2017,VNXALL,14.9424677844
02/07/2017,VNXALL,14.9745017015
02/08/2017,VNXALL,14.9544603789
02/09/2017,VNXALL,14.8393429612
02/10/2017,VNXALL,13.8199096474
02/13/2017,VNXALL,13.876678313
02/14/2017,VNXALL,13.9478462564
02/15/2017,VNXALL,13.9022119931
02/16/2017,VNXALL,13.8933424162
02/17/2017,VNXALL,13.9111646657
02/20/2017,VNXALL,14.0841869756
02/21/2017,VNXALL,14.240611091
02/22/2017,VNXALL,14.3505586473
02/23/2017,VNXALL,14.3544806375
02/24/2017,VNXALL,14.3412891499
02/27/2017,VNXALL,14.3717947502
02/28/2017,VNXALL,15.4420717099
03/01/2017,VNXALL,15.5433040124
03/02/2017,VNXALL,15.6160252209
03/03/2017,VNXALL,15.6924521184
03/06/2017,VNXALL,15.7178104444
03/07/2017,VNXALL,15.621509687
03/08/2017,VNXALL,15.5541992468
03/09/2017,VNXALL,15.4924442722
03/10/2017,VNXALL,15.3906199433
03/13/2017,VNXALL,15.3385487049
03/14/2017,VNXALL,15.5247834423
03/15/2017,VNXALL,15.3280490769
03/16/2017,VNXALL,15.3164697325
03/17/2017,VNXALL,15.1559524111
03/20/2017,VNXALL,15.3566268277
03/21/2017,VNXALL,15.3092985062
03/22/2017,VNXALL,15.1830540519
03/23/2017,VNXALL,15.1655617926
03/24/2017,VNXALL,15.239025172
03/27/2017,VNXALL,15.2867952236
03/28/2017,VNXALL,15.2017517967
03/29/2017,VNXALL,15.2295790334
03/30/2017,VNXALL,15.2757211152
03/31/2017,VNXALL,15.2171693284
04/03/2017,VNXALL,15.1423624545
04/04/2017,VNXALL,15.0942571288
04/05/2017,VNXALL,15.2843427094
04/07/2017,VNXALL,15.3695088206
04/10/2017,VNXALL,15.3699261727
04/11/2017,VNXALL,14.5223083328
04/12/2017,VNXALL,14.421763704
04/13/2017,VNXALL,15.29875006
04/14/2017,VNXALL,15.1567050151
04/17/2017,VNXALL,13.0969932522
04/18/2017,VNXALL,13.0789880009
04/19/2017,VNXALL,13.0797033678
04/20/2017,VNXALL,13.1351232079
04/21/2017,VNXALL,14.7718168364
04/24/2017,VNXALL,14.6856633255
04/25/2017,VNXALL,14.0039425549
04/27/2017,VNXALL,14.071884638
05/03/2017,VNXALL,14.0833284985
05/05/2017,VNXALL,13.8451063426
05/09/2017,VNXALL,13.8795076306
05/12/2017,VNXALL,13.9459624913
05/15/2017,VNXALL,13.9470676165
05/16/2017,VNXALL,13.9867322498
05/17/2017,VNXALL,13.9758986279
05/18/2017,VNXALL,14.0041666875
05/19/2017,VNXALL,14.1931289243
