date,ticker,value
10/31/2017,CTR,12.3427410415
11/01/2017,CTR,11.5551349363
11/02/2017,CTR,10.5644003209
11/03/2017,CTR,9.2893716805
11/06/2017,CTR,10.1817628946
11/07/2017,CTR,11.6105336209
11/08/2017,CTR,12.4406549957
11/09/2017,CTR,13.9828934659
11/10/2017,CTR,13.4284523774
11/13/2017,CTR,12.6474004897
11/14/2017,CTR,12.7466056618
11/15/2017,CTR,12.6886940131
11/16/2017,CTR,12.8901258345
11/17/2017,CTR,13.0341495869
11/20/2017,CTR,12.6363217395
11/21/2017,CTR,12.4590617366
11/22/2017,CTR,12.1317350268
11/23/2017,CTR,11.9942578086
11/24/2017,CTR,12.1136061628
11/27/2017,CTR,12.0451193435
11/28/2017,CTR,12.0949737193
11/29/2017,CTR,12.1191455379
11/30/2017,CTR,12.4550331002
12/01/2017,CTR,12.279283836
12/04/2017,CTR,12.6630114558
12/05/2017,CTR,13.1444335091
12/06/2017,CTR,13.884695453
12/07/2017,CTR,13.9793684091
12/08/2017,CTR,13.6767170973
12/11/2017,CTR,13.0900469173
12/12/2017,CTR,12.8825721412
12/13/2017,CTR,12.9107725962
12/14/2017,CTR,12.8201282766
12/15/2017,CTR,13.0381782233
12/18/2017,CTR,13.3760801038
12/19/2017,CTR,13.9627502838
12/20/2017,CTR,13.9798719886
12/21/2017,CTR,13.1927771463
12/22/2017,CTR,13.6943423817
12/25/2017,CTR,13.3247149893
12/26/2017,CTR,12.8448036747
12/27/2017,CTR,12.7667488439
12/28/2017,CTR,12.6781188425
12/29/2017,CTR,12.9576054947
01/02/2018,CTR,13.2139274875
01/03/2018,CTR,13.1590373162
01/04/2018,CTR,13.1847198734
01/05/2018,CTR,13.1791804983
01/08/2018,CTR,12.8392642996
01/09/2018,CTR,12.7108515134
01/10/2018,CTR,13.7265714731
01/11/2018,CTR,13.1968057827
01/12/2018,CTR,12.9294050397
01/15/2018,CTR,12.5225127604
01/16/2018,CTR,13.0930683947
01/17/2018,CTR,12.6025819094
01/18/2018,CTR,12.2742480404
01/19/2018,CTR,12.3820140649
01/22/2018,CTR,12.6907083313
01/23/2018,CTR,12.7355269116
01/24/2018,CTR,12.7642309461
01/25/2018,CTR,12.7194123659
01/26/2018,CTR,12.8991902665
01/29/2018,CTR,12.8674647546
01/30/2018,CTR,12.4983409418
01/31/2018,CTR,12.4907872485
02/01/2018,CTR,12.5416487834
02/02/2018,CTR,12.1916609936
02/05/2018,CTR,12.2007254256
02/06/2018,CTR,10.974565204
02/07/2018,CTR,10.974565204
02/08/2018,CTR,10.2742204607
02/09/2018,CTR,10.6889620614
02/12/2018,CTR,10.6660432906
02/13/2018,CTR,10.8339673606
02/21/2018,CTR,11.1200112489
02/22/2018,CTR,10.9921950276
02/23/2018,CTR,10.8758381917
02/26/2018,CTR,11.086514584
02/27/2018,CTR,11.1279446695
02/28/2018,CTR,11.2147715508
03/01/2018,CTR,11.2575238731
03/02/2018,CTR,11.0719699795
03/05/2018,CTR,11.0146730527
03/06/2018,CTR,11.0186397631
03/07/2018,CTR,10.8467489828
03/08/2018,CTR,10.852919421
03/09/2018,CTR,10.8670232799
03/12/2018,CTR,10.9058088919
03/13/2018,CTR,10.9238794611
03/14/2018,CTR,10.9600205995
03/15/2018,CTR,10.974565204
03/16/2018,CTR,10.7206957439
03/19/2018,CTR,10.7982669678
03/20/2018,CTR,10.5884720667
03/21/2018,CTR,10.7268661821
03/22/2018,CTR,10.7206957439
03/23/2018,CTR,10.7982669678
03/26/2018,CTR,10.6841138599
03/27/2018,CTR,10.6660432906
03/28/2018,CTR,10.6307836434
03/29/2018,CTR,10.6219687316
03/30/2018,CTR,11.0040951586
04/02/2018,CTR,11.1508634402
04/03/2018,CTR,10.6343096081
04/04/2018,CTR,10.2693745199
04/05/2018,CTR,10.2230241339
04/06/2018,CTR,10.1469074449
04/09/2018,CTR,9.9887208064
04/10/2018,CTR,10.0227394383
04/11/2018,CTR,10.0631365637
04/12/2018,CTR,10.0206132738
04/13/2018,CTR,10.0354964253
04/16/2018,CTR,10.1868793375
