date,ticker,value
04/19/2017,TTN,15.7272405631
04/20/2017,TTN,15.7272405631
04/21/2017,TTN,15.7272405631
04/24/2017,TTN,15.7272405631
04/25/2017,TTN,15.7272405631
04/26/2017,TTN,15.7272405631
04/27/2017,TTN,17.8242059715
04/28/2017,TTN,17.8242059715
05/03/2017,TTN,17.8242059715
05/04/2017,TTN,19.5017782983
05/05/2017,TTN,19.5017782983
05/08/2017,TTN,19.5017782983
05/09/2017,TTN,19.5017782983
05/10/2017,TTN,19.5017782983
05/11/2017,TTN,19.5017782983
05/12/2017,TTN,19.5017782983
05/15/2017,TTN,19.5017782983
05/16/2017,TTN,18.8726886757
05/17/2017,TTN,16.1466336448
05/18/2017,TTN,16.1466336448
05/19/2017,TTN,16.1466336448
05/22/2017,TTN,16.1466336448
05/23/2017,TTN,16.1466336448
05/24/2017,TTN,16.1466336448
05/25/2017,TTN,16.1466336448
05/26/2017,TTN,16.1466336448
05/29/2017,TTN,16.1466336448
05/30/2017,TTN,16.1466336448
05/31/2017,TTN,16.1466336448
06/01/2017,TTN,16.1466336448
06/02/2017,TTN,16.1466336448
06/05/2017,TTN,14.0496682364
06/06/2017,TTN,14.0496682364
06/07/2017,TTN,13.210882073
06/08/2017,TTN,13.0011855322
06/09/2017,TTN,12.5817924505
06/12/2017,TTN,11.3236132054
06/13/2017,TTN,10.1073732686
06/14/2017,TTN,11.5333097463
06/15/2017,TTN,11.8122061456
06/16/2017,TTN,10.3590091176
06/19/2017,TTN,11.7430062871
06/20/2017,TTN,12.0785207525
06/21/2017,TTN,10.6106449666
06/22/2017,TTN,12.1623993688
06/23/2017,TTN,11.3236132054
06/26/2017,TTN,11.0048744634
06/27/2017,TTN,12.3720959097
06/28/2017,TTN,14.0496682364
06/29/2017,TTN,14.0496682364
06/30/2017,TTN,14.0496682364
07/03/2017,TTN,12.0030299978
07/04/2017,TTN,10.4848270421
07/05/2017,TTN,11.4284614759
07/06/2017,TTN,10.2751305012
07/07/2017,TTN,11.3236132054
07/10/2017,TTN,9.9752644478
07/11/2017,TTN,9.7718588032
07/12/2017,TTN,9.6460408787
07/13/2017,TTN,9.2434235203
07/14/2017,TTN,8.8072547153
07/17/2017,TTN,8.8240304386
07/18/2017,TTN,9.6460408787
07/19/2017,TTN,9.6460408787
07/20/2017,TTN,8.8890363663
07/21/2017,TTN,8.8072547153
07/24/2017,TTN,8.8072547153
07/25/2017,TTN,8.5975581745
07/26/2017,TTN,8.5975581745
07/27/2017,TTN,8.5975581745
07/28/2017,TTN,9.7508891491
07/31/2017,TTN,9.8557374196
08/01/2017,TTN,9.8557374196
08/02/2017,TTN,8.5975581745
08/03/2017,TTN,9.6460408787
08/04/2017,TTN,9.6460408787
08/07/2017,TTN,9.6460408787
08/08/2017,TTN,8.8072547153
08/09/2017,TTN,9.4363443379
08/10/2017,TTN,9.4363443379
08/11/2017,TTN,10.4722452496
08/14/2017,TTN,10.4848270421
08/15/2017,TTN,9.4363443379
08/16/2017,TTN,9.0169512562
08/17/2017,TTN,9.0169512562
08/18/2017,TTN,9.0169512562
08/21/2017,TTN,9.0169512562
08/22/2017,TTN,9.6460408787
08/23/2017,TTN,9.6460408787
08/24/2017,TTN,9.4363443379
08/25/2017,TTN,9.5747440548
08/28/2017,TTN,10.0654339604
08/29/2017,TTN,9.0169512562
08/30/2017,TTN,9.0169512562
08/31/2017,TTN,8.8974242279
09/01/2017,TTN,9.8557374196
09/05/2017,TTN,9.8557374196
09/06/2017,TTN,9.8557374196
09/07/2017,TTN,9.8557374196
09/08/2017,TTN,8.8470970581
09/11/2017,TTN,8.8072547153
09/12/2017,TTN,9.4363443379
09/13/2017,TTN,9.3944050297
09/14/2017,TTN,9.4363443379
09/15/2017,TTN,9.6460408787
09/18/2017,TTN,9.6460408787
09/19/2017,TTN,10.2101245736
09/20/2017,TTN,10.2751305012
09/21/2017,TTN,10.9042201238
09/22/2017,TTN,10.9042201238
09/25/2017,TTN,9.8557374196
09/26/2017,TTN,9.8557374196
09/27/2017,TTN,9.8557374196
09/28/2017,TTN,10.4848270421
09/29/2017,TTN,10.9042201238
10/02/2017,TTN,10.0780157528
10/03/2017,TTN,10.0654339604
10/04/2017,TTN,9.4363443379
10/05/2017,TTN,9.4363443379
10/06/2017,TTN,9.4363443379
10/09/2017,TTN,9.4363443379
10/10/2017,TTN,9.4363443379
10/11/2017,TTN,9.4363443379
10/12/2017,TTN,9.0169512562
10/13/2017,TTN,9.0169512562
10/16/2017,TTN,9.0169512562
10/17/2017,TTN,9.0169512562
10/18/2017,TTN,8.8491940235
10/19/2017,TTN,8.8072547153
10/20/2017,TTN,8.8072547153
10/23/2017,TTN,8.8072547153
10/24/2017,TTN,8.8072547153
10/25/2017,TTN,8.8072547153
10/26/2017,TTN,8.8072547153
10/27/2017,TTN,8.8072547153
10/30/2017,TTN,8.8072547153
10/31/2017,TTN,8.8072547153
11/01/2017,TTN,8.8072547153
11/02/2017,TTN,8.8072547153
11/03/2017,TTN,8.8072547153
11/06/2017,TTN,9.8557374196
11/07/2017,TTN,9.4363443379
11/08/2017,TTN,9.226647797
11/09/2017,TTN,9.226647797
11/10/2017,TTN,9.226647797
11/13/2017,TTN,9.2685871052
11/14/2017,TTN,9.226647797
11/15/2017,TTN,9.8557374196
11/16/2017,TTN,9.5118350926
11/17/2017,TTN,9.6460408787
11/20/2017,TTN,9.7404043221
11/21/2017,TTN,9.6460408787
11/22/2017,TTN,9.8200890076
11/23/2017,TTN,10.4848270421
11/24/2017,TTN,10.4848270421
11/27/2017,TTN,10.0654339604
11/28/2017,TTN,10.0654339604
11/29/2017,TTN,10.2751305012
11/30/2017,TTN,10.2751305012
12/01/2017,TTN,10.9042201238
12/04/2017,TTN,10.9042201238
12/05/2017,TTN,11.1139166646
12/06/2017,TTN,11.1139166646
12/07/2017,TTN,11.1139166646
12/08/2017,TTN,10.4848270421
12/11/2017,TTN,10.9042201238
12/12/2017,TTN,10.9042201238
12/13/2017,TTN,10.9042201238
12/14/2017,TTN,10.9042201238
12/15/2017,TTN,10.9042201238
12/18/2017,TTN,10.9042201238
12/19/2017,TTN,10.9042201238
12/20/2017,TTN,10.9042201238
12/21/2017,TTN,10.9042201238
12/22/2017,TTN,10.9042201238
12/25/2017,TTN,10.9042201238
12/26/2017,TTN,10.9042201238
12/27/2017,TTN,10.9042201238
12/28/2017,TTN,10.9042201238
12/29/2017,TTN,10.9398685357
