date,ticker,value
12/24/2010,ADC,5.6788564079
12/27/2010,ADC,5.3301546987
12/28/2010,ADC,5.2803401688
12/29/2010,ADC,5.0312675193
12/30/2010,ADC,5.0312675193
12/31/2010,ADC,5.0312675193
01/04/2011,ADC,4.9814529894
01/05/2011,ADC,4.9814529894
01/06/2011,ADC,4.9814529894
01/07/2011,ADC,5.2803401688
01/10/2011,ADC,5.6290418781
01/11/2011,ADC,5.3799692286
01/12/2011,ADC,5.4297837585
01/13/2011,ADC,5.2305256389
01/14/2011,ADC,5.2803401688
01/17/2011,ADC,5.3799692286
01/18/2011,ADC,5.4297837585
01/19/2011,ADC,5.3301546987
01/20/2011,ADC,5.2803401688
01/21/2011,ADC,5.3799692286
01/24/2011,ADC,5.7286709378
01/25/2011,ADC,6.0275581172
01/26/2011,ADC,5.9279290574
01/27/2011,ADC,5.9279290574
01/28/2011,ADC,5.9279290574
02/08/2011,ADC,6.0773726471
02/09/2011,ADC,5.4795982884
02/10/2011,ADC,5.5792273482
02/11/2011,ADC,5.5792273482
02/14/2011,ADC,9.5186456019
02/15/2011,ADC,8.9237302517
02/16/2011,ADC,8.3288149016
02/17/2011,ADC,7.988863273
02/18/2011,ADC,8.4987907159
02/21/2011,ADC,8.4987907159
02/22/2011,ADC,8.4987907159
02/23/2011,ADC,8.6687665303
02/24/2011,ADC,8.6687665303
02/25/2011,ADC,8.6687665303
02/28/2011,ADC,8.6687665303
03/01/2011,ADC,8.6687665303
03/02/2011,ADC,8.0738511801
03/03/2011,ADC,8.0738511801
03/04/2011,ADC,8.0738511801
03/07/2011,ADC,8.0738511801
03/08/2011,ADC,7.988863273
03/09/2011,ADC,7.988863273
03/10/2011,ADC,7.5639237372
03/11/2011,ADC,7.0539962942
03/14/2011,ADC,6.7140446656
03/15/2011,ADC,6.7140446656
03/16/2011,ADC,6.6290567584
03/17/2011,ADC,6.6290567584
03/18/2011,ADC,6.6290567584
03/21/2011,ADC,6.4590809441
03/22/2011,ADC,6.4590809441
03/23/2011,ADC,6.4590809441
03/24/2011,ADC,6.4590809441
03/25/2011,ADC,6.4590809441
03/28/2011,ADC,6.4590809441
03/29/2011,ADC,6.4590809441
03/30/2011,ADC,6.4590809441
03/31/2011,ADC,6.4590809441
04/01/2011,ADC,6.7990325727
04/04/2011,ADC,6.4590809441
04/05/2011,ADC,6.4590809441
04/06/2011,ADC,6.1191293155
04/07/2011,ADC,6.1191293155
04/08/2011,ADC,6.2041172226
04/13/2011,ADC,6.2041172226
04/14/2011,ADC,5.9491535011
04/15/2011,ADC,6.2041172226
04/18/2011,ADC,6.6290567584
04/19/2011,ADC,3.5824838409
04/20/2011,ADC,3.4906252809
04/21/2011,ADC,3.6284131209
04/22/2011,ADC,3.4446960009
04/25/2011,ADC,3.4446960009
04/26/2011,ADC,3.6284131209
04/27/2011,ADC,3.812130241
04/28/2011,ADC,3.5824838409
04/29/2011,ADC,3.4446960009
05/04/2011,ADC,3.3069081609
05/05/2011,ADC,3.3987667209
05/06/2011,ADC,3.3987667209
05/09/2011,ADC,3.1691203208
05/10/2011,ADC,3.2150496008
05/11/2011,ADC,3.0772617608
05/12/2011,ADC,3.0772617608
05/13/2011,ADC,2.9394739208
05/16/2011,ADC,2.9394739208
05/17/2011,ADC,2.9394739208
05/18/2011,ADC,2.9394739208
