date,price,unit,title
08/04/2023,,USD/tan,Gia_Ure
08/03/2023,402.5,USD/tan,Gia_Ure
08/02/2023,402.5,USD/tan,Gia_Ure
08/01/2023,402.5,USD/tan,Gia_Ure
07/31/2023,420,USD/tan,Gia_Ure
07/30/2023,421,USD/tan,Gia_Ure
07/29/2023,,USD/tan,Gia_Ure
07/28/2023,,USD/tan,Gia_Ure
07/27/2023,427.5,USD/tan,Gia_Ure
07/26/2023,348.63,USD/tan,Gia_Ure
07/25/2023,334,USD/tan,Gia_Ure
07/24/2023,334,USD/tan,Gia_Ure
07/23/2023,334,USD/tan,Gia_Ure
07/22/2023,,USD/tan,Gia_Ure
07/21/2023,,USD/tan,Gia_Ure
07/20/2023,334,USD/tan,Gia_Ure
07/19/2023,334,USD/tan,Gia_Ure
07/18/2023,334,USD/tan,Gia_Ure
07/17/2023,334,USD/tan,Gia_Ure
07/16/2023,334,USD/tan,Gia_Ure
07/15/2023,,USD/tan,Gia_Ure
07/14/2023,,USD/tan,Gia_Ure
07/13/2023,332.5,USD/tan,Gia_Ure
07/12/2023,332.5,USD/tan,Gia_Ure
07/11/2023,330,USD/tan,Gia_Ure
07/10/2023,325,USD/tan,Gia_Ure
07/09/2023,325,USD/tan,Gia_Ure
07/08/2023,,USD/tan,Gia_Ure
07/07/2023,,USD/tan,Gia_Ure
07/06/2023,325,USD/tan,Gia_Ure
07/05/2023,330,USD/tan,Gia_Ure
07/04/2023,317.5,USD/tan,Gia_Ure
07/03/2023,,USD/tan,Gia_Ure
07/02/2023,316,USD/tan,Gia_Ure
07/01/2023,,USD/tan,Gia_Ure
06/30/2023,,USD/tan,Gia_Ure
06/29/2023,319,USD/tan,Gia_Ure
06/28/2023,285.5,USD/tan,Gia_Ure
06/27/2023,285.5,USD/tan,Gia_Ure
06/26/2023,285.5,USD/tan,Gia_Ure
06/25/2023,285.5,USD/tan,Gia_Ure
06/24/2023,,USD/tan,Gia_Ure
06/23/2023,,USD/tan,Gia_Ure
06/22/2023,285.5,USD/tan,Gia_Ure
06/21/2023,285.5,USD/tan,Gia_Ure
06/20/2023,285.5,USD/tan,Gia_Ure
06/19/2023,285.5,USD/tan,Gia_Ure
06/18/2023,,USD/tan,Gia_Ure
06/17/2023,,USD/tan,Gia_Ure
06/16/2023,,USD/tan,Gia_Ure
06/15/2023,285.5,USD/tan,Gia_Ure
06/14/2023,287,USD/tan,Gia_Ure
06/13/2023,285.5,USD/tan,Gia_Ure
06/12/2023,286,USD/tan,Gia_Ure
06/11/2023,286,USD/tan,Gia_Ure
06/10/2023,,USD/tan,Gia_Ure
06/09/2023,,USD/tan,Gia_Ure
