date,price,unit,title
08/04/2023,742,CNY/tan,Gia_Xut_(NaOH)
08/03/2023,742,CNY/tan,Gia_Xut_(NaOH)
08/02/2023,742,CNY/tan,Gia_Xut_(NaOH)
08/01/2023,742,CNY/tan,Gia_Xut_(NaOH)
07/31/2023,737.4,CNY/tan,Gia_Xut_(NaOH)
07/30/2023,737.4,CNY/tan,Gia_Xut_(NaOH)
07/29/2023,737.4,CNY/tan,Gia_Xut_(NaOH)
07/28/2023,737.4,CNY/tan,Gia_Xut_(NaOH)
07/27/2023,737.4,CNY/tan,Gia_Xut_(NaOH)
07/26/2023,737.4,CNY/tan,Gia_Xut_(NaOH)
07/25/2023,740,CNY/tan,Gia_Xut_(NaOH)
07/24/2023,740,CNY/tan,Gia_Xut_(NaOH)
07/23/2023,740,CNY/tan,Gia_Xut_(NaOH)
07/22/2023,744,CNY/tan,Gia_Xut_(NaOH)
07/21/2023,744,CNY/tan,Gia_Xut_(NaOH)
07/20/2023,744,CNY/tan,Gia_Xut_(NaOH)
07/19/2023,750,CNY/tan,Gia_Xut_(NaOH)
07/18/2023,758,CNY/tan,Gia_Xut_(NaOH)
07/17/2023,766,CNY/tan,Gia_Xut_(NaOH)
07/16/2023,766,CNY/tan,Gia_Xut_(NaOH)
07/15/2023,766,CNY/tan,Gia_Xut_(NaOH)
07/14/2023,766,CNY/tan,Gia_Xut_(NaOH)
07/13/2023,766,CNY/tan,Gia_Xut_(NaOH)
07/12/2023,774,CNY/tan,Gia_Xut_(NaOH)
07/11/2023,780,CNY/tan,Gia_Xut_(NaOH)
07/10/2023,780,CNY/tan,Gia_Xut_(NaOH)
07/09/2023,780,CNY/tan,Gia_Xut_(NaOH)
07/08/2023,788,CNY/tan,Gia_Xut_(NaOH)
07/07/2023,788,CNY/tan,Gia_Xut_(NaOH)
07/06/2023,788,CNY/tan,Gia_Xut_(NaOH)
07/05/2023,788,CNY/tan,Gia_Xut_(NaOH)
07/04/2023,790,CNY/tan,Gia_Xut_(NaOH)
07/03/2023,792,CNY/tan,Gia_Xut_(NaOH)
07/02/2023,792,CNY/tan,Gia_Xut_(NaOH)
07/01/2023,792,CNY/tan,Gia_Xut_(NaOH)
06/30/2023,792,CNY/tan,Gia_Xut_(NaOH)
