date,price,unit,title
08/05/2023,,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
08/04/2023,,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
08/03/2023,,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
08/02/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
08/01/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/31/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/30/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/29/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/28/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/27/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/26/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/25/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/24/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/23/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/22/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/21/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/20/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/19/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/18/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/17/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/16/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/15/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/14/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/13/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/12/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/11/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/10/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/09/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/08/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/07/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/06/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/05/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/04/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/03/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/02/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
07/01/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/30/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/29/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/28/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/27/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/26/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/25/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/24/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/23/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/22/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/21/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/20/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/19/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/18/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/17/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/16/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/15/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/14/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
06/13/2023,1409.091,nghin dong/m3,Gia_be_tong_thuong_pham_-_Mac_300
