date,price,unit,title
08/03/2023,23.69,USD/tan,Gia_duong
08/02/2023,24.02,USD/tan,Gia_duong
08/01/2023,24.2,USD/tan,Gia_duong
07/31/2023,24.39,USD/tan,Gia_duong
07/30/2023,24.11,USD/tan,Gia_duong
07/29/2023,25.13,USD/tan,Gia_duong
07/27/2023,23.92,USD/tan,Gia_duong
07/26/2023,24.43,USD/tan,Gia_duong
07/25/2023,24.39,USD/tan,Gia_duong
07/24/2023,24.69,USD/tan,Gia_duong
07/23/2023,24.92,USD/tan,Gia_duong
07/22/2023,25.13,USD/tan,Gia_duong
07/20/2023,25.01,USD/tan,Gia_duong
07/19/2023,24.67,USD/tan,Gia_duong
07/18/2023,24.21,USD/tan,Gia_duong
07/17/2023,23.86,USD/tan,Gia_duong
07/16/2023,23.8,USD/tan,Gia_duong
07/15/2023,25.13,USD/tan,Gia_duong
07/13/2023,24.32,USD/tan,Gia_duong
07/12/2023,24.01,USD/tan,Gia_duong
07/11/2023,23.91,USD/tan,Gia_duong
07/10/2023,23.53,USD/tan,Gia_duong
07/09/2023,23.44,USD/tan,Gia_duong
07/08/2023,25.13,USD/tan,Gia_duong
07/06/2023,23.53,USD/tan,Gia_duong
07/05/2023,23.25,USD/tan,Gia_duong
07/04/2023,23.53,USD/tan,Gia_duong
07/03/2023,25.13,USD/tan,Gia_duong
07/02/2023,23.32,USD/tan,Gia_duong
07/01/2023,25.13,USD/tan,Gia_duong
06/29/2023,22.89,USD/tan,Gia_duong
06/28/2023,22.07,USD/tan,Gia_duong
06/27/2023,22.57,USD/tan,Gia_duong
06/26/2023,23.03,USD/tan,Gia_duong
06/25/2023,23.72,USD/tan,Gia_duong
06/24/2023,25.13,USD/tan,Gia_duong
06/22/2023,24.18,USD/tan,Gia_duong
06/21/2023,24.93,USD/tan,Gia_duong
06/20/2023,25.88,USD/tan,Gia_duong
06/19/2023,26.22,USD/tan,Gia_duong
06/18/2023,25.13,USD/tan,Gia_duong
06/17/2023,25.13,USD/tan,Gia_duong
06/15/2023,26.43,USD/tan,Gia_duong
06/14/2023,26,USD/tan,Gia_duong
06/13/2023,25.84,USD/tan,Gia_duong
06/12/2023,25.16,USD/tan,Gia_duong
06/11/2023,25.47,USD/tan,Gia_duong
06/10/2023,25.13,USD/tan,Gia_duong
06/08/2023,25.38,USD/tan,Gia_duong
06/07/2023,25.48,USD/tan,Gia_duong
06/06/2023,24.5,USD/tan,Gia_duong
06/05/2023,24.58,USD/tan,Gia_duong
06/04/2023,24.4,USD/tan,Gia_duong
06/03/2023,25.13,USD/tan,Gia_duong
06/01/2023,24.73,USD/tan,Gia_duong
05/31/2023,24.88,USD/tan,Gia_duong
05/30/2023,25.06,USD/tan,Gia_duong
05/29/2023,25.33,USD/tan,Gia_duong
05/28/2023,25.13,USD/tan,Gia_duong
05/27/2023,25.13,USD/tan,Gia_duong
05/25/2023,25.37,USD/tan,Gia_duong
05/24/2023,24.83,USD/tan,Gia_duong
05/23/2023,25.49,USD/tan,Gia_duong
05/22/2023,25.81,USD/tan,Gia_duong
05/21/2023,25.99,USD/tan,Gia_duong
05/20/2023,25.13,USD/tan,Gia_duong
05/18/2023,25.78,USD/tan,Gia_duong
05/17/2023,25.61,USD/tan,Gia_duong
05/16/2023,25.91,USD/tan,Gia_duong
05/15/2023,26.07,USD/tan,Gia_duong
05/14/2023,26.29,USD/tan,Gia_duong
05/13/2023,25.13,USD/tan,Gia_duong
05/11/2023,26.22,USD/tan,Gia_duong
05/10/2023,26.02,USD/tan,Gia_duong
05/09/2023,26.66,USD/tan,Gia_duong
05/08/2023,26.19,USD/tan,Gia_duong
05/07/2023,26.09,USD/tan,Gia_duong
05/06/2023,25.13,USD/tan,Gia_duong
05/04/2023,26.32,USD/tan,Gia_duong
05/03/2023,25.52,USD/tan,Gia_duong
05/02/2023,25.17,USD/tan,Gia_duong
05/01/2023,25.14,USD/tan,Gia_duong
04/30/2023,25.54,USD/tan,Gia_duong
04/29/2023,26.37,USD/tan,Gia_duong
04/27/2023,26.99,USD/tan,Gia_duong
04/26/2023,26.99,USD/tan,Gia_duong
04/25/2023,26.51,USD/tan,Gia_duong
04/24/2023,26.65,USD/tan,Gia_duong
04/23/2023,25.91,USD/tan,Gia_duong
04/22/2023,24.92,USD/tan,Gia_duong
04/20/2023,24.83,USD/tan,Gia_duong
04/19/2023,25.25,USD/tan,Gia_duong
04/18/2023,24.37,USD/tan,Gia_duong
04/17/2023,24.54,USD/tan,Gia_duong
04/16/2023,24.44,USD/tan,Gia_duong
04/15/2023,24.14,USD/tan,Gia_duong
04/13/2023,24.1,USD/tan,Gia_duong
04/12/2023,24.04,USD/tan,Gia_duong
04/11/2023,24.05,USD/tan,Gia_duong
04/10/2023,24.37,USD/tan,Gia_duong
04/09/2023,23.56,USD/tan,Gia_duong
04/08/2023,23.61,USD/tan,Gia_duong
04/06/2023,23.61,USD/tan,Gia_duong
04/05/2023,23.61,USD/tan,Gia_duong
04/04/2023,22.95,USD/tan,Gia_duong
04/03/2023,22.47,USD/tan,Gia_duong
04/02/2023,22.4,USD/tan,Gia_duong
04/01/2023,22.31,USD/tan,Gia_duong
03/30/2023,22.25,USD/tan,Gia_duong
03/29/2023,21.96,USD/tan,Gia_duong
03/28/2023,21.25,USD/tan,Gia_duong
03/27/2023,21.31,USD/tan,Gia_duong
03/26/2023,20.93,USD/tan,Gia_duong
03/25/2023,20.84,USD/tan,Gia_duong
03/23/2023,20.82,USD/tan,Gia_duong
03/22/2023,20.89,USD/tan,Gia_duong
03/21/2023,21.14,USD/tan,Gia_duong
