date,price,unit,title
08/04/2023,2650,CNY/tan,Gia_giay_gon_song
08/03/2023,2650,CNY/tan,Gia_giay_gon_song
08/02/2023,2650,CNY/tan,Gia_giay_gon_song
08/01/2023,2650,CNY/tan,Gia_giay_gon_song
07/31/2023,2650,CNY/tan,Gia_giay_gon_song
07/30/2023,2660,CNY/tan,Gia_giay_gon_song
07/29/2023,2660,CNY/tan,Gia_giay_gon_song
07/28/2023,2660,CNY/tan,Gia_giay_gon_song
07/27/2023,2660,CNY/tan,Gia_giay_gon_song
07/26/2023,2670,CNY/tan,Gia_giay_gon_song
07/25/2023,2680,CNY/tan,Gia_giay_gon_song
07/24/2023,2690,CNY/tan,Gia_giay_gon_song
07/23/2023,2690,CNY/tan,Gia_giay_gon_song
07/22/2023,2690,CNY/tan,Gia_giay_gon_song
07/21/2023,2690,CNY/tan,Gia_giay_gon_song
07/20/2023,2690,CNY/tan,Gia_giay_gon_song
07/19/2023,2690,CNY/tan,Gia_giay_gon_song
07/18/2023,2690,CNY/tan,Gia_giay_gon_song
07/17/2023,2710,CNY/tan,Gia_giay_gon_song
07/16/2023,2720,CNY/tan,Gia_giay_gon_song
07/15/2023,2720,CNY/tan,Gia_giay_gon_song
07/14/2023,2720,CNY/tan,Gia_giay_gon_song
07/13/2023,2720,CNY/tan,Gia_giay_gon_song
07/12/2023,2720,CNY/tan,Gia_giay_gon_song
07/11/2023,2730,CNY/tan,Gia_giay_gon_song
07/10/2023,2730,CNY/tan,Gia_giay_gon_song
07/09/2023,2740,CNY/tan,Gia_giay_gon_song
07/08/2023,2740,CNY/tan,Gia_giay_gon_song
07/07/2023,2740,CNY/tan,Gia_giay_gon_song
07/06/2023,2740,CNY/tan,Gia_giay_gon_song
07/05/2023,2740,CNY/tan,Gia_giay_gon_song
07/04/2023,2750,CNY/tan,Gia_giay_gon_song
07/03/2023,2760,CNY/tan,Gia_giay_gon_song
07/02/2023,2780,CNY/tan,Gia_giay_gon_song
07/01/2023,2780,CNY/tan,Gia_giay_gon_song
06/30/2023,2780,CNY/tan,Gia_giay_gon_song
06/29/2023,2780,CNY/tan,Gia_giay_gon_song
06/28/2023,2780,CNY/tan,Gia_giay_gon_song
06/27/2023,2780,CNY/tan,Gia_giay_gon_song
06/26/2023,2780,CNY/tan,Gia_giay_gon_song
06/25/2023,2790,CNY/tan,Gia_giay_gon_song
06/24/2023,2790,CNY/tan,Gia_giay_gon_song
06/23/2023,2800,CNY/tan,Gia_giay_gon_song
06/22/2023,2800,CNY/tan,Gia_giay_gon_song
06/21/2023,2800,CNY/tan,Gia_giay_gon_song
06/20/2023,2800,CNY/tan,Gia_giay_gon_song
06/19/2023,2810,CNY/tan,Gia_giay_gon_song
06/18/2023,2830,CNY/tan,Gia_giay_gon_song
06/17/2023,2830,CNY/tan,Gia_giay_gon_song
06/16/2023,2830,CNY/tan,Gia_giay_gon_song
06/15/2023,2830,CNY/tan,Gia_giay_gon_song
06/14/2023,2830,CNY/tan,Gia_giay_gon_song
06/13/2023,2830,CNY/tan,Gia_giay_gon_song
06/12/2023,2830,CNY/tan,Gia_giay_gon_song
06/11/2023,2830,CNY/tan,Gia_giay_gon_song
06/10/2023,2830,CNY/tan,Gia_giay_gon_song
06/09/2023,2830,CNY/tan,Gia_giay_gon_song
06/08/2023,2830,CNY/tan,Gia_giay_gon_song
06/07/2023,2830,CNY/tan,Gia_giay_gon_song
06/06/2023,2836,CNY/tan,Gia_giay_gon_song
06/05/2023,2846,CNY/tan,Gia_giay_gon_song
06/04/2023,2846,CNY/tan,Gia_giay_gon_song
06/03/2023,2846,CNY/tan,Gia_giay_gon_song
06/02/2023,2846,CNY/tan,Gia_giay_gon_song
06/01/2023,2846,CNY/tan,Gia_giay_gon_song
05/31/2023,2846,CNY/tan,Gia_giay_gon_song
05/30/2023,2846,CNY/tan,Gia_giay_gon_song
05/29/2023,2846,CNY/tan,Gia_giay_gon_song
05/28/2023,2856,CNY/tan,Gia_giay_gon_song
05/27/2023,2856,CNY/tan,Gia_giay_gon_song
05/26/2023,2856,CNY/tan,Gia_giay_gon_song
05/25/2023,2856,CNY/tan,Gia_giay_gon_song
05/24/2023,2856,CNY/tan,Gia_giay_gon_song
05/23/2023,2856,CNY/tan,Gia_giay_gon_song
05/22/2023,2856,CNY/tan,Gia_giay_gon_song
05/21/2023,2856,CNY/tan,Gia_giay_gon_song
05/20/2023,2856,CNY/tan,Gia_giay_gon_song
05/19/2023,2856,CNY/tan,Gia_giay_gon_song
05/18/2023,2856,CNY/tan,Gia_giay_gon_song
05/17/2023,2856,CNY/tan,Gia_giay_gon_song
05/16/2023,2856,CNY/tan,Gia_giay_gon_song
05/15/2023,2856,CNY/tan,Gia_giay_gon_song
05/14/2023,2856,CNY/tan,Gia_giay_gon_song
05/13/2023,2856,CNY/tan,Gia_giay_gon_song
05/12/2023,2856,CNY/tan,Gia_giay_gon_song
05/11/2023,2856,CNY/tan,Gia_giay_gon_song
05/10/2023,2856,CNY/tan,Gia_giay_gon_song
05/09/2023,2850,CNY/tan,Gia_giay_gon_song
05/08/2023,2860,CNY/tan,Gia_giay_gon_song
05/07/2023,2860,CNY/tan,Gia_giay_gon_song
05/06/2023,2860,CNY/tan,Gia_giay_gon_song
05/05/2023,2860,CNY/tan,Gia_giay_gon_song
05/04/2023,2860,CNY/tan,Gia_giay_gon_song
05/03/2023,2860,CNY/tan,Gia_giay_gon_song
05/02/2023,2850,CNY/tan,Gia_giay_gon_song
05/01/2023,2850,CNY/tan,Gia_giay_gon_song
04/30/2023,2850,CNY/tan,Gia_giay_gon_song
04/29/2023,2850,CNY/tan,Gia_giay_gon_song
04/28/2023,2850,CNY/tan,Gia_giay_gon_song
04/27/2023,2850,CNY/tan,Gia_giay_gon_song
04/26/2023,2838,CNY/tan,Gia_giay_gon_song
04/25/2023,2828,CNY/tan,Gia_giay_gon_song
04/24/2023,2808,CNY/tan,Gia_giay_gon_song
04/23/2023,2788,CNY/tan,Gia_giay_gon_song
04/22/2023,2788,CNY/tan,Gia_giay_gon_song
04/21/2023,2788,CNY/tan,Gia_giay_gon_song
04/20/2023,2788,CNY/tan,Gia_giay_gon_song
04/19/2023,2788,CNY/tan,Gia_giay_gon_song
04/18/2023,2788,CNY/tan,Gia_giay_gon_song
04/17/2023,2788,CNY/tan,Gia_giay_gon_song
04/16/2023,2788,CNY/tan,Gia_giay_gon_song
04/15/2023,2788,CNY/tan,Gia_giay_gon_song
04/14/2023,2788,CNY/tan,Gia_giay_gon_song
04/13/2023,2788,CNY/tan,Gia_giay_gon_song
04/12/2023,2788,CNY/tan,Gia_giay_gon_song
04/11/2023,2778,CNY/tan,Gia_giay_gon_song
04/10/2023,2758,CNY/tan,Gia_giay_gon_song
04/09/2023,2748,CNY/tan,Gia_giay_gon_song
04/08/2023,2748,CNY/tan,Gia_giay_gon_song
04/07/2023,2748,CNY/tan,Gia_giay_gon_song
04/06/2023,2748,CNY/tan,Gia_giay_gon_song
04/05/2023,2738,CNY/tan,Gia_giay_gon_song
04/04/2023,2738,CNY/tan,Gia_giay_gon_song
04/03/2023,2738,CNY/tan,Gia_giay_gon_song
04/02/2023,2728,CNY/tan,Gia_giay_gon_song
04/01/2023,2728,CNY/tan,Gia_giay_gon_song
03/31/2023,2728,CNY/tan,Gia_giay_gon_song
03/30/2023,2728,CNY/tan,Gia_giay_gon_song
03/29/2023,2728,CNY/tan,Gia_giay_gon_song
03/28/2023,2738,CNY/tan,Gia_giay_gon_song
03/27/2023,2758,CNY/tan,Gia_giay_gon_song
03/26/2023,2778,CNY/tan,Gia_giay_gon_song
03/25/2023,2798,CNY/tan,Gia_giay_gon_song
03/24/2023,2798,CNY/tan,Gia_giay_gon_song
03/23/2023,2798,CNY/tan,Gia_giay_gon_song
03/22/2023,2798,CNY/tan,Gia_giay_gon_song
03/21/2023,2798,CNY/tan,Gia_giay_gon_song
03/20/2023,2848,CNY/tan,Gia_giay_gon_song
03/19/2023,2888,CNY/tan,Gia_giay_gon_song
03/18/2023,2888,CNY/tan,Gia_giay_gon_song
03/17/2023,2888,CNY/tan,Gia_giay_gon_song
03/16/2023,2888,CNY/tan,Gia_giay_gon_song
03/15/2023,2888,CNY/tan,Gia_giay_gon_song
03/14/2023,2938,CNY/tan,Gia_giay_gon_song
03/13/2023,3008,CNY/tan,Gia_giay_gon_song
03/12/2023,3038,CNY/tan,Gia_giay_gon_song
03/11/2023,3038,CNY/tan,Gia_giay_gon_song
