date,price,unit,title
08/05/2023,,VND/kg,Gia_heo_binh_quan
08/04/2023,,VND/kg,Gia_heo_binh_quan
08/03/2023,,VND/kg,Gia_heo_binh_quan
08/02/2023,59400,VND/kg,Gia_heo_binh_quan
08/01/2023,59600,VND/kg,Gia_heo_binh_quan
07/31/2023,59900,VND/kg,Gia_heo_binh_quan
07/30/2023,59900,VND/kg,Gia_heo_binh_quan
07/29/2023,60400,VND/kg,Gia_heo_binh_quan
07/28/2023,59900,VND/kg,Gia_heo_binh_quan
07/27/2023,60200,VND/kg,Gia_heo_binh_quan
07/26/2023,60400,VND/kg,Gia_heo_binh_quan
07/25/2023,60600,VND/kg,Gia_heo_binh_quan
07/24/2023,60700,VND/kg,Gia_heo_binh_quan
07/23/2023,61000,VND/kg,Gia_heo_binh_quan
07/22/2023,61000,VND/kg,Gia_heo_binh_quan
07/21/2023,61000,VND/kg,Gia_heo_binh_quan
07/20/2023,61300,VND/kg,Gia_heo_binh_quan
07/19/2023,61400,VND/kg,Gia_heo_binh_quan
07/18/2023,61500,VND/kg,Gia_heo_binh_quan
07/17/2023,61700,VND/kg,Gia_heo_binh_quan
07/16/2023,61600,VND/kg,Gia_heo_binh_quan
07/15/2023,61700,VND/kg,Gia_heo_binh_quan
07/14/2023,61700,VND/kg,Gia_heo_binh_quan
07/13/2023,61700,VND/kg,Gia_heo_binh_quan
07/12/2023,61700,VND/kg,Gia_heo_binh_quan
07/11/2023,61600,VND/kg,Gia_heo_binh_quan
07/10/2023,61700,VND/kg,Gia_heo_binh_quan
07/09/2023,61600,VND/kg,Gia_heo_binh_quan
07/08/2023,61700,VND/kg,Gia_heo_binh_quan
07/07/2023,61700,VND/kg,Gia_heo_binh_quan
07/06/2023,61600,VND/kg,Gia_heo_binh_quan
07/05/2023,61600,VND/kg,Gia_heo_binh_quan
07/04/2023,61100,VND/kg,Gia_heo_binh_quan
07/03/2023,61100,VND/kg,Gia_heo_binh_quan
07/02/2023,60800,VND/kg,Gia_heo_binh_quan
07/01/2023,60800,VND/kg,Gia_heo_binh_quan
06/30/2023,60800,VND/kg,Gia_heo_binh_quan
06/29/2023,60700,VND/kg,Gia_heo_binh_quan
06/28/2023,60600,VND/kg,Gia_heo_binh_quan
06/27/2023,60400,VND/kg,Gia_heo_binh_quan
06/26/2023,60000,VND/kg,Gia_heo_binh_quan
06/25/2023,59900,VND/kg,Gia_heo_binh_quan
06/24/2023,59900,VND/kg,Gia_heo_binh_quan
06/23/2023,59900,VND/kg,Gia_heo_binh_quan
06/22/2023,59900,VND/kg,Gia_heo_binh_quan
06/21/2023,59500,VND/kg,Gia_heo_binh_quan
06/20/2023,59500,VND/kg,Gia_heo_binh_quan
06/19/2023,59400,VND/kg,Gia_heo_binh_quan
06/18/2023,59300,VND/kg,Gia_heo_binh_quan
06/17/2023,59300,VND/kg,Gia_heo_binh_quan
06/16/2023,59300,VND/kg,Gia_heo_binh_quan
06/15/2023,59200,VND/kg,Gia_heo_binh_quan
06/14/2023,58400,VND/kg,Gia_heo_binh_quan
06/13/2023,58400,VND/kg,Gia_heo_binh_quan
06/12/2023,58200,VND/kg,Gia_heo_binh_quan
06/11/2023,57900,VND/kg,Gia_heo_binh_quan
06/10/2023,57900,VND/kg,Gia_heo_binh_quan
06/09/2023,57900,VND/kg,Gia_heo_binh_quan
06/08/2023,57900,VND/kg,Gia_heo_binh_quan
06/07/2023,58000,VND/kg,Gia_heo_binh_quan
06/06/2023,57900,VND/kg,Gia_heo_binh_quan
06/05/2023,58000,VND/kg,Gia_heo_binh_quan
06/04/2023,57800,VND/kg,Gia_heo_binh_quan
06/03/2023,57800,VND/kg,Gia_heo_binh_quan
06/02/2023,57800,VND/kg,Gia_heo_binh_quan
06/01/2023,57900,VND/kg,Gia_heo_binh_quan
05/31/2023,58600,VND/kg,Gia_heo_binh_quan
05/30/2023,58500,VND/kg,Gia_heo_binh_quan
05/29/2023,58200,VND/kg,Gia_heo_binh_quan
05/28/2023,58600,VND/kg,Gia_heo_binh_quan
05/27/2023,58600,VND/kg,Gia_heo_binh_quan
05/26/2023,58600,VND/kg,Gia_heo_binh_quan
05/25/2023,58600,VND/kg,Gia_heo_binh_quan
05/24/2023,58700,VND/kg,Gia_heo_binh_quan
05/23/2023,58300,VND/kg,Gia_heo_binh_quan
05/22/2023,58200,VND/kg,Gia_heo_binh_quan
05/21/2023,56000,VND/kg,Gia_heo_binh_quan
05/20/2023,56000,VND/kg,Gia_heo_binh_quan
05/19/2023,56000,VND/kg,Gia_heo_binh_quan
05/18/2023,55000,VND/kg,Gia_heo_binh_quan
05/17/2023,55000,VND/kg,Gia_heo_binh_quan
05/16/2023,54600,VND/kg,Gia_heo_binh_quan
05/15/2023,53800,VND/kg,Gia_heo_binh_quan
05/14/2023,53700,VND/kg,Gia_heo_binh_quan
05/13/2023,53700,VND/kg,Gia_heo_binh_quan
05/12/2023,53700,VND/kg,Gia_heo_binh_quan
05/11/2023,53100,VND/kg,Gia_heo_binh_quan
05/10/2023,53000,VND/kg,Gia_heo_binh_quan
05/09/2023,52800,VND/kg,Gia_heo_binh_quan
05/08/2023,52800,VND/kg,Gia_heo_binh_quan
05/07/2023,52600,VND/kg,Gia_heo_binh_quan
05/06/2023,52500,VND/kg,Gia_heo_binh_quan
05/05/2023,52500,VND/kg,Gia_heo_binh_quan
05/04/2023,52500,VND/kg,Gia_heo_binh_quan
05/03/2023,52400,VND/kg,Gia_heo_binh_quan
05/02/2023,52300,VND/kg,Gia_heo_binh_quan
05/01/2023,52300,VND/kg,Gia_heo_binh_quan
04/30/2023,52300,VND/kg,Gia_heo_binh_quan
