date,price,unit,title
08/04/2023,,CNY/tan,Gia_khi_LPG
08/03/2023,3967,CNY/tan,Gia_khi_LPG
08/02/2023,4006,CNY/tan,Gia_khi_LPG
08/01/2023,4133,CNY/tan,Gia_khi_LPG
07/31/2023,4137,CNY/tan,Gia_khi_LPG
07/30/2023,4141,CNY/tan,Gia_khi_LPG
07/29/2023,,CNY/tan,Gia_khi_LPG
07/28/2023,,CNY/tan,Gia_khi_LPG
07/27/2023,4073,CNY/tan,Gia_khi_LPG
07/26/2023,3957,CNY/tan,Gia_khi_LPG
07/25/2023,3966,CNY/tan,Gia_khi_LPG
07/24/2023,3906,CNY/tan,Gia_khi_LPG
07/23/2023,3942,CNY/tan,Gia_khi_LPG
07/22/2023,,CNY/tan,Gia_khi_LPG
07/21/2023,,CNY/tan,Gia_khi_LPG
07/20/2023,3904,CNY/tan,Gia_khi_LPG
07/19/2023,3914,CNY/tan,Gia_khi_LPG
07/18/2023,3858,CNY/tan,Gia_khi_LPG
07/17/2023,3815,CNY/tan,Gia_khi_LPG
07/16/2023,3844,CNY/tan,Gia_khi_LPG
07/15/2023,,CNY/tan,Gia_khi_LPG
07/14/2023,,CNY/tan,Gia_khi_LPG
07/13/2023,3925,CNY/tan,Gia_khi_LPG
07/12/2023,3914,CNY/tan,Gia_khi_LPG
07/11/2023,3884,CNY/tan,Gia_khi_LPG
07/10/2023,3793,CNY/tan,Gia_khi_LPG
07/09/2023,3746,CNY/tan,Gia_khi_LPG
07/08/2023,,CNY/tan,Gia_khi_LPG
07/07/2023,,CNY/tan,Gia_khi_LPG
07/06/2023,3691,CNY/tan,Gia_khi_LPG
07/05/2023,3667,CNY/tan,Gia_khi_LPG
07/04/2023,3677,CNY/tan,Gia_khi_LPG
07/03/2023,3695,CNY/tan,Gia_khi_LPG
07/02/2023,3675,CNY/tan,Gia_khi_LPG
07/01/2023,,CNY/tan,Gia_khi_LPG
06/30/2023,,CNY/tan,Gia_khi_LPG
06/29/2023,3691,CNY/tan,Gia_khi_LPG
06/28/2023,3671,CNY/tan,Gia_khi_LPG
06/27/2023,3657,CNY/tan,Gia_khi_LPG
06/26/2023,3663,CNY/tan,Gia_khi_LPG
06/25/2023,3682,CNY/tan,Gia_khi_LPG
06/24/2023,,CNY/tan,Gia_khi_LPG
06/23/2023,,CNY/tan,Gia_khi_LPG
06/22/2023,,CNY/tan,Gia_khi_LPG
06/21/2023,,CNY/tan,Gia_khi_LPG
06/20/2023,3762,CNY/tan,Gia_khi_LPG
06/19/2023,3778,CNY/tan,Gia_khi_LPG
06/18/2023,3673,CNY/tan,Gia_khi_LPG
06/17/2023,,CNY/tan,Gia_khi_LPG
06/16/2023,,CNY/tan,Gia_khi_LPG
06/15/2023,3669,CNY/tan,Gia_khi_LPG
06/14/2023,3643,CNY/tan,Gia_khi_LPG
06/13/2023,3626,CNY/tan,Gia_khi_LPG
06/12/2023,3568,CNY/tan,Gia_khi_LPG
06/11/2023,3608,CNY/tan,Gia_khi_LPG
06/10/2023,,CNY/tan,Gia_khi_LPG
06/09/2023,,CNY/tan,Gia_khi_LPG
06/08/2023,3651,CNY/tan,Gia_khi_LPG
06/07/2023,3684,CNY/tan,Gia_khi_LPG
06/06/2023,3679,CNY/tan,Gia_khi_LPG
06/05/2023,3896,CNY/tan,Gia_khi_LPG
06/04/2023,3902,CNY/tan,Gia_khi_LPG
06/03/2023,,CNY/tan,Gia_khi_LPG
06/02/2023,,CNY/tan,Gia_khi_LPG
06/01/2023,3886,CNY/tan,Gia_khi_LPG
05/31/2023,3821,CNY/tan,Gia_khi_LPG
05/30/2023,3879,CNY/tan,Gia_khi_LPG
05/29/2023,4100,CNY/tan,Gia_khi_LPG
05/28/2023,4107,CNY/tan,Gia_khi_LPG
05/27/2023,,CNY/tan,Gia_khi_LPG
05/26/2023,,CNY/tan,Gia_khi_LPG
05/25/2023,4093,CNY/tan,Gia_khi_LPG
05/24/2023,4219,CNY/tan,Gia_khi_LPG
05/23/2023,4151,CNY/tan,Gia_khi_LPG
05/22/2023,4072,CNY/tan,Gia_khi_LPG
05/21/2023,4161,CNY/tan,Gia_khi_LPG
05/20/2023,,CNY/tan,Gia_khi_LPG
05/19/2023,,CNY/tan,Gia_khi_LPG
05/18/2023,4087,CNY/tan,Gia_khi_LPG
