date,price,unit,title
08/03/2023,,CNY/tan,Gia_nhua_PP
08/02/2023,7336,CNY/tan,Gia_nhua_PP
08/01/2023,7447,CNY/tan,Gia_nhua_PP
07/31/2023,7463,CNY/tan,Gia_nhua_PP
07/30/2023,7465,CNY/tan,Gia_nhua_PP
07/29/2023,,CNY/tan,Gia_nhua_PP
07/27/2023,7372,CNY/tan,Gia_nhua_PP
07/26/2023,7321,CNY/tan,Gia_nhua_PP
07/25/2023,7341,CNY/tan,Gia_nhua_PP
07/24/2023,7272,CNY/tan,Gia_nhua_PP
07/23/2023,7233,CNY/tan,Gia_nhua_PP
07/22/2023,,CNY/tan,Gia_nhua_PP
07/20/2023,7260,CNY/tan,Gia_nhua_PP
07/19/2023,7298,CNY/tan,Gia_nhua_PP
07/18/2023,7302,CNY/tan,Gia_nhua_PP
07/17/2023,7270,CNY/tan,Gia_nhua_PP
07/16/2023,7289,CNY/tan,Gia_nhua_PP
07/15/2023,,CNY/tan,Gia_nhua_PP
07/13/2023,7089,CNY/tan,Gia_nhua_PP
07/12/2023,7100,CNY/tan,Gia_nhua_PP
07/11/2023,7100,CNY/tan,Gia_nhua_PP
07/10/2023,7100,CNY/tan,Gia_nhua_PP
07/09/2023,7100,CNY/tan,Gia_nhua_PP
07/08/2023,,CNY/tan,Gia_nhua_PP
07/06/2023,7100,CNY/tan,Gia_nhua_PP
07/05/2023,7101,CNY/tan,Gia_nhua_PP
07/04/2023,7101,CNY/tan,Gia_nhua_PP
07/03/2023,7091,CNY/tan,Gia_nhua_PP
07/02/2023,7069,CNY/tan,Gia_nhua_PP
07/01/2023,,CNY/tan,Gia_nhua_PP
06/29/2023,7078,CNY/tan,Gia_nhua_PP
06/28/2023,7041,CNY/tan,Gia_nhua_PP
06/27/2023,7058,CNY/tan,Gia_nhua_PP
06/26/2023,7083,CNY/tan,Gia_nhua_PP
06/25/2023,7106,CNY/tan,Gia_nhua_PP
06/24/2023,,CNY/tan,Gia_nhua_PP
06/22/2023,,CNY/tan,Gia_nhua_PP
06/21/2023,,CNY/tan,Gia_nhua_PP
06/20/2023,7110,CNY/tan,Gia_nhua_PP
06/19/2023,7117,CNY/tan,Gia_nhua_PP
06/18/2023,7115,CNY/tan,Gia_nhua_PP
06/17/2023,,CNY/tan,Gia_nhua_PP
06/15/2023,7081,CNY/tan,Gia_nhua_PP
06/14/2023,7006,CNY/tan,Gia_nhua_PP
06/13/2023,6975,CNY/tan,Gia_nhua_PP
06/12/2023,7060,CNY/tan,Gia_nhua_PP
06/11/2023,6983,CNY/tan,Gia_nhua_PP
06/10/2023,,CNY/tan,Gia_nhua_PP
06/08/2023,7012,CNY/tan,Gia_nhua_PP
06/07/2023,7036,CNY/tan,Gia_nhua_PP
06/06/2023,6980,CNY/tan,Gia_nhua_PP
06/05/2023,7002,CNY/tan,Gia_nhua_PP
06/04/2023,7000,CNY/tan,Gia_nhua_PP
06/03/2023,,CNY/tan,Gia_nhua_PP
06/01/2023,6989,CNY/tan,Gia_nhua_PP
05/31/2023,6883,CNY/tan,Gia_nhua_PP
05/30/2023,6854,CNY/tan,Gia_nhua_PP
05/29/2023,7023,CNY/tan,Gia_nhua_PP
05/28/2023,7005,CNY/tan,Gia_nhua_PP
05/27/2023,,CNY/tan,Gia_nhua_PP
05/25/2023,6952,CNY/tan,Gia_nhua_PP
05/24/2023,7004,CNY/tan,Gia_nhua_PP
05/23/2023,6995,CNY/tan,Gia_nhua_PP
05/22/2023,6992,CNY/tan,Gia_nhua_PP
05/21/2023,7085,CNY/tan,Gia_nhua_PP
05/20/2023,,CNY/tan,Gia_nhua_PP
05/18/2023,7141,CNY/tan,Gia_nhua_PP
05/17/2023,7235,CNY/tan,Gia_nhua_PP
05/16/2023,7386,CNY/tan,Gia_nhua_PP
05/15/2023,7207,CNY/tan,Gia_nhua_PP
05/14/2023,7232,CNY/tan,Gia_nhua_PP
05/13/2023,,CNY/tan,Gia_nhua_PP
05/11/2023,7274,CNY/tan,Gia_nhua_PP
05/10/2023,7348,CNY/tan,Gia_nhua_PP
05/09/2023,7395,CNY/tan,Gia_nhua_PP
05/08/2023,7466,CNY/tan,Gia_nhua_PP
05/07/2023,7465,CNY/tan,Gia_nhua_PP
05/06/2023,,CNY/tan,Gia_nhua_PP
05/04/2023,7409,CNY/tan,Gia_nhua_PP
05/03/2023,7440,CNY/tan,Gia_nhua_PP
05/02/2023,,CNY/tan,Gia_nhua_PP
05/01/2023,,CNY/tan,Gia_nhua_PP
04/30/2023,,CNY/tan,Gia_nhua_PP
04/29/2023,,CNY/tan,Gia_nhua_PP
04/27/2023,7532,CNY/tan,Gia_nhua_PP
04/26/2023,7598,CNY/tan,Gia_nhua_PP
04/25/2023,7608,CNY/tan,Gia_nhua_PP
04/24/2023,7628,CNY/tan,Gia_nhua_PP
04/23/2023,7612,CNY/tan,Gia_nhua_PP
04/22/2023,,CNY/tan,Gia_nhua_PP
04/20/2023,7633,CNY/tan,Gia_nhua_PP
04/19/2023,7604,CNY/tan,Gia_nhua_PP
04/18/2023,7641,CNY/tan,Gia_nhua_PP
04/17/2023,7643,CNY/tan,Gia_nhua_PP
04/16/2023,7642,CNY/tan,Gia_nhua_PP
04/15/2023,,CNY/tan,Gia_nhua_PP
04/13/2023,7547,CNY/tan,Gia_nhua_PP
04/12/2023,7547,CNY/tan,Gia_nhua_PP
04/11/2023,7547,CNY/tan,Gia_nhua_PP
04/10/2023,7711,CNY/tan,Gia_nhua_PP
04/09/2023,7711,CNY/tan,Gia_nhua_PP
04/08/2023,,CNY/tan,Gia_nhua_PP
04/06/2023,7711,CNY/tan,Gia_nhua_PP
04/05/2023,7711,CNY/tan,Gia_nhua_PP
04/04/2023,,CNY/tan,Gia_nhua_PP
04/03/2023,7711,CNY/tan,Gia_nhua_PP
04/02/2023,7711,CNY/tan,Gia_nhua_PP
04/01/2023,,CNY/tan,Gia_nhua_PP
03/30/2023,7652,CNY/tan,Gia_nhua_PP
03/29/2023,7600,CNY/tan,Gia_nhua_PP
03/28/2023,7600,CNY/tan,Gia_nhua_PP
03/27/2023,7598,CNY/tan,Gia_nhua_PP
03/26/2023,7572,CNY/tan,Gia_nhua_PP
03/25/2023,,CNY/tan,Gia_nhua_PP
03/23/2023,7520,CNY/tan,Gia_nhua_PP
