date,price,unit,title
08/03/2023,,CNY/tan,Gia_nhua_PVC
08/02/2023,6163,CNY/tan,Gia_nhua_PVC
08/01/2023,6244,CNY/tan,Gia_nhua_PVC
07/31/2023,6206,CNY/tan,Gia_nhua_PVC
07/30/2023,6250,CNY/tan,Gia_nhua_PVC
07/29/2023,,CNY/tan,Gia_nhua_PVC
07/27/2023,6191,CNY/tan,Gia_nhua_PVC
07/26/2023,6064,CNY/tan,Gia_nhua_PVC
07/25/2023,6023,CNY/tan,Gia_nhua_PVC
07/24/2023,5954,CNY/tan,Gia_nhua_PVC
07/23/2023,5947,CNY/tan,Gia_nhua_PVC
07/22/2023,,CNY/tan,Gia_nhua_PVC
07/20/2023,5956,CNY/tan,Gia_nhua_PVC
07/19/2023,6000,CNY/tan,Gia_nhua_PVC
07/18/2023,5975,CNY/tan,Gia_nhua_PVC
07/17/2023,5871,CNY/tan,Gia_nhua_PVC
07/16/2023,5916,CNY/tan,Gia_nhua_PVC
07/15/2023,,CNY/tan,Gia_nhua_PVC
07/13/2023,5768,CNY/tan,Gia_nhua_PVC
07/12/2023,5840,CNY/tan,Gia_nhua_PVC
07/11/2023,5811,CNY/tan,Gia_nhua_PVC
07/10/2023,5811,CNY/tan,Gia_nhua_PVC
07/09/2023,5782,CNY/tan,Gia_nhua_PVC
07/08/2023,,CNY/tan,Gia_nhua_PVC
07/06/2023,5758,CNY/tan,Gia_nhua_PVC
07/05/2023,5731,CNY/tan,Gia_nhua_PVC
07/04/2023,5735,CNY/tan,Gia_nhua_PVC
07/03/2023,5751,CNY/tan,Gia_nhua_PVC
07/02/2023,5764,CNY/tan,Gia_nhua_PVC
07/01/2023,,CNY/tan,Gia_nhua_PVC
06/29/2023,5743,CNY/tan,Gia_nhua_PVC
06/28/2023,5712,CNY/tan,Gia_nhua_PVC
06/27/2023,5673,CNY/tan,Gia_nhua_PVC
06/26/2023,5665,CNY/tan,Gia_nhua_PVC
06/25/2023,5672,CNY/tan,Gia_nhua_PVC
06/24/2023,,CNY/tan,Gia_nhua_PVC
06/22/2023,,CNY/tan,Gia_nhua_PVC
06/21/2023,,CNY/tan,Gia_nhua_PVC
06/20/2023,5737,CNY/tan,Gia_nhua_PVC
06/19/2023,5771,CNY/tan,Gia_nhua_PVC
06/18/2023,5737,CNY/tan,Gia_nhua_PVC
06/17/2023,,CNY/tan,Gia_nhua_PVC
06/15/2023,5720,CNY/tan,Gia_nhua_PVC
06/14/2023,5662,CNY/tan,Gia_nhua_PVC
06/13/2023,5636,CNY/tan,Gia_nhua_PVC
06/12/2023,5546,CNY/tan,Gia_nhua_PVC
06/11/2023,5570,CNY/tan,Gia_nhua_PVC
06/10/2023,,CNY/tan,Gia_nhua_PVC
06/08/2023,5570,CNY/tan,Gia_nhua_PVC
06/07/2023,5561,CNY/tan,Gia_nhua_PVC
06/06/2023,5561,CNY/tan,Gia_nhua_PVC
06/05/2023,5651,CNY/tan,Gia_nhua_PVC
06/04/2023,5725,CNY/tan,Gia_nhua_PVC
06/03/2023,,CNY/tan,Gia_nhua_PVC
06/01/2023,5754,CNY/tan,Gia_nhua_PVC
05/31/2023,5662,CNY/tan,Gia_nhua_PVC
05/30/2023,5587,CNY/tan,Gia_nhua_PVC
05/29/2023,5667,CNY/tan,Gia_nhua_PVC
05/28/2023,5676,CNY/tan,Gia_nhua_PVC
05/27/2023,,CNY/tan,Gia_nhua_PVC
05/25/2023,5638,CNY/tan,Gia_nhua_PVC
05/24/2023,5595,CNY/tan,Gia_nhua_PVC
05/23/2023,5580,CNY/tan,Gia_nhua_PVC
05/22/2023,5650,CNY/tan,Gia_nhua_PVC
05/21/2023,5652,CNY/tan,Gia_nhua_PVC
05/20/2023,,CNY/tan,Gia_nhua_PVC
05/18/2023,5755,CNY/tan,Gia_nhua_PVC
05/17/2023,5834,CNY/tan,Gia_nhua_PVC
05/16/2023,5851,CNY/tan,Gia_nhua_PVC
05/15/2023,5777,CNY/tan,Gia_nhua_PVC
05/14/2023,5757,CNY/tan,Gia_nhua_PVC
05/13/2023,,CNY/tan,Gia_nhua_PVC
05/11/2023,5749,CNY/tan,Gia_nhua_PVC
05/10/2023,5798,CNY/tan,Gia_nhua_PVC
05/09/2023,5856,CNY/tan,Gia_nhua_PVC
05/08/2023,5897,CNY/tan,Gia_nhua_PVC
05/07/2023,5875,CNY/tan,Gia_nhua_PVC
05/06/2023,,CNY/tan,Gia_nhua_PVC
05/04/2023,5824,CNY/tan,Gia_nhua_PVC
05/03/2023,5923,CNY/tan,Gia_nhua_PVC
05/02/2023,,CNY/tan,Gia_nhua_PVC
05/01/2023,,CNY/tan,Gia_nhua_PVC
04/30/2023,,CNY/tan,Gia_nhua_PVC
04/29/2023,,CNY/tan,Gia_nhua_PVC
04/27/2023,5949,CNY/tan,Gia_nhua_PVC
04/26/2023,5988,CNY/tan,Gia_nhua_PVC
04/25/2023,6036,CNY/tan,Gia_nhua_PVC
04/24/2023,6101,CNY/tan,Gia_nhua_PVC
04/23/2023,6165,CNY/tan,Gia_nhua_PVC
04/22/2023,,CNY/tan,Gia_nhua_PVC
04/20/2023,6208,CNY/tan,Gia_nhua_PVC
04/19/2023,6166,CNY/tan,Gia_nhua_PVC
04/18/2023,6208,CNY/tan,Gia_nhua_PVC
04/17/2023,6129,CNY/tan,Gia_nhua_PVC
04/16/2023,6229,CNY/tan,Gia_nhua_PVC
04/15/2023,,CNY/tan,Gia_nhua_PVC
04/13/2023,6100,CNY/tan,Gia_nhua_PVC
04/12/2023,6100,CNY/tan,Gia_nhua_PVC
04/11/2023,6100,CNY/tan,Gia_nhua_PVC
04/10/2023,6175,CNY/tan,Gia_nhua_PVC
04/09/2023,6229,CNY/tan,Gia_nhua_PVC
04/08/2023,,CNY/tan,Gia_nhua_PVC
04/06/2023,6229,CNY/tan,Gia_nhua_PVC
04/05/2023,6229,CNY/tan,Gia_nhua_PVC
04/04/2023,,CNY/tan,Gia_nhua_PVC
04/03/2023,6250,CNY/tan,Gia_nhua_PVC
04/02/2023,6252,CNY/tan,Gia_nhua_PVC
04/01/2023,,CNY/tan,Gia_nhua_PVC
03/30/2023,6212,CNY/tan,Gia_nhua_PVC
03/29/2023,6195,CNY/tan,Gia_nhua_PVC
03/28/2023,6219,CNY/tan,Gia_nhua_PVC
03/27/2023,6167,CNY/tan,Gia_nhua_PVC
03/26/2023,6114,CNY/tan,Gia_nhua_PVC
03/25/2023,,CNY/tan,Gia_nhua_PVC
03/23/2023,6065,CNY/tan,Gia_nhua_PVC
