date,price,unit,title
08/05/2023,,VND/kg,Gia_phan_Ure_Ca_Mau
08/04/2023,,VND/kg,Gia_phan_Ure_Ca_Mau
08/03/2023,,VND/kg,Gia_phan_Ure_Ca_Mau
08/02/2023,,VND/kg,Gia_phan_Ure_Ca_Mau
08/01/2023,10500,VND/kg,Gia_phan_Ure_Ca_Mau
07/31/2023,10500,VND/kg,Gia_phan_Ure_Ca_Mau
07/30/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/29/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/28/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/27/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/26/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/25/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/24/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/23/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/22/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/21/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/20/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/19/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/18/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/17/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/16/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/15/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/14/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/13/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/12/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/11/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/10/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/09/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/08/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/07/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/06/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/05/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/04/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/03/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/02/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
07/01/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
06/30/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
06/29/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
06/28/2023,9100,VND/kg,Gia_phan_Ure_Ca_Mau
06/27/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/26/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/25/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/24/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/23/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/22/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/21/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/20/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/19/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/18/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/17/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/16/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/15/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/14/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/13/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/12/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/11/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/10/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/09/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/08/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/07/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/06/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/05/2023,9800,VND/kg,Gia_phan_Ure_Ca_Mau
06/04/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
06/03/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
06/02/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
06/01/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/31/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/30/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/29/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/28/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/27/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/26/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/25/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/24/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/23/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/22/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/21/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/20/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/19/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/18/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/17/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/16/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/15/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/14/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/13/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/12/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/11/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
05/10/2023,9500,VND/kg,Gia_phan_Ure_Ca_Mau
