date,price,unit,title
08/05/2023,,nghin dong/kg,Gia_phu_pham_lua_gao
08/04/2023,,nghin dong/kg,Gia_phu_pham_lua_gao
08/03/2023,,nghin dong/kg,Gia_phu_pham_lua_gao
08/02/2023,,nghin dong/kg,Gia_phu_pham_lua_gao
08/01/2023,8.5564,nghin dong/kg,Gia_phu_pham_lua_gao
07/31/2023,8.5564,nghin dong/kg,Gia_phu_pham_lua_gao
07/30/2023,8.5564,nghin dong/kg,Gia_phu_pham_lua_gao
07/29/2023,8.5564,nghin dong/kg,Gia_phu_pham_lua_gao
07/28/2023,8.5564,nghin dong/kg,Gia_phu_pham_lua_gao
07/27/2023,8.5564,nghin dong/kg,Gia_phu_pham_lua_gao
07/26/2023,8.5564,nghin dong/kg,Gia_phu_pham_lua_gao
07/25/2023,8.5564,nghin dong/kg,Gia_phu_pham_lua_gao
07/24/2023,8.5564,nghin dong/kg,Gia_phu_pham_lua_gao
07/23/2023,8.5564,nghin dong/kg,Gia_phu_pham_lua_gao
07/22/2023,8.5564,nghin dong/kg,Gia_phu_pham_lua_gao
07/21/2023,8.5564,nghin dong/kg,Gia_phu_pham_lua_gao
07/20/2023,8.5564,nghin dong/kg,Gia_phu_pham_lua_gao
07/19/2023,8.5564,nghin dong/kg,Gia_phu_pham_lua_gao
07/18/2023,8.393,nghin dong/kg,Gia_phu_pham_lua_gao
07/17/2023,8.393,nghin dong/kg,Gia_phu_pham_lua_gao
07/16/2023,8.393,nghin dong/kg,Gia_phu_pham_lua_gao
07/15/2023,8.393,nghin dong/kg,Gia_phu_pham_lua_gao
07/14/2023,8.393,nghin dong/kg,Gia_phu_pham_lua_gao
07/13/2023,8.393,nghin dong/kg,Gia_phu_pham_lua_gao
07/12/2023,8.393,nghin dong/kg,Gia_phu_pham_lua_gao
07/11/2023,8.4026,nghin dong/kg,Gia_phu_pham_lua_gao
07/10/2023,8.4026,nghin dong/kg,Gia_phu_pham_lua_gao
07/09/2023,8.4026,nghin dong/kg,Gia_phu_pham_lua_gao
07/08/2023,8.4026,nghin dong/kg,Gia_phu_pham_lua_gao
07/07/2023,8.4026,nghin dong/kg,Gia_phu_pham_lua_gao
07/06/2023,8.4026,nghin dong/kg,Gia_phu_pham_lua_gao
07/05/2023,8.4026,nghin dong/kg,Gia_phu_pham_lua_gao
07/04/2023,8.4692,nghin dong/kg,Gia_phu_pham_lua_gao
07/03/2023,8.4692,nghin dong/kg,Gia_phu_pham_lua_gao
07/02/2023,8.4692,nghin dong/kg,Gia_phu_pham_lua_gao
07/01/2023,8.4692,nghin dong/kg,Gia_phu_pham_lua_gao
06/30/2023,8.4692,nghin dong/kg,Gia_phu_pham_lua_gao
06/29/2023,8.4692,nghin dong/kg,Gia_phu_pham_lua_gao
