date,price,unit,title
08/05/2023,,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
08/04/2023,,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
08/03/2023,,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
08/02/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
08/01/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/31/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/30/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/29/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/28/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/27/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/26/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/25/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/24/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/23/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/22/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/21/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/20/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/19/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/18/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/17/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/16/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/15/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/14/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/13/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/12/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/11/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/10/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/09/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/08/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/07/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/06/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/05/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/04/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/03/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/02/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
07/01/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/30/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/29/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/28/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/27/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/26/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/25/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/24/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/23/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/22/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/21/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/20/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/19/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/18/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/17/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/16/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/15/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/14/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/13/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/12/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/11/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/10/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/09/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/08/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/07/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/06/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/05/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/04/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/03/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/02/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
06/01/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/31/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/30/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/29/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/28/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/27/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/26/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/25/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/24/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/23/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/22/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/21/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/20/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/19/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/18/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/17/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/16/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/15/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/14/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/13/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/12/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/11/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/10/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/09/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/08/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/07/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/06/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/05/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/04/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/03/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/02/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
05/01/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/30/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/29/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/28/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/27/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/26/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/25/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/24/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/23/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/22/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/21/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/20/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/19/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/18/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/17/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/16/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/15/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/14/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/13/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/12/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/11/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/10/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/09/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/08/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/07/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/06/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/05/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/04/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/03/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/02/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
04/01/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/31/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/30/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/29/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/28/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/27/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/26/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/25/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/24/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/23/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/22/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/21/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/20/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/19/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/18/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/17/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/16/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/15/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/14/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/13/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/12/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/11/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/10/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/09/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/08/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/07/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/06/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/05/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/04/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/03/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/02/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
03/01/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/28/2023,128,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/27/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/26/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/25/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/24/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/23/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/22/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/21/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/20/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/19/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/18/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/17/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/16/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/15/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/14/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/13/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/12/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/11/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/10/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/09/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/08/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/07/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/06/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/05/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/04/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/03/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/02/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
02/01/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
01/31/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
01/30/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
01/29/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
01/28/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
01/27/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
01/26/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
01/25/2023,117.09,nghin dong/lit,Gia_son_lot_khang_kiem_cao_cap
