date,price,unit,title
08/03/2023,137,USD/tan,Gia_than
08/02/2023,136.85,USD/tan,Gia_than
08/01/2023,133.5,USD/tan,Gia_than
07/31/2023,134.35,USD/tan,Gia_than
07/30/2023,137.3,USD/tan,Gia_than
07/29/2023,,USD/tan,Gia_than
07/27/2023,134.45,USD/tan,Gia_than
07/26/2023,134,USD/tan,Gia_than
07/25/2023,134,USD/tan,Gia_than
07/24/2023,134,USD/tan,Gia_than
07/23/2023,133.1,USD/tan,Gia_than
07/22/2023,,USD/tan,Gia_than
07/20/2023,133,USD/tan,Gia_than
07/19/2023,132,USD/tan,Gia_than
07/18/2023,132,USD/tan,Gia_than
07/17/2023,134.35,USD/tan,Gia_than
07/16/2023,131.1,USD/tan,Gia_than
07/15/2023,,USD/tan,Gia_than
07/13/2023,131.65,USD/tan,Gia_than
07/12/2023,128,USD/tan,Gia_than
07/11/2023,129.05,USD/tan,Gia_than
07/10/2023,131,USD/tan,Gia_than
07/09/2023,133.7,USD/tan,Gia_than
07/08/2023,,USD/tan,Gia_than
07/06/2023,138,USD/tan,Gia_than
07/05/2023,139.65,USD/tan,Gia_than
07/04/2023,144.8,USD/tan,Gia_than
07/03/2023,143.15,USD/tan,Gia_than
07/02/2023,148.05,USD/tan,Gia_than
07/01/2023,,USD/tan,Gia_than
06/29/2023,128.05,USD/tan,Gia_than
06/28/2023,127.9,USD/tan,Gia_than
06/27/2023,127.9,USD/tan,Gia_than
06/26/2023,127.9,USD/tan,Gia_than
06/25/2023,125.5,USD/tan,Gia_than
06/24/2023,,USD/tan,Gia_than
06/22/2023,125.5,USD/tan,Gia_than
06/21/2023,125.75,USD/tan,Gia_than
06/20/2023,124.15,USD/tan,Gia_than
06/19/2023,126.55,USD/tan,Gia_than
06/18/2023,128.35,USD/tan,Gia_than
06/17/2023,,USD/tan,Gia_than
06/15/2023,128.45,USD/tan,Gia_than
06/14/2023,135.95,USD/tan,Gia_than
06/13/2023,132,USD/tan,Gia_than
06/12/2023,132.25,USD/tan,Gia_than
06/11/2023,134,USD/tan,Gia_than
06/10/2023,,USD/tan,Gia_than
06/08/2023,135.7,USD/tan,Gia_than
06/07/2023,136.25,USD/tan,Gia_than
06/06/2023,136,USD/tan,Gia_than
06/05/2023,134.45,USD/tan,Gia_than
06/04/2023,137.75,USD/tan,Gia_than
06/03/2023,,USD/tan,Gia_than
06/01/2023,131,USD/tan,Gia_than
05/31/2023,130.15,USD/tan,Gia_than
05/30/2023,135,USD/tan,Gia_than
05/29/2023,135.1,USD/tan,Gia_than
05/28/2023,140.65,USD/tan,Gia_than
05/27/2023,,USD/tan,Gia_than
05/25/2023,160,USD/tan,Gia_than
05/24/2023,160,USD/tan,Gia_than
05/23/2023,160.25,USD/tan,Gia_than
05/22/2023,160,USD/tan,Gia_than
05/21/2023,160.35,USD/tan,Gia_than
05/20/2023,,USD/tan,Gia_than
05/18/2023,162.25,USD/tan,Gia_than
05/17/2023,159.35,USD/tan,Gia_than
05/16/2023,165.25,USD/tan,Gia_than
05/15/2023,163.8,USD/tan,Gia_than
05/14/2023,163.75,USD/tan,Gia_than
05/13/2023,,USD/tan,Gia_than
05/11/2023,164.9,USD/tan,Gia_than
05/10/2023,163,USD/tan,Gia_than
05/09/2023,166.95,USD/tan,Gia_than
05/08/2023,169,USD/tan,Gia_than
05/07/2023,169.65,USD/tan,Gia_than
05/06/2023,,USD/tan,Gia_than
05/04/2023,169.65,USD/tan,Gia_than
05/03/2023,170.65,USD/tan,Gia_than
05/02/2023,180.6,USD/tan,Gia_than
05/01/2023,187.55,USD/tan,Gia_than
04/30/2023,185.15,USD/tan,Gia_than
04/29/2023,,USD/tan,Gia_than
04/27/2023,189.7,USD/tan,Gia_than
04/26/2023,189.95,USD/tan,Gia_than
04/25/2023,190.15,USD/tan,Gia_than
04/24/2023,189.05,USD/tan,Gia_than
04/23/2023,190,USD/tan,Gia_than
04/22/2023,,USD/tan,Gia_than
04/20/2023,190.35,USD/tan,Gia_than
04/19/2023,191.75,USD/tan,Gia_than
04/18/2023,192.5,USD/tan,Gia_than
04/17/2023,188.3,USD/tan,Gia_than
04/16/2023,187,USD/tan,Gia_than
04/15/2023,,USD/tan,Gia_than
04/13/2023,188,USD/tan,Gia_than
04/12/2023,190.75,USD/tan,Gia_than
04/11/2023,194.6,USD/tan,Gia_than
04/10/2023,194.15,USD/tan,Gia_than
04/09/2023,193.75,USD/tan,Gia_than
04/08/2023,,USD/tan,Gia_than
04/06/2023,,USD/tan,Gia_than
04/05/2023,193.75,USD/tan,Gia_than
04/04/2023,198,USD/tan,Gia_than
04/03/2023,192.65,USD/tan,Gia_than
04/02/2023,200,USD/tan,Gia_than
04/01/2023,,USD/tan,Gia_than
03/30/2023,177.25,USD/tan,Gia_than
03/29/2023,176.75,USD/tan,Gia_than
03/28/2023,176.6,USD/tan,Gia_than
03/27/2023,176.5,USD/tan,Gia_than
03/26/2023,176.25,USD/tan,Gia_than
03/25/2023,,USD/tan,Gia_than
03/23/2023,175.35,USD/tan,Gia_than
03/22/2023,176.65,USD/tan,Gia_than
03/21/2023,176.55,USD/tan,Gia_than
03/20/2023,174,USD/tan,Gia_than
03/19/2023,172.25,USD/tan,Gia_than
03/18/2023,,USD/tan,Gia_than
03/16/2023,173,USD/tan,Gia_than
03/15/2023,174,USD/tan,Gia_than
03/14/2023,175,USD/tan,Gia_than
03/13/2023,180,USD/tan,Gia_than
03/12/2023,182.9,USD/tan,Gia_than
03/11/2023,,USD/tan,Gia_than
03/09/2023,185.25,USD/tan,Gia_than
03/08/2023,180,USD/tan,Gia_than
03/07/2023,179.5,USD/tan,Gia_than
03/06/2023,179.25,USD/tan,Gia_than
03/05/2023,181.75,USD/tan,Gia_than
03/04/2023,,USD/tan,Gia_than
03/02/2023,188.9,USD/tan,Gia_than
03/01/2023,193,USD/tan,Gia_than
02/28/2023,193.5,USD/tan,Gia_than
02/27/2023,192.85,USD/tan,Gia_than
02/26/2023,196.5,USD/tan,Gia_than
02/25/2023,,USD/tan,Gia_than
02/23/2023,209.2,USD/tan,Gia_than
02/22/2023,210.1,USD/tan,Gia_than
02/21/2023,209.65,USD/tan,Gia_than
02/20/2023,208.5,USD/tan,Gia_than
02/19/2023,205.65,USD/tan,Gia_than
02/18/2023,,USD/tan,Gia_than
02/16/2023,209.35,USD/tan,Gia_than
02/15/2023,214,USD/tan,Gia_than
02/14/2023,219.9,USD/tan,Gia_than
02/13/2023,219.5,USD/tan,Gia_than
02/12/2023,221,USD/tan,Gia_than
02/11/2023,,USD/tan,Gia_than
02/09/2023,226.1,USD/tan,Gia_than
02/08/2023,225.5,USD/tan,Gia_than
02/07/2023,239.35,USD/tan,Gia_than
02/06/2023,255.65,USD/tan,Gia_than
02/05/2023,252,USD/tan,Gia_than
02/04/2023,,USD/tan,Gia_than
02/02/2023,236,USD/tan,Gia_than
02/01/2023,244.65,USD/tan,Gia_than
01/31/2023,247,USD/tan,Gia_than
01/30/2023,251.75,USD/tan,Gia_than
01/29/2023,265.35,USD/tan,Gia_than
01/28/2023,,USD/tan,Gia_than
01/26/2023,358.1,USD/tan,Gia_than
01/25/2023,355.6,USD/tan,Gia_than
01/24/2023,354,USD/tan,Gia_than
01/23/2023,359.6,USD/tan,Gia_than
01/22/2023,360,USD/tan,Gia_than
01/21/2023,,USD/tan,Gia_than
01/19/2023,350.95,USD/tan,Gia_than
01/18/2023,363.5,USD/tan,Gia_than
01/17/2023,368,USD/tan,Gia_than
01/16/2023,369.25,USD/tan,Gia_than
01/15/2023,368.75,USD/tan,Gia_than
01/14/2023,,USD/tan,Gia_than
01/12/2023,370.25,USD/tan,Gia_than
01/11/2023,377.5,USD/tan,Gia_than
01/10/2023,370,USD/tan,Gia_than
01/09/2023,390.45,USD/tan,Gia_than
01/08/2023,393.85,USD/tan,Gia_than
01/07/2023,,USD/tan,Gia_than
01/05/2023,396.15,USD/tan,Gia_than
01/04/2023,397.5,USD/tan,Gia_than
01/03/2023,394.55,USD/tan,Gia_than
01/02/2023,393.1,USD/tan,Gia_than
01/01/2023,,USD/tan,Gia_than
12/29/2022,404.15,USD/tan,Gia_than
12/28/2022,404.15,USD/tan,Gia_than
12/27/2022,402.1,USD/tan,Gia_than
12/26/2022,400.5,USD/tan,Gia_than
12/25/2022,,USD/tan,Gia_than
12/22/2022,401.1,USD/tan,Gia_than
12/21/2022,400.65,USD/tan,Gia_than
12/20/2022,401.4,USD/tan,Gia_than
12/19/2022,400.05,USD/tan,Gia_than
12/18/2022,401.35,USD/tan,Gia_than
12/17/2022,,USD/tan,Gia_than
12/15/2022,403,USD/tan,Gia_than
12/14/2022,401.9,USD/tan,Gia_than
12/13/2022,404,USD/tan,Gia_than
12/12/2022,404.5,USD/tan,Gia_than
12/11/2022,400.25,USD/tan,Gia_than
12/10/2022,,USD/tan,Gia_than
12/08/2022,402.5,USD/tan,Gia_than
12/07/2022,395.5,USD/tan,Gia_than
12/06/2022,405.65,USD/tan,Gia_than
12/05/2022,408.8,USD/tan,Gia_than
12/04/2022,400.5,USD/tan,Gia_than
12/03/2022,,USD/tan,Gia_than
12/01/2022,391,USD/tan,Gia_than
11/30/2022,385,USD/tan,Gia_than
11/29/2022,398.5,USD/tan,Gia_than
11/28/2022,387.4,USD/tan,Gia_than
11/27/2022,379,USD/tan,Gia_than
11/26/2022,,USD/tan,Gia_than
11/24/2022,349.4,USD/tan,Gia_than
11/23/2022,347.35,USD/tan,Gia_than
11/22/2022,346.45,USD/tan,Gia_than
11/21/2022,347.15,USD/tan,Gia_than
11/20/2022,351,USD/tan,Gia_than
11/19/2022,,USD/tan,Gia_than
11/17/2022,343.45,USD/tan,Gia_than
11/16/2022,334.6,USD/tan,Gia_than
11/15/2022,332.55,USD/tan,Gia_than
11/14/2022,341,USD/tan,Gia_than
11/13/2022,330.35,USD/tan,Gia_than
11/12/2022,,USD/tan,Gia_than
11/10/2022,326.8,USD/tan,Gia_than
11/09/2022,324.25,USD/tan,Gia_than
11/08/2022,324.75,USD/tan,Gia_than
11/07/2022,339,USD/tan,Gia_than
11/06/2022,344.9,USD/tan,Gia_than
11/05/2022,,USD/tan,Gia_than
11/03/2022,349.5,USD/tan,Gia_than
11/02/2022,351,USD/tan,Gia_than
11/01/2022,361,USD/tan,Gia_than
10/31/2022,359,USD/tan,Gia_than
10/30/2022,356.3,USD/tan,Gia_than
10/29/2022,,USD/tan,Gia_than
10/27/2022,385.7,USD/tan,Gia_than
10/26/2022,385.6,USD/tan,Gia_than
10/25/2022,386.5,USD/tan,Gia_than
10/24/2022,388.15,USD/tan,Gia_than
10/23/2022,390,USD/tan,Gia_than
10/22/2022,,USD/tan,Gia_than
10/20/2022,390,USD/tan,Gia_than
10/19/2022,391.95,USD/tan,Gia_than
10/18/2022,391,USD/tan,Gia_than
10/17/2022,387.85,USD/tan,Gia_than
10/16/2022,392.15,USD/tan,Gia_than
10/15/2022,,USD/tan,Gia_than
10/13/2022,392.5,USD/tan,Gia_than
10/12/2022,393.5,USD/tan,Gia_than
10/11/2022,403,USD/tan,Gia_than
10/10/2022,391.15,USD/tan,Gia_than
10/09/2022,386.5,USD/tan,Gia_than
10/08/2022,,USD/tan,Gia_than
10/06/2022,385.8,USD/tan,Gia_than
10/05/2022,,USD/tan,Gia_than
10/04/2022,396.25,USD/tan,Gia_than
10/03/2022,404,USD/tan,Gia_than
10/02/2022,401.5,USD/tan,Gia_than
10/01/2022,,USD/tan,Gia_than
09/29/2022,433.7,USD/tan,Gia_than
09/28/2022,435.75,USD/tan,Gia_than
09/27/2022,436,USD/tan,Gia_than
09/26/2022,437.65,USD/tan,Gia_than
09/25/2022,438,USD/tan,Gia_than
09/24/2022,,USD/tan,Gia_than
09/22/2022,435.2,USD/tan,Gia_than
09/21/2022,435.65,USD/tan,Gia_than
09/20/2022,444.5,USD/tan,Gia_than
09/19/2022,441.3,USD/tan,Gia_than
09/18/2022,439.05,USD/tan,Gia_than
09/17/2022,,USD/tan,Gia_than
09/15/2022,439,USD/tan,Gia_than
09/14/2022,445.5,USD/tan,Gia_than
09/13/2022,444.2,USD/tan,Gia_than
09/12/2022,439.35,USD/tan,Gia_than
09/11/2022,437.5,USD/tan,Gia_than
09/10/2022,,USD/tan,Gia_than
09/08/2022,435.25,USD/tan,Gia_than
09/07/2022,440.35,USD/tan,Gia_than
09/06/2022,439,USD/tan,Gia_than
09/05/2022,450.25,USD/tan,Gia_than
09/04/2022,457.8,USD/tan,Gia_than
09/03/2022,,USD/tan,Gia_than
09/01/2022,435,USD/tan,Gia_than
08/31/2022,427.35,USD/tan,Gia_than
08/30/2022,425,USD/tan,Gia_than
08/29/2022,414.55,USD/tan,Gia_than
08/28/2022,422.75,USD/tan,Gia_than
08/27/2022,,USD/tan,Gia_than
08/25/2022,417.4,USD/tan,Gia_than
08/24/2022,417.5,USD/tan,Gia_than
08/23/2022,412.6,USD/tan,Gia_than
08/22/2022,417.6,USD/tan,Gia_than
08/21/2022,418.35,USD/tan,Gia_than
08/20/2022,,USD/tan,Gia_than
08/18/2022,416.25,USD/tan,Gia_than
08/17/2022,413.9,USD/tan,Gia_than
08/16/2022,413.9,USD/tan,Gia_than
08/15/2022,405,USD/tan,Gia_than
08/14/2022,407.5,USD/tan,Gia_than
08/13/2022,,USD/tan,Gia_than
08/11/2022,407.65,USD/tan,Gia_than
08/10/2022,401,USD/tan,Gia_than
08/09/2022,398.65,USD/tan,Gia_than
08/08/2022,384.5,USD/tan,Gia_than
08/07/2022,371,USD/tan,Gia_than
08/06/2022,,USD/tan,Gia_than
08/04/2022,361,USD/tan,Gia_than
08/03/2022,385,USD/tan,Gia_than
08/02/2022,393.5,USD/tan,Gia_than
08/01/2022,403.5,USD/tan,Gia_than
07/31/2022,405,USD/tan,Gia_than
07/30/2022,,USD/tan,Gia_than
07/28/2022,407.9,USD/tan,Gia_than
07/27/2022,411.4,USD/tan,Gia_than
07/26/2022,411.5,USD/tan,Gia_than
07/25/2022,414,USD/tan,Gia_than
07/24/2022,410.25,USD/tan,Gia_than
07/23/2022,,USD/tan,Gia_than
07/21/2022,409.2,USD/tan,Gia_than
07/20/2022,403.4,USD/tan,Gia_than
07/19/2022,408.6,USD/tan,Gia_than
07/18/2022,399.65,USD/tan,Gia_than
07/17/2022,396.05,USD/tan,Gia_than
07/16/2022,,USD/tan,Gia_than
07/14/2022,406.55,USD/tan,Gia_than
07/13/2022,416.35,USD/tan,Gia_than
07/12/2022,430,USD/tan,Gia_than
07/11/2022,426,USD/tan,Gia_than
07/10/2022,419,USD/tan,Gia_than
07/09/2022,,USD/tan,Gia_than
07/07/2022,413.75,USD/tan,Gia_than
07/06/2022,410,USD/tan,Gia_than
07/05/2022,399.7,USD/tan,Gia_than
07/04/2022,397.6,USD/tan,Gia_than
07/03/2022,396.45,USD/tan,Gia_than
07/02/2022,,USD/tan,Gia_than
06/30/2022,388,USD/tan,Gia_than
06/29/2022,385.95,USD/tan,Gia_than
06/28/2022,380,USD/tan,Gia_than
06/27/2022,393.5,USD/tan,Gia_than
06/26/2022,392.45,USD/tan,Gia_than
06/25/2022,,USD/tan,Gia_than
06/23/2022,397,USD/tan,Gia_than
06/22/2022,397.5,USD/tan,Gia_than
06/21/2022,392,USD/tan,Gia_than
06/20/2022,390,USD/tan,Gia_than
06/19/2022,392.75,USD/tan,Gia_than
06/18/2022,,USD/tan,Gia_than
06/16/2022,389.35,USD/tan,Gia_than
06/15/2022,387.35,USD/tan,Gia_than
06/14/2022,386.35,USD/tan,Gia_than
06/13/2022,383.5,USD/tan,Gia_than
06/12/2022,390.35,USD/tan,Gia_than
06/11/2022,,USD/tan,Gia_than
06/09/2022,392.35,USD/tan,Gia_than
06/08/2022,396,USD/tan,Gia_than
06/07/2022,395.4,USD/tan,Gia_than
06/06/2022,397,USD/tan,Gia_than
06/05/2022,415.25,USD/tan,Gia_than
