date,price,unit,title
08/03/2023,548.5,USD/tan,Gia_thep_thanh
08/02/2023,550,USD/tan,Gia_thep_thanh
08/01/2023,551.5,USD/tan,Gia_thep_thanh
07/31/2023,559,USD/tan,Gia_thep_thanh
07/30/2023,563.5,USD/tan,Gia_thep_thanh
07/29/2023,,USD/tan,Gia_thep_thanh
07/27/2023,580.5,USD/tan,Gia_thep_thanh
07/26/2023,578.5,USD/tan,Gia_thep_thanh
07/25/2023,574.5,USD/tan,Gia_thep_thanh
07/24/2023,578.5,USD/tan,Gia_thep_thanh
07/23/2023,570,USD/tan,Gia_thep_thanh
07/22/2023,,USD/tan,Gia_thep_thanh
07/20/2023,577,USD/tan,Gia_thep_thanh
07/19/2023,575.5,USD/tan,Gia_thep_thanh
07/18/2023,575,USD/tan,Gia_thep_thanh
07/17/2023,575,USD/tan,Gia_thep_thanh
07/16/2023,574.5,USD/tan,Gia_thep_thanh
07/15/2023,,USD/tan,Gia_thep_thanh
07/13/2023,579.5,USD/tan,Gia_thep_thanh
07/12/2023,578,USD/tan,Gia_thep_thanh
07/11/2023,582.5,USD/tan,Gia_thep_thanh
07/10/2023,585.5,USD/tan,Gia_thep_thanh
07/09/2023,586.5,USD/tan,Gia_thep_thanh
07/08/2023,,USD/tan,Gia_thep_thanh
07/06/2023,580,USD/tan,Gia_thep_thanh
07/05/2023,594.5,USD/tan,Gia_thep_thanh
07/04/2023,588,USD/tan,Gia_thep_thanh
07/03/2023,593,USD/tan,Gia_thep_thanh
07/02/2023,591.5,USD/tan,Gia_thep_thanh
07/01/2023,,USD/tan,Gia_thep_thanh
06/29/2023,592,USD/tan,Gia_thep_thanh
06/28/2023,619,USD/tan,Gia_thep_thanh
06/27/2023,620.5,USD/tan,Gia_thep_thanh
06/26/2023,617.5,USD/tan,Gia_thep_thanh
06/25/2023,615,USD/tan,Gia_thep_thanh
06/24/2023,,USD/tan,Gia_thep_thanh
06/22/2023,613.5,USD/tan,Gia_thep_thanh
06/21/2023,614.5,USD/tan,Gia_thep_thanh
06/20/2023,613.5,USD/tan,Gia_thep_thanh
06/19/2023,614.5,USD/tan,Gia_thep_thanh
06/18/2023,607.5,USD/tan,Gia_thep_thanh
06/17/2023,,USD/tan,Gia_thep_thanh
06/15/2023,620,USD/tan,Gia_thep_thanh
06/14/2023,619.5,USD/tan,Gia_thep_thanh
06/13/2023,620.5,USD/tan,Gia_thep_thanh
06/12/2023,620.5,USD/tan,Gia_thep_thanh
06/11/2023,608,USD/tan,Gia_thep_thanh
06/10/2023,,USD/tan,Gia_thep_thanh
06/08/2023,615.5,USD/tan,Gia_thep_thanh
06/07/2023,617.5,USD/tan,Gia_thep_thanh
06/06/2023,611,USD/tan,Gia_thep_thanh
06/05/2023,615,USD/tan,Gia_thep_thanh
06/04/2023,614.5,USD/tan,Gia_thep_thanh
06/03/2023,,USD/tan,Gia_thep_thanh
06/01/2023,610.5,USD/tan,Gia_thep_thanh
05/31/2023,610,USD/tan,Gia_thep_thanh
05/30/2023,623.18,USD/tan,Gia_thep_thanh
05/29/2023,621.5,USD/tan,Gia_thep_thanh
05/28/2023,,USD/tan,Gia_thep_thanh
05/27/2023,,USD/tan,Gia_thep_thanh
05/25/2023,625,USD/tan,Gia_thep_thanh
05/24/2023,620,USD/tan,Gia_thep_thanh
05/23/2023,620,USD/tan,Gia_thep_thanh
05/22/2023,622,USD/tan,Gia_thep_thanh
05/21/2023,621.5,USD/tan,Gia_thep_thanh
05/20/2023,,USD/tan,Gia_thep_thanh
05/18/2023,614.5,USD/tan,Gia_thep_thanh
05/17/2023,617,USD/tan,Gia_thep_thanh
05/16/2023,632.5,USD/tan,Gia_thep_thanh
05/15/2023,626,USD/tan,Gia_thep_thanh
05/14/2023,616,USD/tan,Gia_thep_thanh
05/13/2023,,USD/tan,Gia_thep_thanh
05/11/2023,621,USD/tan,Gia_thep_thanh
05/10/2023,616,USD/tan,Gia_thep_thanh
05/09/2023,615,USD/tan,Gia_thep_thanh
05/08/2023,610,USD/tan,Gia_thep_thanh
05/07/2023,,USD/tan,Gia_thep_thanh
05/06/2023,,USD/tan,Gia_thep_thanh
05/04/2023,615,USD/tan,Gia_thep_thanh
05/03/2023,621,USD/tan,Gia_thep_thanh
05/02/2023,622.5,USD/tan,Gia_thep_thanh
05/01/2023,615,USD/tan,Gia_thep_thanh
04/30/2023,,USD/tan,Gia_thep_thanh
04/29/2023,,USD/tan,Gia_thep_thanh
04/27/2023,675.42,USD/tan,Gia_thep_thanh
04/26/2023,676.5,USD/tan,Gia_thep_thanh
