date,price,unit,title
08/04/2023,,CNY/tan,Gia_thep_day
08/03/2023,18540,CNY/tan,Gia_thep_day
08/02/2023,18480,CNY/tan,Gia_thep_day
08/01/2023,18560,CNY/tan,Gia_thep_day
07/31/2023,18610,CNY/tan,Gia_thep_day
07/30/2023,18380,CNY/tan,Gia_thep_day
07/29/2023,,CNY/tan,Gia_thep_day
07/28/2023,,CNY/tan,Gia_thep_day
07/27/2023,18390,CNY/tan,Gia_thep_day
07/26/2023,18415,CNY/tan,Gia_thep_day
07/25/2023,18365,CNY/tan,Gia_thep_day
07/24/2023,18325,CNY/tan,Gia_thep_day
07/23/2023,18285,CNY/tan,Gia_thep_day
07/22/2023,,CNY/tan,Gia_thep_day
07/21/2023,,CNY/tan,Gia_thep_day
07/20/2023,18275,CNY/tan,Gia_thep_day
07/19/2023,18275,CNY/tan,Gia_thep_day
07/18/2023,18210,CNY/tan,Gia_thep_day
07/17/2023,18205,CNY/tan,Gia_thep_day
07/16/2023,18365,CNY/tan,Gia_thep_day
07/15/2023,,CNY/tan,Gia_thep_day
07/14/2023,,CNY/tan,Gia_thep_day
07/13/2023,18600,CNY/tan,Gia_thep_day
07/12/2023,18490,CNY/tan,Gia_thep_day
07/11/2023,18300,CNY/tan,Gia_thep_day
07/10/2023,18295,CNY/tan,Gia_thep_day
07/09/2023,18280,CNY/tan,Gia_thep_day
07/08/2023,,CNY/tan,Gia_thep_day
07/07/2023,,CNY/tan,Gia_thep_day
07/06/2023,18190,CNY/tan,Gia_thep_day
07/05/2023,18205,CNY/tan,Gia_thep_day
07/04/2023,18235,CNY/tan,Gia_thep_day
07/03/2023,18325,CNY/tan,Gia_thep_day
07/02/2023,18320,CNY/tan,Gia_thep_day
07/01/2023,,CNY/tan,Gia_thep_day
06/30/2023,,CNY/tan,Gia_thep_day
06/29/2023,18270,CNY/tan,Gia_thep_day
06/28/2023,18235,CNY/tan,Gia_thep_day
06/27/2023,18300,CNY/tan,Gia_thep_day
06/26/2023,18180,CNY/tan,Gia_thep_day
06/25/2023,18190,CNY/tan,Gia_thep_day
06/24/2023,,CNY/tan,Gia_thep_day
06/23/2023,,CNY/tan,Gia_thep_day
06/22/2023,,CNY/tan,Gia_thep_day
06/21/2023,,CNY/tan,Gia_thep_day
06/20/2023,18485,CNY/tan,Gia_thep_day
06/19/2023,18480,CNY/tan,Gia_thep_day
06/18/2023,18465,CNY/tan,Gia_thep_day
06/17/2023,,CNY/tan,Gia_thep_day
06/16/2023,,CNY/tan,Gia_thep_day
06/15/2023,18550,CNY/tan,Gia_thep_day
06/14/2023,18595,CNY/tan,Gia_thep_day
06/13/2023,18575,CNY/tan,Gia_thep_day
06/12/2023,18460,CNY/tan,Gia_thep_day
06/11/2023,18570,CNY/tan,Gia_thep_day
06/10/2023,,CNY/tan,Gia_thep_day
06/09/2023,,CNY/tan,Gia_thep_day
06/08/2023,18645,CNY/tan,Gia_thep_day
06/07/2023,18480,CNY/tan,Gia_thep_day
06/06/2023,18345,CNY/tan,Gia_thep_day
06/05/2023,18315,CNY/tan,Gia_thep_day
06/04/2023,18415,CNY/tan,Gia_thep_day
06/03/2023,,CNY/tan,Gia_thep_day
06/02/2023,,CNY/tan,Gia_thep_day
06/01/2023,18585,CNY/tan,Gia_thep_day
