date,price,unit,title
08/05/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/04/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/03/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/02/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
08/01/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/31/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/30/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/29/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/28/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/27/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/26/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/25/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/24/2023,,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/23/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/22/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/21/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/20/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/19/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/18/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/17/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/16/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/15/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/14/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/13/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/12/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/11/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/10/2023,,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/09/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/08/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/07/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/06/2023,,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/05/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/04/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/03/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/02/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
07/01/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/30/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/29/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/28/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/27/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/26/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
06/25/2023,14040,nghin VND/kg,Gia_thep_cuon_CB240_-_D8
