date,price,unit,title
08/04/2023,,CNY/tan,Gia_thiec
08/03/2023,229310,CNY/tan,Gia_thiec
08/02/2023,230330,CNY/tan,Gia_thiec
08/01/2023,226590,CNY/tan,Gia_thiec
07/31/2023,229100,CNY/tan,Gia_thiec
07/30/2023,233750,CNY/tan,Gia_thiec
07/29/2023,,CNY/tan,Gia_thiec
07/28/2023,,CNY/tan,Gia_thiec
07/27/2023,233110,CNY/tan,Gia_thiec
07/26/2023,237410,CNY/tan,Gia_thiec
07/25/2023,233700,CNY/tan,Gia_thiec
07/24/2023,233680,CNY/tan,Gia_thiec
07/23/2023,232350,CNY/tan,Gia_thiec
07/22/2023,,CNY/tan,Gia_thiec
07/21/2023,,CNY/tan,Gia_thiec
07/20/2023,233430,CNY/tan,Gia_thiec
07/19/2023,232230,CNY/tan,Gia_thiec
07/18/2023,232470,CNY/tan,Gia_thiec
07/17/2023,230940,CNY/tan,Gia_thiec
07/16/2023,234450,CNY/tan,Gia_thiec
07/15/2023,,CNY/tan,Gia_thiec
07/14/2023,,CNY/tan,Gia_thiec
07/13/2023,233680,CNY/tan,Gia_thiec
07/12/2023,235550,CNY/tan,Gia_thiec
07/11/2023,230400,CNY/tan,Gia_thiec
07/10/2023,229790,CNY/tan,Gia_thiec
07/09/2023,230360,CNY/tan,Gia_thiec
07/08/2023,,CNY/tan,Gia_thiec
07/07/2023,,CNY/tan,Gia_thiec
07/06/2023,234150,CNY/tan,Gia_thiec
07/05/2023,230560,CNY/tan,Gia_thiec
07/04/2023,224270,CNY/tan,Gia_thiec
07/03/2023,224840,CNY/tan,Gia_thiec
07/02/2023,223070,CNY/tan,Gia_thiec
07/01/2023,,CNY/tan,Gia_thiec
06/30/2023,,CNY/tan,Gia_thiec
06/29/2023,216140,CNY/tan,Gia_thiec
06/28/2023,212120,CNY/tan,Gia_thiec
06/27/2023,213620,CNY/tan,Gia_thiec
06/26/2023,210890,CNY/tan,Gia_thiec
06/25/2023,214310,CNY/tan,Gia_thiec
06/24/2023,,CNY/tan,Gia_thiec
06/23/2023,,CNY/tan,Gia_thiec
06/22/2023,,CNY/tan,Gia_thiec
06/21/2023,,CNY/tan,Gia_thiec
06/20/2023,217840,CNY/tan,Gia_thiec
06/19/2023,217310,CNY/tan,Gia_thiec
06/18/2023,216320,CNY/tan,Gia_thiec
06/17/2023,,CNY/tan,Gia_thiec
06/16/2023,,CNY/tan,Gia_thiec
06/15/2023,219350,CNY/tan,Gia_thiec
06/14/2023,213520,CNY/tan,Gia_thiec
06/13/2023,210820,CNY/tan,Gia_thiec
06/12/2023,209190,CNY/tan,Gia_thiec
06/11/2023,210800,CNY/tan,Gia_thiec
06/10/2023,,CNY/tan,Gia_thiec
06/09/2023,,CNY/tan,Gia_thiec
06/08/2023,211970,CNY/tan,Gia_thiec
06/07/2023,207050,CNY/tan,Gia_thiec
06/06/2023,208960,CNY/tan,Gia_thiec
06/05/2023,208500,CNY/tan,Gia_thiec
06/04/2023,207940,CNY/tan,Gia_thiec
06/03/2023,,CNY/tan,Gia_thiec
06/02/2023,,CNY/tan,Gia_thiec
06/01/2023,209340,CNY/tan,Gia_thiec
05/31/2023,207250,CNY/tan,Gia_thiec
05/30/2023,207680,CNY/tan,Gia_thiec
05/29/2023,209180,CNY/tan,Gia_thiec
05/28/2023,202640,CNY/tan,Gia_thiec
05/27/2023,,CNY/tan,Gia_thiec
05/26/2023,,CNY/tan,Gia_thiec
05/25/2023,199790,CNY/tan,Gia_thiec
05/24/2023,196980,CNY/tan,Gia_thiec
05/23/2023,194830,CNY/tan,Gia_thiec
05/22/2023,196100,CNY/tan,Gia_thiec
05/21/2023,199470,CNY/tan,Gia_thiec
05/20/2023,,CNY/tan,Gia_thiec
05/19/2023,,CNY/tan,Gia_thiec
05/18/2023,197760,CNY/tan,Gia_thiec
