date,price,unit,title
08/04/2023,,CNY/tan,Gia_vai_coton
08/03/2023,17050,CNY/tan,Gia_vai_coton
08/02/2023,17185,CNY/tan,Gia_vai_coton
08/01/2023,17280,CNY/tan,Gia_vai_coton
07/31/2023,17275,CNY/tan,Gia_vai_coton
07/30/2023,17175,CNY/tan,Gia_vai_coton
07/29/2023,,CNY/tan,Gia_vai_coton
07/28/2023,,CNY/tan,Gia_vai_coton
07/27/2023,17050,CNY/tan,Gia_vai_coton
07/26/2023,17120,CNY/tan,Gia_vai_coton
07/25/2023,17065,CNY/tan,Gia_vai_coton
07/24/2023,16985,CNY/tan,Gia_vai_coton
07/23/2023,16975,CNY/tan,Gia_vai_coton
07/22/2023,,CNY/tan,Gia_vai_coton
07/21/2023,,CNY/tan,Gia_vai_coton
07/20/2023,17225,CNY/tan,Gia_vai_coton
07/19/2023,17175,CNY/tan,Gia_vai_coton
07/18/2023,16985,CNY/tan,Gia_vai_coton
07/17/2023,17135,CNY/tan,Gia_vai_coton
07/16/2023,16975,CNY/tan,Gia_vai_coton
07/15/2023,,CNY/tan,Gia_vai_coton
07/14/2023,,CNY/tan,Gia_vai_coton
07/13/2023,16920,CNY/tan,Gia_vai_coton
07/12/2023,16920,CNY/tan,Gia_vai_coton
07/11/2023,16940,CNY/tan,Gia_vai_coton
07/10/2023,16520,CNY/tan,Gia_vai_coton
07/09/2023,16420,CNY/tan,Gia_vai_coton
07/08/2023,,CNY/tan,Gia_vai_coton
07/07/2023,,CNY/tan,Gia_vai_coton
07/06/2023,16440,CNY/tan,Gia_vai_coton
07/05/2023,16305,CNY/tan,Gia_vai_coton
07/04/2023,16350,CNY/tan,Gia_vai_coton
07/03/2023,16710,CNY/tan,Gia_vai_coton
07/02/2023,16495,CNY/tan,Gia_vai_coton
07/01/2023,,CNY/tan,Gia_vai_coton
06/30/2023,,CNY/tan,Gia_vai_coton
06/29/2023,16240,CNY/tan,Gia_vai_coton
06/28/2023,16080,CNY/tan,Gia_vai_coton
06/27/2023,16090,CNY/tan,Gia_vai_coton
06/26/2023,16030,CNY/tan,Gia_vai_coton
06/25/2023,16055,CNY/tan,Gia_vai_coton
06/24/2023,,CNY/tan,Gia_vai_coton
06/23/2023,,CNY/tan,Gia_vai_coton
06/22/2023,,CNY/tan,Gia_vai_coton
06/21/2023,,CNY/tan,Gia_vai_coton
06/20/2023,16315,CNY/tan,Gia_vai_coton
06/19/2023,16380,CNY/tan,Gia_vai_coton
06/18/2023,16445,CNY/tan,Gia_vai_coton
06/17/2023,,CNY/tan,Gia_vai_coton
06/16/2023,,CNY/tan,Gia_vai_coton
06/15/2023,16640,CNY/tan,Gia_vai_coton
06/14/2023,16650,CNY/tan,Gia_vai_coton
06/13/2023,16615,CNY/tan,Gia_vai_coton
06/12/2023,16560,CNY/tan,Gia_vai_coton
