date,price,unit,title
08/03/2023,66650,VND/luong,Gia_vang_mua_vao
08/02/2023,66600,VND/luong,Gia_vang_mua_vao
08/01/2023,66600,VND/luong,Gia_vang_mua_vao
07/31/2023,66750,VND/luong,Gia_vang_mua_vao
07/30/2023,66650,VND/luong,Gia_vang_mua_vao
07/27/2023,66600,VND/luong,Gia_vang_mua_vao
07/26/2023,66600,VND/luong,Gia_vang_mua_vao
07/25/2023,66600,VND/luong,Gia_vang_mua_vao
07/24/2023,66650,VND/luong,Gia_vang_mua_vao
07/23/2023,66600,VND/luong,Gia_vang_mua_vao
07/20/2023,66450,VND/luong,Gia_vang_mua_vao
07/19/2023,66600,VND/luong,Gia_vang_mua_vao
07/18/2023,66600,VND/luong,Gia_vang_mua_vao
07/17/2023,66600,VND/luong,Gia_vang_mua_vao
07/16/2023,66600,VND/luong,Gia_vang_mua_vao
07/13/2023,66650,VND/luong,Gia_vang_mua_vao
07/12/2023,66750,VND/luong,Gia_vang_mua_vao
07/11/2023,66600,VND/luong,Gia_vang_mua_vao
07/10/2023,66550,VND/luong,Gia_vang_mua_vao
07/09/2023,66500,VND/luong,Gia_vang_mua_vao
07/06/2023,66450,VND/luong,Gia_vang_mua_vao
07/05/2023,66450,VND/luong,Gia_vang_mua_vao
07/04/2023,66350,VND/luong,Gia_vang_mua_vao
07/03/2023,66500,VND/luong,Gia_vang_mua_vao
07/02/2023,66400,VND/luong,Gia_vang_mua_vao
06/29/2023,66350,VND/luong,Gia_vang_mua_vao
06/28/2023,66450,VND/luong,Gia_vang_mua_vao
06/27/2023,66400,VND/luong,Gia_vang_mua_vao
06/26/2023,66350,VND/luong,Gia_vang_mua_vao
06/25/2023,66500,VND/luong,Gia_vang_mua_vao
06/22/2023,66450,VND/luong,Gia_vang_mua_vao
06/21/2023,66450,VND/luong,Gia_vang_mua_vao
06/20/2023,66400,VND/luong,Gia_vang_mua_vao
06/19/2023,66500,VND/luong,Gia_vang_mua_vao
06/18/2023,66450,VND/luong,Gia_vang_mua_vao
06/15/2023,66550,VND/luong,Gia_vang_mua_vao
06/14/2023,66550,VND/luong,Gia_vang_mua_vao
06/13/2023,66550,VND/luong,Gia_vang_mua_vao
06/12/2023,66500,VND/luong,Gia_vang_mua_vao
06/11/2023,66500,VND/luong,Gia_vang_mua_vao
06/08/2023,66500,VND/luong,Gia_vang_mua_vao
06/07/2023,66400,VND/luong,Gia_vang_mua_vao
06/06/2023,66450,VND/luong,Gia_vang_mua_vao
06/05/2023,66400,VND/luong,Gia_vang_mua_vao
06/04/2023,66550,VND/luong,Gia_vang_mua_vao
06/01/2023,66450,VND/luong,Gia_vang_mua_vao
05/31/2023,66400,VND/luong,Gia_vang_mua_vao
05/30/2023,66450,VND/luong,Gia_vang_mua_vao
05/29/2023,66400,VND/luong,Gia_vang_mua_vao
05/28/2023,66400,VND/luong,Gia_vang_mua_vao
05/25/2023,66450,VND/luong,Gia_vang_mua_vao
05/24/2023,66500,VND/luong,Gia_vang_mua_vao
05/23/2023,66500,VND/luong,Gia_vang_mua_vao
05/22/2023,66550,VND/luong,Gia_vang_mua_vao
05/21/2023,66600,VND/luong,Gia_vang_mua_vao
05/18/2023,66650,VND/luong,Gia_vang_mua_vao
05/17/2023,66550,VND/luong,Gia_vang_mua_vao
05/16/2023,66500,VND/luong,Gia_vang_mua_vao
05/15/2023,66550,VND/luong,Gia_vang_mua_vao
05/14/2023,66650,VND/luong,Gia_vang_mua_vao
05/11/2023,66550,VND/luong,Gia_vang_mua_vao
05/10/2023,66650,VND/luong,Gia_vang_mua_vao
05/09/2023,66500,VND/luong,Gia_vang_mua_vao
05/08/2023,66600,VND/luong,Gia_vang_mua_vao
05/07/2023,66500,VND/luong,Gia_vang_mua_vao
05/04/2023,66500,VND/luong,Gia_vang_mua_vao
05/03/2023,66600,VND/luong,Gia_vang_mua_vao
05/02/2023,66550,VND/luong,Gia_vang_mua_vao
04/28/2023,66600,VND/luong,Gia_vang_mua_vao
04/27/2023,66600,VND/luong,Gia_vang_mua_vao
04/26/2023,66550,VND/luong,Gia_vang_mua_vao
04/25/2023,66550,VND/luong,Gia_vang_mua_vao
04/24/2023,66450,VND/luong,Gia_vang_mua_vao
04/23/2023,66400,VND/luong,Gia_vang_mua_vao
04/20/2023,66350,VND/luong,Gia_vang_mua_vao
04/19/2023,66400,VND/luong,Gia_vang_mua_vao
04/18/2023,66350,VND/luong,Gia_vang_mua_vao
04/17/2023,66500,VND/luong,Gia_vang_mua_vao
04/16/2023,66600,VND/luong,Gia_vang_mua_vao
04/13/2023,66500,VND/luong,Gia_vang_mua_vao
04/12/2023,66500,VND/luong,Gia_vang_mua_vao
04/11/2023,66400,VND/luong,Gia_vang_mua_vao
04/10/2023,66400,VND/luong,Gia_vang_mua_vao
04/09/2023,66400,VND/luong,Gia_vang_mua_vao
04/06/2023,66450,VND/luong,Gia_vang_mua_vao
04/05/2023,66500,VND/luong,Gia_vang_mua_vao
04/04/2023,66550,VND/luong,Gia_vang_mua_vao
04/03/2023,66450,VND/luong,Gia_vang_mua_vao
