date,price,unit,title
08/05/2023,,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
08/04/2023,,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
08/03/2023,,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
08/02/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
08/01/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/31/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/30/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/29/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/28/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/27/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/26/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/25/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/24/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/23/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/22/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/21/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/20/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/19/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/18/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/17/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/16/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/15/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/14/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/13/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/12/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/11/2023,1.717,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/10/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/09/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/08/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/07/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/06/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/05/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/04/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/03/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/02/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
07/01/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/30/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/29/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/28/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/27/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/26/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/25/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/24/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/23/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/22/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/21/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/20/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/19/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/18/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/17/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/16/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/15/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/14/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/13/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/12/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/11/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/10/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/09/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/08/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/07/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/06/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/05/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/04/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/03/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/02/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
06/01/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/31/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/30/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/29/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/28/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/27/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/26/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/25/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/24/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/23/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/22/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/21/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/20/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/19/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/18/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
05/17/2023,1.736,nghin dong/kg,Gia_xi_mang_-_Vicem_Ha_Tien
