date,price,unit,title
04/30/2023,4.84,%,Tang_truong
03/31/2023,4.32,%,Tang_truong
02/28/2023,3.97,%,Tang_truong
01/31/2023,4.6,%,Tang_truong
12/31/2022,4.3,%,Tang_truong
11/30/2022,6.15,%,Tang_truong
10/31/2022,6.42,%,Tang_truong
09/30/2022,7.03,%,Tang_truong
08/31/2022,7.4,%,Tang_truong
07/31/2022,7.86,%,Tang_truong
06/30/2022,8.95,%,Tang_truong
05/31/2022,9.97,%,Tang_truong
04/30/2022,10.27,%,Tang_truong
03/31/2022,11.29,%,Tang_truong
02/28/2022,12.26,%,Tang_truong
01/31/2022,11.58,%,Tang_truong
12/31/2021,12.67,%,Tang_truong
11/30/2021,10.66,%,Tang_truong
10/31/2021,11.17,%,Tang_truong
09/30/2021,11.69,%,Tang_truong
08/31/2021,12.13,%,Tang_truong
07/31/2021,12.74,%,Tang_truong
06/30/2021,13.7,%,Tang_truong
05/31/2021,13.75,%,Tang_truong
04/30/2021,14.92,%,Tang_truong
03/31/2021,15.63,%,Tang_truong
02/28/2021,14.82,%,Tang_truong
01/31/2021,14.57,%,Tang_truong
12/31/2020,13.42,%,Tang_truong
11/30/2020,14.53,%,Tang_truong
10/31/2020,14.16,%,Tang_truong
09/30/2020,13.98,%,Tang_truong
08/31/2020,13.9,%,Tang_truong
07/31/2020,13.74,%,Tang_truong
06/30/2020,13.22,%,Tang_truong
05/31/2020,12.69,%,Tang_truong
04/30/2020,12.58,%,Tang_truong
03/31/2020,12.92,%,Tang_truong
02/29/2020,13.48,%,Tang_truong
01/31/2020,13.82,%,Tang_truong
12/31/2019,13.38,%,Tang_truong
11/30/2019,14.78,%,Tang_truong
10/31/2019,13.39,%,Tang_truong
09/30/2019,12.66,%,Tang_truong
08/31/2019,12.88,%,Tang_truong
07/31/2019,11.93,%,Tang_truong
06/30/2019,11.51,%,Tang_truong
05/31/2019,11.11,%,Tang_truong
04/30/2019,10.84,%,Tang_truong
03/31/2019,10.22,%,Tang_truong
02/28/2019,11.23,%,Tang_truong
01/31/2019,11.61,%,Tang_truong
12/31/2018,14.36,%,Tang_truong
11/30/2018,12.41,%,Tang_truong
10/31/2018,12.39,%,Tang_truong
09/30/2018,13.89,%,Tang_truong
08/31/2018,13.4,%,Tang_truong
07/31/2018,14.51,%,Tang_truong
06/30/2018,15.3,%,Tang_truong
05/31/2018,16.58,%,Tang_truong
04/30/2018,17.29,%,Tang_truong
03/31/2018,16.99,%,Tang_truong
02/28/2018,15.55,%,Tang_truong
01/31/2018,15.85,%,Tang_truong
12/31/2017,13.51,%,Tang_truong
11/30/2017,15,%,Tang_truong
10/31/2017,15.66,%,Tang_truong
09/30/2017,15.12,%,Tang_truong
08/31/2017,15.34,%,Tang_truong
07/31/2017,16.16,%,Tang_truong
06/30/2017,16.03,%,Tang_truong
05/31/2017,15.54,%,Tang_truong
04/30/2017,16.17,%,Tang_truong
03/31/2017,17.02,%,Tang_truong
02/28/2017,17.65,%,Tang_truong
01/31/2017,18.14,%,Tang_truong
12/31/2016,19.66,%,Tang_truong
11/30/2016,18.38,%,Tang_truong
10/31/2016,20,%,Tang_truong
09/30/2016,19.93,%,Tang_truong
08/31/2016,19.91,%,Tang_truong
07/31/2016,19.5,%,Tang_truong
06/30/2016,20.05,%,Tang_truong
05/31/2016,20.02,%,Tang_truong
04/30/2016,19.55,%,Tang_truong
03/31/2016,18.73,%,Tang_truong
02/29/2016,18.25,%,Tang_truong
01/31/2016,15.65,%,Tang_truong
12/31/2015,17.64,%,Tang_truong
11/30/2015,16.23,%,Tang_truong
10/31/2015,16.81,%,Tang_truong
09/30/2015,17.08,%,Tang_truong
08/31/2015,17.51,%,Tang_truong
07/31/2015,17.06,%,Tang_truong
06/30/2015,17.09,%,Tang_truong
05/31/2015,16.66,%,Tang_truong
04/30/2015,16.67,%,Tang_truong
03/31/2015,16.72,%,Tang_truong
02/28/2015,17.15,%,Tang_truong
01/31/2015,18.6,%,Tang_truong
12/31/2014,15.53,%,Tang_truong
11/30/2014,17.69,%,Tang_truong
10/31/2014,17.92,%,Tang_truong
09/30/2014,18.14,%,Tang_truong
08/31/2014,18.64,%,Tang_truong
07/31/2014,18.24,%,Tang_truong
06/30/2014,18.11,%,Tang_truong
05/31/2014,18.49,%,Tang_truong
04/30/2014,18.19,%,Tang_truong
03/31/2014,18.07,%,Tang_truong
02/28/2014,17.76,%,Tang_truong
