date,price,unit,title
08/03/2023,23930,USD/VND,Ty_gia_USD_NHTM_ban_ra
08/02/2023,23920,USD/VND,Ty_gia_USD_NHTM_ban_ra
08/01/2023,23895,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/31/2023,23850,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/30/2023,23855,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/27/2023,23840,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/26/2023,23840,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/25/2023,23835,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/24/2023,23830,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/23/2023,23825,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/20/2023,23820,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/19/2023,23810,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/18/2023,23805,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/17/2023,23810,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/16/2023,23800,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/13/2023,23810,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/12/2023,23815,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/11/2023,23850,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/10/2023,23840,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/09/2023,23820,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/06/2023,23810,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/05/2023,23900,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/04/2023,23920,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/03/2023,23860,USD/VND,Ty_gia_USD_NHTM_ban_ra
07/02/2023,23820,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/29/2023,23750,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/28/2023,23730,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/27/2023,23720,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/26/2023,23710,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/25/2023,23695,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/22/2023,23690,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/21/2023,23680,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/20/2023,23685,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/19/2023,23700,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/18/2023,23690,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/15/2023,23700,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/14/2023,23700,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/13/2023,23670,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/12/2023,23660,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/11/2023,23640,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/08/2023,23650,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/07/2023,23660,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/06/2023,23660,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/05/2023,23660,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/04/2023,23670,USD/VND,Ty_gia_USD_NHTM_ban_ra
06/01/2023,23650,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/31/2023,23650,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/30/2023,23665,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/29/2023,23655,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/28/2023,23650,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/25/2023,23660,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/24/2023,23640,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/23/2023,23660,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/22/2023,23630,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/21/2023,23615,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/18/2023,23660,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/17/2023,23620,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/16/2023,23625,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/15/2023,23620,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/14/2023,23620,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/11/2023,23640,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/10/2023,23640,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/09/2023,23640,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/08/2023,23630,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/07/2023,23630,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/04/2023,23620,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/03/2023,23620,USD/VND,Ty_gia_USD_NHTM_ban_ra
05/02/2023,23630,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/28/2023,23630,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/27/2023,23630,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/26/2023,23630,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/25/2023,23650,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/24/2023,23650,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/23/2023,23650,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/20/2023,23660,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/19/2023,23660,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/18/2023,23645,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/17/2023,23700,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/16/2023,23660,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/13/2023,23620,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/12/2023,23610,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/11/2023,23630,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/10/2023,23630,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/09/2023,23620,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/06/2023,23620,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/05/2023,23620,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/04/2023,23620,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/03/2023,23535,USD/VND,Ty_gia_USD_NHTM_ban_ra
04/02/2023,23650,USD/VND,Ty_gia_USD_NHTM_ban_ra
03/30/2023,23630,USD/VND,Ty_gia_USD_NHTM_ban_ra
03/29/2023,23640,USD/VND,Ty_gia_USD_NHTM_ban_ra
03/28/2023,23650,USD/VND,Ty_gia_USD_NHTM_ban_ra
03/27/2023,23660,USD/VND,Ty_gia_USD_NHTM_ban_ra
03/26/2023,23680,USD/VND,Ty_gia_USD_NHTM_ban_ra
03/23/2023,23680,USD/VND,Ty_gia_USD_NHTM_ban_ra
03/22/2023,23670,USD/VND,Ty_gia_USD_NHTM_ban_ra
03/21/2023,23690,USD/VND,Ty_gia_USD_NHTM_ban_ra
03/20/2023,23750,USD/VND,Ty_gia_USD_NHTM_ban_ra
