date,price,unit,title
08/03/2023,23825,USD/VND,Ty_gia_USD_trung_tam
08/02/2023,23803,USD/VND,Ty_gia_USD_trung_tam
08/01/2023,23773,USD/VND,Ty_gia_USD_trung_tam
07/31/2023,23757,USD/VND,Ty_gia_USD_trung_tam
07/30/2023,23758,USD/VND,Ty_gia_USD_trung_tam
07/27/2023,23744,USD/VND,Ty_gia_USD_trung_tam
07/26/2023,23736,USD/VND,Ty_gia_USD_trung_tam
07/25/2023,23746,USD/VND,Ty_gia_USD_trung_tam
07/24/2023,23760,USD/VND,Ty_gia_USD_trung_tam
07/23/2023,23753,USD/VND,Ty_gia_USD_trung_tam
07/20/2023,23734,USD/VND,Ty_gia_USD_trung_tam
07/19/2023,23731,USD/VND,Ty_gia_USD_trung_tam
07/18/2023,23704,USD/VND,Ty_gia_USD_trung_tam
07/17/2023,23714,USD/VND,Ty_gia_USD_trung_tam
07/16/2023,23701,USD/VND,Ty_gia_USD_trung_tam
07/13/2023,23720,USD/VND,Ty_gia_USD_trung_tam
07/12/2023,23758,USD/VND,Ty_gia_USD_trung_tam
07/11/2023,23772,USD/VND,Ty_gia_USD_trung_tam
07/10/2023,23787,USD/VND,Ty_gia_USD_trung_tam
07/09/2023,23810,USD/VND,Ty_gia_USD_trung_tam
07/06/2023,23833,USD/VND,Ty_gia_USD_trung_tam
07/05/2023,23828,USD/VND,Ty_gia_USD_trung_tam
07/04/2023,23813,USD/VND,Ty_gia_USD_trung_tam
07/03/2023,23804,USD/VND,Ty_gia_USD_trung_tam
07/02/2023,23805,USD/VND,Ty_gia_USD_trung_tam
06/29/2023,23800,USD/VND,Ty_gia_USD_trung_tam
06/28/2023,23783,USD/VND,Ty_gia_USD_trung_tam
06/27/2023,23760,USD/VND,Ty_gia_USD_trung_tam
06/26/2023,23761,USD/VND,Ty_gia_USD_trung_tam
06/25/2023,23755,USD/VND,Ty_gia_USD_trung_tam
06/22/2023,23732,USD/VND,Ty_gia_USD_trung_tam
06/21/2023,23732,USD/VND,Ty_gia_USD_trung_tam
06/20/2023,23727,USD/VND,Ty_gia_USD_trung_tam
06/19/2023,23718,USD/VND,Ty_gia_USD_trung_tam
06/18/2023,23697,USD/VND,Ty_gia_USD_trung_tam
06/15/2023,23711,USD/VND,Ty_gia_USD_trung_tam
06/14/2023,23704,USD/VND,Ty_gia_USD_trung_tam
06/13/2023,23700,USD/VND,Ty_gia_USD_trung_tam
06/12/2023,23699,USD/VND,Ty_gia_USD_trung_tam
06/11/2023,23700,USD/VND,Ty_gia_USD_trung_tam
06/08/2023,23717,USD/VND,Ty_gia_USD_trung_tam
06/07/2023,23714,USD/VND,Ty_gia_USD_trung_tam
06/06/2023,23713,USD/VND,Ty_gia_USD_trung_tam
06/05/2023,23720,USD/VND,Ty_gia_USD_trung_tam
06/04/2023,23693,USD/VND,Ty_gia_USD_trung_tam
06/01/2023,23722,USD/VND,Ty_gia_USD_trung_tam
05/31/2023,23729,USD/VND,Ty_gia_USD_trung_tam
05/30/2023,23714,USD/VND,Ty_gia_USD_trung_tam
