date,price,unit,title
03/31/2023,88132.8,trieu USD,Du_tru_ngoai_hoi
02/28/2023,86346.1,trieu USD,Du_tru_ngoai_hoi
01/31/2023,85801.6,trieu USD,Du_tru_ngoai_hoi
12/31/2022,86400.4,trieu USD,Du_tru_ngoai_hoi
11/30/2022,84693.31,trieu USD,Du_tru_ngoai_hoi
10/31/2022,83475.1,trieu USD,Du_tru_ngoai_hoi
09/30/2022,84108,trieu USD,Du_tru_ngoai_hoi
08/31/2022,85813.1,trieu USD,Du_tru_ngoai_hoi
07/31/2022,92101.6,trieu USD,Du_tru_ngoai_hoi
06/30/2022,98605.4,trieu USD,Du_tru_ngoai_hoi
05/31/2022,101426.26,trieu USD,Du_tru_ngoai_hoi
04/30/2022,102886.58,trieu USD,Du_tru_ngoai_hoi
03/31/2022,105437.68,trieu USD,Du_tru_ngoai_hoi
02/28/2022,106329.17,trieu USD,Du_tru_ngoai_hoi
01/31/2022,108975.45,trieu USD,Du_tru_ngoai_hoi
12/31/2021,109644.83,trieu USD,Du_tru_ngoai_hoi
11/30/2021,107436.51,trieu USD,Du_tru_ngoai_hoi
10/31/2021,108028.87,trieu USD,Du_tru_ngoai_hoi
09/30/2021,105427.23,trieu USD,Du_tru_ngoai_hoi
08/31/2021,105232.48,trieu USD,Du_tru_ngoai_hoi
07/31/2021,104967.5,trieu USD,Du_tru_ngoai_hoi
06/30/2021,101884.2,trieu USD,Du_tru_ngoai_hoi
05/31/2021,99822,trieu USD,Du_tru_ngoai_hoi
04/30/2021,101261.2,trieu USD,Du_tru_ngoai_hoi
03/31/2021,100438.6,trieu USD,Du_tru_ngoai_hoi
02/28/2021,97919.68,trieu USD,Du_tru_ngoai_hoi
01/31/2021,97708.67,trieu USD,Du_tru_ngoai_hoi
12/31/2020,97023.9,trieu USD,Du_tru_ngoai_hoi
11/30/2020,94435.9,trieu USD,Du_tru_ngoai_hoi
10/31/2020,92543.8,trieu USD,Du_tru_ngoai_hoi
09/30/2020,90050.9,trieu USD,Du_tru_ngoai_hoi
